test,impl,n,mean_ns,median_ns,std_ns
sort_users_by_name_asc,db,100,38040,34855,7815
sort_users_by_name_asc,memory,100,39773,36930,9166
sort_users_by_name_desc,db,100,37766,35606,7305
sort_users_by_name_desc,memory,100,32867,30117,5164
sort_users_by_id_asc,db,100,36762,32944,12916
sort_users_by_id_asc,memory,100,36913,35440,5524
sort_functions_by_name_asc,db,100,17974492,17568257,1712531
sort_functions_by_name_asc,memory,100,3626797,3420810,559261
sort_functions_by_user_id_asc,db,100,4305988,4182082,585418
sort_functions_by_user_id_asc,memory,100,3307812,3187054,342876
sort_points_by_x_asc,db,100,8812762,8326715,1634679
sort_points_by_x_asc,memory,100,7658553,7195199,1065560
sort_points_by_function_id_asc,db,100,9548485,9666406,1079534
sort_points_by_function_id_asc,memory,100,8008198,7323888,2321294
sort_users_by_name_asc,db,100,51797,51413,13014
sort_users_by_name_asc,memory,100,46486,41153,12409
sort_users_by_name_desc,db,100,49337,44909,13573
sort_users_by_name_desc,memory,100,46183,41811,9509
sort_users_by_id_asc,db,100,46284,43896,10637
sort_users_by_id_asc,memory,100,49155,42790,19202
sort_functions_by_name_asc,db,100,20168746,19526391,1756245
sort_functions_by_name_asc,memory,100,4201592,3919837,688129
sort_functions_by_user_id_asc,db,100,5050700,4679934,905575
sort_functions_by_user_id_asc,memory,100,3823190,3672522,445930
sort_points_by_x_asc,db,100,10968580,10890880,1120484
sort_points_by_x_asc,memory,100,9276908,9022588,1298610
sort_points_by_function_id_asc,db,100,10804073,10617514,1013395
sort_points_by_function_id_asc,memory,100,10042555,9803722,1424335
sort_users_by_name_asc,db,100,49283,47639,12330
sort_users_by_name_asc,memory,100,46090,41323,11929
sort_users_by_name_desc,db,100,46775,42607,14617
sort_users_by_name_desc,memory,100,39073,36420,6457
sort_users_by_id_asc,db,100,50609,47363,15608
sort_users_by_id_asc,memory,100,37404,35049,11863
sort_functions_by_name_asc,db,100,18734841,18543345,1247272
sort_functions_by_name_asc,memory,100,3631080,3561942,431613
sort_functions_by_user_id_asc,db,100,4631833,4558255,848656
sort_functions_by_user_id_asc,memory,100,5027385,4526699,2196825
sort_points_by_x_asc,db,100,11162672,10760618,1917098
sort_points_by_x_asc,memory,100,9595398,9101199,2131592
sort_points_by_function_id_asc,db,100,9703351,9285524,1136154
sort_points_by_function_id_asc,memory,100,8270853,8114666,894353
