test,impl,iteration,nanos
findFunctionByName_jdbc,jdbc,0,512051
findFunctionByName_jdbc,jdbc,1,539285
findFunctionByName_jdbc,jdbc,2,503321
findFunctionByName_jdbc,jdbc,3,517889
findFunctionByName_jdbc,jdbc,4,541145
findFunctionByName_jdbc,jdbc,5,549004
findFunctionByName_jdbc,jdbc,6,622980
findFunctionByName_jdbc,jdbc,7,557769
findFunctionByName_jdbc,jdbc,8,539475
findFunctionByName_jdbc,jdbc,9,549222
findFunctionByName_jdbc,jdbc,10,541592
findFunctionByName_jdbc,jdbc,11,523850
findFunctionByName_jdbc,jdbc,12,515710
findFunctionByName_jdbc,jdbc,13,544794
findFunctionByName_jdbc,jdbc,14,520170
findFunctionByName_jdbc,jdbc,15,511127
findFunctionByName_jdbc,jdbc,16,521325
findFunctionByName_jdbc,jdbc,17,509254
findFunctionByName_jdbc,jdbc,18,513512
findFunctionByName_jdbc,jdbc,19,513357
findFunctionByName_jdbc,jdbc,20,521253
findFunctionByName_jdbc,jdbc,21,512933
findFunctionByName_jdbc,jdbc,22,522708
findFunctionByName_jdbc,jdbc,23,518230
findFunctionByName_jdbc,jdbc,24,536128
findFunctionByName_jdbc,jdbc,25,510234
findFunctionByName_jdbc,jdbc,26,514554
findFunctionByName_jdbc,jdbc,27,507011
findFunctionByName_jdbc,jdbc,28,554851
findFunctionByName_jdbc,jdbc,29,624453
findFunctionByName_jdbc,jdbc,30,540218
findFunctionByName_jdbc,jdbc,31,735713
findFunctionByName_jdbc,jdbc,32,592729
findFunctionByName_jdbc,jdbc,33,557031
findFunctionByName_jdbc,jdbc,34,548171
findFunctionByName_jdbc,jdbc,35,548487
findFunctionByName_jdbc,jdbc,36,553562
findFunctionByName_jdbc,jdbc,37,545068
findFunctionByName_jdbc,jdbc,38,535026
findFunctionByName_jdbc,jdbc,39,510816
findFunctionByName_jdbc,jdbc,40,521944
findFunctionByName_jdbc,jdbc,41,534882
findFunctionByName_jdbc,jdbc,42,520632
findFunctionByName_jdbc,jdbc,43,529748
findFunctionByName_jdbc,jdbc,44,513983
findFunctionByName_jdbc,jdbc,45,552612
findFunctionByName_jdbc,jdbc,46,514212
findFunctionByName_jdbc,jdbc,47,513271
findFunctionByName_jdbc,jdbc,48,538951
findFunctionByName_jdbc,jdbc,49,518060
findFunctionByName_jdbc,jdbc,50,546640
findFunctionByName_jdbc,jdbc,51,535417
findFunctionByName_jdbc,jdbc,52,535222
findFunctionByName_jdbc,jdbc,53,547980
findFunctionByName_jdbc,jdbc,54,549165
findFunctionByName_jdbc,jdbc,55,561234
findFunctionByName_jdbc,jdbc,56,560486
findFunctionByName_jdbc,jdbc,57,524161
findFunctionByName_jdbc,jdbc,58,587331
findFunctionByName_jdbc,jdbc,59,549607
findFunctionByName_jdbc,jdbc,60,509354
findFunctionByName_jdbc,jdbc,61,637688
findFunctionByName_jdbc,jdbc,62,526146
findFunctionByName_jdbc,jdbc,63,527328
findFunctionByName_jdbc,jdbc,64,514032
findFunctionByName_jdbc,jdbc,65,538956
findFunctionByName_jdbc,jdbc,66,541220
findFunctionByName_jdbc,jdbc,67,547162
findFunctionByName_jdbc,jdbc,68,535407
findFunctionByName_jdbc,jdbc,69,550581
findFunctionByName_jdbc,jdbc,70,559541
findFunctionByName_jdbc,jdbc,71,536460
findFunctionByName_jdbc,jdbc,72,546247
findFunctionByName_jdbc,jdbc,73,539494
findFunctionByName_jdbc,jdbc,74,532936
findFunctionByName_jdbc,jdbc,75,518231
findFunctionByName_jdbc,jdbc,76,514247
findFunctionByName_jdbc,jdbc,77,530038
findFunctionByName_jdbc,jdbc,78,548420
findFunctionByName_jdbc,jdbc,79,515269
findFunctionByName_jdbc,jdbc,80,531416
findFunctionByName_jdbc,jdbc,81,535143
findFunctionByName_jdbc,jdbc,82,520654
findFunctionByName_jdbc,jdbc,83,520408
findFunctionByName_jdbc,jdbc,84,511757
findFunctionByName_jdbc,jdbc,85,530602
findFunctionByName_jdbc,jdbc,86,540186
findFunctionByName_jdbc,jdbc,87,572005
findFunctionByName_jdbc,jdbc,88,892303
findFunctionByName_jdbc,jdbc,89,759056
findFunctionByName_jdbc,jdbc,90,659168
findFunctionByName_jdbc,jdbc,91,788660
findFunctionByName_jdbc,jdbc,92,597377
findFunctionByName_jdbc,jdbc,93,514748
findFunctionByName_jdbc,jdbc,94,593422
findFunctionByName_jdbc,jdbc,95,594599
findFunctionByName_jdbc,jdbc,96,824286
findFunctionByName_jdbc,jdbc,97,936099
findFunctionByName_jdbc,jdbc,98,781275
findFunctionByName_jdbc,jdbc,99,558172
findFunctionByName_jdbc,jdbc,100,564929
findFunctionByName_jdbc,jdbc,101,544351
findFunctionByName_jdbc,jdbc,102,540539
findFunctionByName_jdbc,jdbc,103,819859
findFunctionByName_jdbc,jdbc,104,583137
