test,impl,iteration,nanos
findFunctionByName_jpa,jpa,0,7689100
findFunctionByName_jpa,jpa,1,9082500
findFunctionByName_jpa,jpa,2,6828900
findFunctionByName_jpa,jpa,3,4428900
findFunctionByName_jpa,jpa,4,6660400
findFunctionByName_jpa,jpa,5,5252700
findFunctionByName_jpa,jpa,6,7559500
findFunctionByName_jpa,jpa,7,5396200
findFunctionByName_jpa,jpa,8,5620300
findFunctionByName_jpa,jpa,9,5107700
findFunctionByName_jpa,jpa,10,4788600
findFunctionByName_jpa,jpa,11,4591400
findFunctionByName_jpa,jpa,12,4206800
findFunctionByName_jpa,jpa,13,7495800
findFunctionByName_jpa,jpa,14,5193400
findFunctionByName_jpa,jpa,15,4397000
findFunctionByName_jpa,jpa,16,6131200
findFunctionByName_jpa,jpa,17,6305900
findFunctionByName_jpa,jpa,18,30558600
findFunctionByName_jpa,jpa,19,72563500
findFunctionByName_jpa,jpa,20,13025000
findFunctionByName_jpa,jpa,21,17275200
findFunctionByName_jpa,jpa,22,5297700
findFunctionByName_jpa,jpa,23,4691400
findFunctionByName_jpa,jpa,24,5789200
findFunctionByName_jpa,jpa,25,6746700
findFunctionByName_jpa,jpa,26,4279600
findFunctionByName_jpa,jpa,27,13199900
findFunctionByName_jpa,jpa,28,19588800
findFunctionByName_jpa,jpa,29,15662200
findFunctionByName_jpa,jpa,30,6974500
findFunctionByName_jpa,jpa,31,7223000
findFunctionByName_jpa,jpa,32,33170700
findFunctionByName_jpa,jpa,33,22017200
findFunctionByName_jpa,jpa,34,14526200
findFunctionByName_jpa,jpa,35,51938800
findFunctionByName_jpa,jpa,36,26883300
findFunctionByName_jpa,jpa,37,12464200
findFunctionByName_jpa,jpa,38,5960400
findFunctionByName_jpa,jpa,39,23397500
findFunctionByName_jpa,jpa,40,94112800
findFunctionByName_jpa,jpa,41,87256700
findFunctionByName_jpa,jpa,42,10132100
findFunctionByName_jpa,jpa,43,32352300
findFunctionByName_jpa,jpa,44,8421300
findFunctionByName_jpa,jpa,45,10196700
findFunctionByName_jpa,jpa,46,4783600
findFunctionByName_jpa,jpa,47,9163800
findFunctionByName_jpa,jpa,48,16451700
findFunctionByName_jpa,jpa,49,8917900
findFunctionByName_jpa,jpa,50,4841800
findFunctionByName_jpa,jpa,51,8330600
findFunctionByName_jpa,jpa,52,18342700
findFunctionByName_jpa,jpa,53,32942300
findFunctionByName_jpa,jpa,54,17057300
findFunctionByName_jpa,jpa,55,15018500
findFunctionByName_jpa,jpa,56,5555700
findFunctionByName_jpa,jpa,57,31622100
findFunctionByName_jpa,jpa,58,19992400
findFunctionByName_jpa,jpa,59,13648300
findFunctionByName_jpa,jpa,60,7089300
findFunctionByName_jpa,jpa,61,7214500
findFunctionByName_jpa,jpa,62,19283000
findFunctionByName_jpa,jpa,63,16409500
findFunctionByName_jpa,jpa,64,8408100
findFunctionByName_jpa,jpa,65,9358200
findFunctionByName_jpa,jpa,66,42193900
findFunctionByName_jpa,jpa,67,18935100
findFunctionByName_jpa,jpa,68,20200400
findFunctionByName_jpa,jpa,69,11344700
findFunctionByName_jpa,jpa,70,15030000
findFunctionByName_jpa,jpa,71,27381400
findFunctionByName_jpa,jpa,72,13020400
findFunctionByName_jpa,jpa,73,16257600
findFunctionByName_jpa,jpa,74,8403100
findFunctionByName_jpa,jpa,75,8165000
findFunctionByName_jpa,jpa,76,10787500
findFunctionByName_jpa,jpa,77,39438800
findFunctionByName_jpa,jpa,78,30999100
findFunctionByName_jpa,jpa,79,54304700
findFunctionByName_jpa,jpa,80,42348000
findFunctionByName_jpa,jpa,81,13447000
findFunctionByName_jpa,jpa,82,8011400
findFunctionByName_jpa,jpa,83,17086000
findFunctionByName_jpa,jpa,84,16883200
findFunctionByName_jpa,jpa,85,6448500
findFunctionByName_jpa,jpa,86,4304900
findFunctionByName_jpa,jpa,87,4261700
findFunctionByName_jpa,jpa,88,4367900
findFunctionByName_jpa,jpa,89,4314400
findFunctionByName_jpa,jpa,90,5862100
findFunctionByName_jpa,jpa,91,5429100
findFunctionByName_jpa,jpa,92,4244700
findFunctionByName_jpa,jpa,93,4642100
findFunctionByName_jpa,jpa,94,4310700
findFunctionByName_jpa,jpa,95,4411000
findFunctionByName_jpa,jpa,96,5968000
findFunctionByName_jpa,jpa,97,7239200
findFunctionByName_jpa,jpa,98,15787900
findFunctionByName_jpa,jpa,99,5702000
findFunctionByName_jpa,jpa,100,3964400
findFunctionByName_jpa,jpa,101,12248800
findFunctionByName_jpa,jpa,102,6453200
findFunctionByName_jpa,jpa,103,5337000
findFunctionByName_jpa,jpa,104,5029400
findFunctionByName_jpa,jpa,105,11300300
findFunctionByName_jpa,jpa,106,6015700
findFunctionByName_jpa,jpa,107,12541700
findFunctionByName_jpa,jpa,108,12191400
findFunctionByName_jpa,jpa,109,4460400
findFunctionByName_jpa,jpa,110,11826000
findFunctionByName_jpa,jpa,111,4216500
findFunctionByName_jpa,jpa,112,10006700
findFunctionByName_jpa,jpa,113,4316500
findFunctionByName_jpa,jpa,114,5873300
findFunctionByName_jpa,jpa,115,5872800
findFunctionByName_jpa,jpa,116,4367600
findFunctionByName_jpa,jpa,117,5336600
findFunctionByName_jpa,jpa,118,4604300
findFunctionByName_jpa,jpa,119,4132400
findFunctionByName_jpa,jpa,120,4131400
findFunctionByName_jpa,jpa,121,5086500
findFunctionByName_jpa,jpa,122,4407900
findFunctionByName_jpa,jpa,123,8947700
findFunctionByName_jpa,jpa,124,7540900
findFunctionByName_jpa,jpa,125,21528700
findFunctionByName_jpa,jpa,126,7038100
findFunctionByName_jpa,jpa,127,4222400
findFunctionByName_jpa,jpa,128,6937200
findFunctionByName_jpa,jpa,129,6517300
findFunctionByName_jpa,jpa,130,3926300
findFunctionByName_jpa,jpa,131,5085800
findFunctionByName_jpa,jpa,132,8078200
findFunctionByName_jpa,jpa,133,21792900
findFunctionByName_jpa,jpa,134,6228400
findFunctionByName_jpa,jpa,135,4677600
findFunctionByName_jpa,jpa,136,5309700
findFunctionByName_jpa,jpa,137,5971800
findFunctionByName_jpa,jpa,138,4349800
findFunctionByName_jpa,jpa,139,6925500
findFunctionByName_jpa,jpa,140,5207900
findFunctionByName_jpa,jpa,141,4071100
findFunctionByName_jpa,jpa,142,4585200
findFunctionByName_jpa,jpa,143,5579800
findFunctionByName_jpa,jpa,144,4048100
findFunctionByName_jpa,jpa,145,4703100
findFunctionByName_jpa,jpa,146,3956100
findFunctionByName_jpa,jpa,147,4230000
findFunctionByName_jpa,jpa,148,3843900
findFunctionByName_jpa,jpa,149,4438300
findFunctionByName_jpa,jpa,150,4179200
findFunctionByName_jpa,jpa,151,4396300
findFunctionByName_jpa,jpa,152,4069500
findFunctionByName_jpa,jpa,153,4246600
findFunctionByName_jpa,jpa,154,3967600
findFunctionByName_jpa,jpa,155,3999000
findFunctionByName_jpa,jpa,156,5720100
findFunctionByName_jpa,jpa,157,4093600
findFunctionByName_jpa,jpa,158,4617800
findFunctionByName_jpa,jpa,159,5052400
findFunctionByName_jpa,jpa,160,5363100
findFunctionByName_jpa,jpa,161,4243900
findFunctionByName_jpa,jpa,162,4185500
findFunctionByName_jpa,jpa,163,4239300
findFunctionByName_jpa,jpa,164,4125800
findFunctionByName_jpa,jpa,165,4557800
findFunctionByName_jpa,jpa,166,11432900
findFunctionByName_jpa,jpa,167,4385600
findFunctionByName_jpa,jpa,168,6814900
findFunctionByName_jpa,jpa,169,7210200
findFunctionByName_jpa,jpa,170,3910500
findFunctionByName_jpa,jpa,171,5043100
findFunctionByName_jpa,jpa,172,9541700
findFunctionByName_jpa,jpa,173,5551500
findFunctionByName_jpa,jpa,174,7118800
findFunctionByName_jpa,jpa,175,20690700
findFunctionByName_jpa,jpa,176,7925300
findFunctionByName_jpa,jpa,177,6929300
findFunctionByName_jpa,jpa,178,8714100
findFunctionByName_jpa,jpa,179,6229600
findFunctionByName_jpa,jpa,180,3808900
findFunctionByName_jpa,jpa,181,6050900
findFunctionByName_jpa,jpa,182,6045600
findFunctionByName_jpa,jpa,183,5249900
findFunctionByName_jpa,jpa,184,10238500
findFunctionByName_jpa,jpa,185,3971300
findFunctionByName_jpa,jpa,186,4041000
findFunctionByName_jpa,jpa,187,3845100
findFunctionByName_jpa,jpa,188,4744100
findFunctionByName_jpa,jpa,189,3934500
findFunctionByName_jpa,jpa,190,4113200
findFunctionByName_jpa,jpa,191,4009300
findFunctionByName_jpa,jpa,192,3957200
findFunctionByName_jpa,jpa,193,4265500
