test,impl,iteration,nanos
findUserByName_jdbc,jdbc,0,45694
findUserByName_jdbc,jdbc,1,51249
findUserByName_jdbc,jdbc,2,51089
findUserByName_jdbc,jdbc,3,55219
findUserByName_jdbc,jdbc,4,62943
findUserByName_jdbc,jdbc,5,35665
findUserByName_jdbc,jdbc,6,34647
findUserByName_jdbc,jdbc,7,34022
findUserByName_jdbc,jdbc,8,34216
findUserByName_jdbc,jdbc,9,34653
findUserByName_jdbc,jdbc,10,33633
findUserByName_jdbc,jdbc,11,34254
findUserByName_jdbc,jdbc,12,33506
findUserByName_jdbc,jdbc,13,34285
findUserByName_jdbc,jdbc,14,34151
findUserByName_jdbc,jdbc,15,34148
findUserByName_jdbc,jdbc,16,34504
findUserByName_jdbc,jdbc,17,33717
findUserByName_jdbc,jdbc,18,37932
findUserByName_jdbc,jdbc,19,39947
findUserByName_jdbc,jdbc,20,35641
findUserByName_jdbc,jdbc,21,36285
findUserByName_jdbc,jdbc,22,41859
findUserByName_jdbc,jdbc,23,82976
findUserByName_jdbc,jdbc,24,40577
findUserByName_jdbc,jdbc,25,36727
findUserByName_jdbc,jdbc,26,36287
findUserByName_jdbc,jdbc,27,36194
findUserByName_jdbc,jdbc,28,37095
findUserByName_jdbc,jdbc,29,60544
findUserByName_jdbc,jdbc,30,53518
findUserByName_jdbc,jdbc,31,49929
findUserByName_jdbc,jdbc,32,56605
findUserByName_jdbc,jdbc,33,39044
findUserByName_jdbc,jdbc,34,58412
findUserByName_jdbc,jdbc,35,55067
findUserByName_jdbc,jdbc,36,37341
findUserByName_jdbc,jdbc,37,61878
findUserByName_jdbc,jdbc,38,50498
findUserByName_jdbc,jdbc,39,65164
findUserByName_jdbc,jdbc,40,39630
findUserByName_jdbc,jdbc,41,44564
findUserByName_jdbc,jdbc,42,64549
findUserByName_jdbc,jdbc,43,49864
findUserByName_jdbc,jdbc,44,36129
findUserByName_jdbc,jdbc,45,35986
findUserByName_jdbc,jdbc,46,35840
findUserByName_jdbc,jdbc,47,35875
findUserByName_jdbc,jdbc,48,35686
findUserByName_jdbc,jdbc,49,35711
findUserByName_jdbc,jdbc,50,35791
findUserByName_jdbc,jdbc,51,36140
findUserByName_jdbc,jdbc,52,37902
findUserByName_jdbc,jdbc,53,36098
findUserByName_jdbc,jdbc,54,35732
findUserByName_jdbc,jdbc,55,52429
findUserByName_jdbc,jdbc,56,41386
findUserByName_jdbc,jdbc,57,38233
findUserByName_jdbc,jdbc,58,72034
findUserByName_jdbc,jdbc,59,41466
findUserByName_jdbc,jdbc,60,37886
findUserByName_jdbc,jdbc,61,36586
findUserByName_jdbc,jdbc,62,36066
findUserByName_jdbc,jdbc,63,44498
findUserByName_jdbc,jdbc,64,61128
findUserByName_jdbc,jdbc,65,38626
findUserByName_jdbc,jdbc,66,36137
findUserByName_jdbc,jdbc,67,35964
findUserByName_jdbc,jdbc,68,36097
findUserByName_jdbc,jdbc,69,36467
findUserByName_jdbc,jdbc,70,72507
findUserByName_jdbc,jdbc,71,86988
findUserByName_jdbc,jdbc,72,48206
findUserByName_jdbc,jdbc,73,48328
findUserByName_jdbc,jdbc,74,44582
findUserByName_jdbc,jdbc,75,46797
findUserByName_jdbc,jdbc,76,38998
findUserByName_jdbc,jdbc,77,43515
findUserByName_jdbc,jdbc,78,43417
findUserByName_jdbc,jdbc,79,41083
findUserByName_jdbc,jdbc,80,44009
findUserByName_jdbc,jdbc,81,50612
findUserByName_jdbc,jdbc,82,46486
findUserByName_jdbc,jdbc,83,45683
findUserByName_jdbc,jdbc,84,49658
findUserByName_jdbc,jdbc,85,39492
findUserByName_jdbc,jdbc,86,42239
findUserByName_jdbc,jdbc,87,42261
findUserByName_jdbc,jdbc,88,37673
findUserByName_jdbc,jdbc,89,35809
findUserByName_jdbc,jdbc,90,35253
findUserByName_jdbc,jdbc,91,35320
findUserByName_jdbc,jdbc,92,113578
findUserByName_jdbc,jdbc,93,47005
findUserByName_jdbc,jdbc,94,36483
findUserByName_jdbc,jdbc,95,36861
findUserByName_jdbc,jdbc,96,43246
findUserByName_jdbc,jdbc,97,95275
findUserByName_jdbc,jdbc,98,67007
findUserByName_jdbc,jdbc,99,60983
findUserByName_jdbc,jdbc,100,36703
findUserByName_jdbc,jdbc,101,42392
findUserByName_jdbc,jdbc,102,40356
findUserByName_jdbc,jdbc,103,42780
findUserByName_jdbc,jdbc,104,47684
findUserByName_jdbc,jdbc,105,48909
findUserByName_jdbc,jdbc,106,54039
findUserByName_jdbc,jdbc,107,35362
findUserByName_jdbc,jdbc,108,41543
findUserByName_jdbc,jdbc,109,46896
findUserByName_jdbc,jdbc,110,42906
findUserByName_jdbc,jdbc,111,47649
findUserByName_jdbc,jdbc,112,52776
findUserByName_jdbc,jdbc,113,54884
findUserByName_jdbc,jdbc,114,50770
findUserByName_jdbc,jdbc,115,44644
findUserByName_jdbc,jdbc,116,46070
findUserByName_jdbc,jdbc,117,43734
findUserByName_jdbc,jdbc,118,45875
findUserByName_jdbc,jdbc,119,44041
findUserByName_jdbc,jdbc,120,44762
findUserByName_jdbc,jdbc,121,46055
findUserByName_jdbc,jdbc,122,98941
findUserByName_jdbc,jdbc,123,79517
findUserByName_jdbc,jdbc,124,48343
findUserByName_jdbc,jdbc,125,39919
findUserByName_jdbc,jdbc,126,41565
findUserByName_jdbc,jdbc,127,98824
findUserByName_jdbc,jdbc,128,50580
findUserByName_jdbc,jdbc,129,65613
findUserByName_jdbc,jdbc,130,47954
findUserByName_jdbc,jdbc,131,44268
findUserByName_jdbc,jdbc,132,51350
findUserByName_jdbc,jdbc,133,46403
findUserByName_jdbc,jdbc,134,40822
findUserByName_jdbc,jdbc,135,42499
findUserByName_jdbc,jdbc,136,73722
findUserByName_jdbc,jdbc,137,60722
findUserByName_jdbc,jdbc,138,53326
findUserByName_jdbc,jdbc,139,48773
findUserByName_jdbc,jdbc,140,39681
findUserByName_jdbc,jdbc,141,36903
findUserByName_jdbc,jdbc,142,39298
findUserByName_jdbc,jdbc,143,48827
findUserByName_jdbc,jdbc,144,63692
findUserByName_jdbc,jdbc,145,69494
findUserByName_jdbc,jdbc,146,47896
findUserByName_jdbc,jdbc,147,100846
findUserByName_jdbc,jdbc,148,54330
findUserByName_jdbc,jdbc,149,43109
findUserByName_jdbc,jdbc,150,56041
findUserByName_jdbc,jdbc,151,109140
findUserByName_jdbc,jdbc,152,79354
findUserByName_jdbc,jdbc,153,61134
findUserByName_jdbc,jdbc,154,47333
findUserByName_jdbc,jdbc,155,40064
findUserByName_jdbc,jdbc,156,37590
findUserByName_jdbc,jdbc,157,37850
findUserByName_jdbc,jdbc,158,37545
findUserByName_jdbc,jdbc,159,38212
findUserByName_jdbc,jdbc,160,40599
findUserByName_jdbc,jdbc,161,58518
findUserByName_jdbc,jdbc,162,66685
findUserByName_jdbc,jdbc,163,41417
findUserByName_jdbc,jdbc,164,41190
findUserByName_jdbc,jdbc,165,39563
findUserByName_jdbc,jdbc,166,46914
findUserByName_jdbc,jdbc,167,41213
findUserByName_jdbc,jdbc,168,41296
findUserByName_jdbc,jdbc,169,40072
findUserByName_jdbc,jdbc,170,41230
findUserByName_jdbc,jdbc,171,40023
findUserByName_jdbc,jdbc,172,40220
findUserByName_jdbc,jdbc,173,39674
findUserByName_jdbc,jdbc,174,44076
findUserByName_jdbc,jdbc,175,40349
findUserByName_jdbc,jdbc,176,39926
findUserByName_jdbc,jdbc,177,41206
findUserByName_jdbc,jdbc,178,54486
findUserByName_jdbc,jdbc,179,49050
findUserByName_jdbc,jdbc,180,52221
findUserByName_jdbc,jdbc,181,55112
findUserByName_jdbc,jdbc,182,54211
