test,impl,iteration,nanos
findUserByName_jpa,jpa,0,3581000
findUserByName_jpa,jpa,1,4190600
findUserByName_jpa,jpa,2,3676800
findUserByName_jpa,jpa,3,3522000
findUserByName_jpa,jpa,4,3838600
findUserByName_jpa,jpa,5,3881400
findUserByName_jpa,jpa,6,3598300
findUserByName_jpa,jpa,7,3634300
findUserByName_jpa,jpa,8,3502600
findUserByName_jpa,jpa,9,3548500
findUserByName_jpa,jpa,10,4396000
findUserByName_jpa,jpa,11,3815400
findUserByName_jpa,jpa,12,3657800
findUserByName_jpa,jpa,13,3723800
findUserByName_jpa,jpa,14,4091700
findUserByName_jpa,jpa,15,3870900
findUserByName_jpa,jpa,16,3406800
findUserByName_jpa,jpa,17,3966600
findUserByName_jpa,jpa,18,9654600
findUserByName_jpa,jpa,19,17460400
findUserByName_jpa,jpa,20,3669600
findUserByName_jpa,jpa,21,6530400
findUserByName_jpa,jpa,22,5756000
findUserByName_jpa,jpa,23,3634700
findUserByName_jpa,jpa,24,7330500
findUserByName_jpa,jpa,25,6187300
findUserByName_jpa,jpa,26,5482800
findUserByName_jpa,jpa,27,12212700
findUserByName_jpa,jpa,28,3731800
findUserByName_jpa,jpa,29,7466700
findUserByName_jpa,jpa,30,8448300
findUserByName_jpa,jpa,31,9547700
findUserByName_jpa,jpa,32,5318600
findUserByName_jpa,jpa,33,6632700
findUserByName_jpa,jpa,34,6645600
findUserByName_jpa,jpa,35,4395900
findUserByName_jpa,jpa,36,6513800
findUserByName_jpa,jpa,37,4437300
findUserByName_jpa,jpa,38,5512600
findUserByName_jpa,jpa,39,3722800
findUserByName_jpa,jpa,40,3827400
findUserByName_jpa,jpa,41,3672100
findUserByName_jpa,jpa,42,3960600
findUserByName_jpa,jpa,43,6773400
findUserByName_jpa,jpa,44,3858000
findUserByName_jpa,jpa,45,4070100
findUserByName_jpa,jpa,46,6673400
findUserByName_jpa,jpa,47,6654500
findUserByName_jpa,jpa,48,9186500
findUserByName_jpa,jpa,49,18358500
findUserByName_jpa,jpa,50,37534100
findUserByName_jpa,jpa,51,26647300
findUserByName_jpa,jpa,52,48453900
findUserByName_jpa,jpa,53,23533100
findUserByName_jpa,jpa,54,7593400
findUserByName_jpa,jpa,55,18894000
findUserByName_jpa,jpa,56,12667400
findUserByName_jpa,jpa,57,6380900
findUserByName_jpa,jpa,58,3436200
findUserByName_jpa,jpa,59,3288500
findUserByName_jpa,jpa,60,4360200
findUserByName_jpa,jpa,61,3530400
findUserByName_jpa,jpa,62,3597900
findUserByName_jpa,jpa,63,3733200
findUserByName_jpa,jpa,64,3455100
findUserByName_jpa,jpa,65,3740000
findUserByName_jpa,jpa,66,3424600
findUserByName_jpa,jpa,67,3581700
findUserByName_jpa,jpa,68,3562600
findUserByName_jpa,jpa,69,3721500
findUserByName_jpa,jpa,70,3420900
findUserByName_jpa,jpa,71,3469900
findUserByName_jpa,jpa,72,3314900
findUserByName_jpa,jpa,73,4798600
findUserByName_jpa,jpa,74,3556200
findUserByName_jpa,jpa,75,3729900
findUserByName_jpa,jpa,76,3562500
findUserByName_jpa,jpa,77,4808000
findUserByName_jpa,jpa,78,4408200
findUserByName_jpa,jpa,79,3512500
findUserByName_jpa,jpa,80,3398300
findUserByName_jpa,jpa,81,7518200
findUserByName_jpa,jpa,82,5028700
findUserByName_jpa,jpa,83,3437800
findUserByName_jpa,jpa,84,9925900
findUserByName_jpa,jpa,85,3638600
findUserByName_jpa,jpa,86,5705200
findUserByName_jpa,jpa,87,5825700
findUserByName_jpa,jpa,88,3745900
findUserByName_jpa,jpa,89,3468400
findUserByName_jpa,jpa,90,5428000
findUserByName_jpa,jpa,91,4922300
findUserByName_jpa,jpa,92,3853300
findUserByName_jpa,jpa,93,6865900
findUserByName_jpa,jpa,94,4588800
findUserByName_jpa,jpa,95,4433900
findUserByName_jpa,jpa,96,5934600
findUserByName_jpa,jpa,97,7782500
findUserByName_jpa,jpa,98,5234600
findUserByName_jpa,jpa,99,5246800
findUserByName_jpa,jpa,100,3386900
findUserByName_jpa,jpa,101,5083100
findUserByName_jpa,jpa,102,6828200
findUserByName_jpa,jpa,103,3451000
findUserByName_jpa,jpa,104,7151900
findUserByName_jpa,jpa,105,3586000
findUserByName_jpa,jpa,106,3445600
findUserByName_jpa,jpa,107,3516600
findUserByName_jpa,jpa,108,4767400
findUserByName_jpa,jpa,109,3374800
findUserByName_jpa,jpa,110,3427700
findUserByName_jpa,jpa,111,3518900
findUserByName_jpa,jpa,112,3660500
findUserByName_jpa,jpa,113,3703900
findUserByName_jpa,jpa,114,3380100
findUserByName_jpa,jpa,115,3484000
findUserByName_jpa,jpa,116,3522500
findUserByName_jpa,jpa,117,3660600
findUserByName_jpa,jpa,118,3618200
findUserByName_jpa,jpa,119,5803300
findUserByName_jpa,jpa,120,3714600
findUserByName_jpa,jpa,121,4070200
findUserByName_jpa,jpa,122,4894200
findUserByName_jpa,jpa,123,5548100
findUserByName_jpa,jpa,124,29869800
findUserByName_jpa,jpa,125,47804700
findUserByName_jpa,jpa,126,7098000
findUserByName_jpa,jpa,127,5890600
findUserByName_jpa,jpa,128,3395700
findUserByName_jpa,jpa,129,5076000
findUserByName_jpa,jpa,130,6896000
findUserByName_jpa,jpa,131,3425600
findUserByName_jpa,jpa,132,8643200
findUserByName_jpa,jpa,133,5012000
findUserByName_jpa,jpa,134,3567000
findUserByName_jpa,jpa,135,7047700
findUserByName_jpa,jpa,136,4539700
findUserByName_jpa,jpa,137,3415200
findUserByName_jpa,jpa,138,5537300
findUserByName_jpa,jpa,139,3342500
findUserByName_jpa,jpa,140,3697500
findUserByName_jpa,jpa,141,4397200
findUserByName_jpa,jpa,142,3439700
findUserByName_jpa,jpa,143,3374500
findUserByName_jpa,jpa,144,5037500
findUserByName_jpa,jpa,145,3271200
findUserByName_jpa,jpa,146,3885200
findUserByName_jpa,jpa,147,3129600
findUserByName_jpa,jpa,148,3441600
findUserByName_jpa,jpa,149,3391300
findUserByName_jpa,jpa,150,3033800
findUserByName_jpa,jpa,151,3604500
findUserByName_jpa,jpa,152,3398800
findUserByName_jpa,jpa,153,3726400
findUserByName_jpa,jpa,154,3229800
findUserByName_jpa,jpa,155,3358500
findUserByName_jpa,jpa,156,4614500
findUserByName_jpa,jpa,157,3683800
findUserByName_jpa,jpa,158,3945400
findUserByName_jpa,jpa,159,3375800
findUserByName_jpa,jpa,160,3983200
findUserByName_jpa,jpa,161,3617400
findUserByName_jpa,jpa,162,3511200
findUserByName_jpa,jpa,163,3064800
findUserByName_jpa,jpa,164,7257600
findUserByName_jpa,jpa,165,6782300
findUserByName_jpa,jpa,166,6099900
findUserByName_jpa,jpa,167,4556000
findUserByName_jpa,jpa,168,7492700
findUserByName_jpa,jpa,169,6068000
findUserByName_jpa,jpa,170,5639000
findUserByName_jpa,jpa,171,11578000
findUserByName_jpa,jpa,172,3186600
findUserByName_jpa,jpa,173,12322000
findUserByName_jpa,jpa,174,12430200
findUserByName_jpa,jpa,175,6376200
findUserByName_jpa,jpa,176,3053900
findUserByName_jpa,jpa,177,7359800
findUserByName_jpa,jpa,178,5580400
findUserByName_jpa,jpa,179,14497800
findUserByName_jpa,jpa,180,5275200
findUserByName_jpa,jpa,181,13121500
findUserByName_jpa,jpa,182,4210800
findUserByName_jpa,jpa,183,4101400
findUserByName_jpa,jpa,184,5239700
findUserByName_jpa,jpa,185,3173200
findUserByName_jpa,jpa,186,3042700
findUserByName_jpa,jpa,187,2966300
findUserByName_jpa,jpa,188,2958000
findUserByName_jpa,jpa,189,3533300
findUserByName_jpa,jpa,190,3056800
findUserByName_jpa,jpa,191,3006300
findUserByName_jpa,jpa,192,2799900
findUserByName_jpa,jpa,193,3071400
findUserByName_jpa,jpa,194,3351900
findUserByName_jpa,jpa,195,3341300
findUserByName_jpa,jpa,196,3448000
findUserByName_jpa,jpa,197,3504900
findUserByName_jpa,jpa,198,3105000
findUserByName_jpa,jpa,199,3134300
findUserByName_jpa,jpa,200,3035500
findUserByName_jpa,jpa,201,2946000
findUserByName_jpa,jpa,202,3256900
findUserByName_jpa,jpa,203,3495700
findUserByName_jpa,jpa,204,4337700
findUserByName_jpa,jpa,205,18806000
findUserByName_jpa,jpa,206,3974400
findUserByName_jpa,jpa,207,4545600
findUserByName_jpa,jpa,208,5135600
findUserByName_jpa,jpa,209,3120000
findUserByName_jpa,jpa,210,3734300
findUserByName_jpa,jpa,211,4363900
findUserByName_jpa,jpa,212,4565200
findUserByName_jpa,jpa,213,3601900
findUserByName_jpa,jpa,214,4718400
findUserByName_jpa,jpa,215,4745000
findUserByName_jpa,jpa,216,3592900
findUserByName_jpa,jpa,217,6363000
findUserByName_jpa,jpa,218,4029600
findUserByName_jpa,jpa,219,3421100
findUserByName_jpa,jpa,220,3994000
findUserByName_jpa,jpa,221,6137400
findUserByName_jpa,jpa,222,5995400
findUserByName_jpa,jpa,223,3639600
findUserByName_jpa,jpa,224,11639500
findUserByName_jpa,jpa,225,7234300
findUserByName_jpa,jpa,226,4112900
findUserByName_jpa,jpa,227,4898700
findUserByName_jpa,jpa,228,7863700
findUserByName_jpa,jpa,229,3165200
findUserByName_jpa,jpa,230,3446900
findUserByName_jpa,jpa,231,3012300
findUserByName_jpa,jpa,232,3135000
findUserByName_jpa,jpa,233,3615600
findUserByName_jpa,jpa,234,3140900
findUserByName_jpa,jpa,235,3114900
findUserByName_jpa,jpa,236,2974400
findUserByName_jpa,jpa,237,3021100
findUserByName_jpa,jpa,238,3085200
findUserByName_jpa,jpa,239,2992100
findUserByName_jpa,jpa,240,3350200
findUserByName_jpa,jpa,241,2952300
findUserByName_jpa,jpa,242,2923900
findUserByName_jpa,jpa,243,3071500
findUserByName_jpa,jpa,244,2993700
findUserByName_jpa,jpa,245,3118900
findUserByName_jpa,jpa,246,3163200
findUserByName_jpa,jpa,247,3274200
findUserByName_jpa,jpa,248,3010800
findUserByName_jpa,jpa,249,3385000
findUserByName_jpa,jpa,250,3056500
findUserByName_jpa,jpa,251,3143200
findUserByName_jpa,jpa,252,3176100
findUserByName_jpa,jpa,253,3071900
findUserByName_jpa,jpa,254,3036100
findUserByName_jpa,jpa,255,2908500
findUserByName_jpa,jpa,256,6142200
