test,impl,iteration,nanos
loadFunctionAndPoints_jdbc,jdbc,0,2141210
loadFunctionAndPoints_jdbc,jdbc,1,2113147
loadFunctionAndPoints_jdbc,jdbc,2,2125251
loadFunctionAndPoints_jdbc,jdbc,3,2101492
loadFunctionAndPoints_jdbc,jdbc,4,2152902
loadFunctionAndPoints_jdbc,jdbc,5,2590789
loadFunctionAndPoints_jdbc,jdbc,6,2140039
loadFunctionAndPoints_jdbc,jdbc,7,2385327
loadFunctionAndPoints_jdbc,jdbc,8,2395485
loadFunctionAndPoints_jdbc,jdbc,9,2268855
loadFunctionAndPoints_jdbc,jdbc,10,2195498
loadFunctionAndPoints_jdbc,jdbc,11,2270674
loadFunctionAndPoints_jdbc,jdbc,12,2214481
loadFunctionAndPoints_jdbc,jdbc,13,2274670
loadFunctionAndPoints_jdbc,jdbc,14,2209758
loadFunctionAndPoints_jdbc,jdbc,15,2171499
loadFunctionAndPoints_jdbc,jdbc,16,2183183
loadFunctionAndPoints_jdbc,jdbc,17,2148725
loadFunctionAndPoints_jdbc,jdbc,18,2159251
loadFunctionAndPoints_jdbc,jdbc,19,2152799
loadFunctionAndPoints_jdbc,jdbc,20,2122099
loadFunctionAndPoints_jdbc,jdbc,21,2117787
loadFunctionAndPoints_jdbc,jdbc,22,2084211
loadFunctionAndPoints_jdbc,jdbc,23,2179907
loadFunctionAndPoints_jdbc,jdbc,24,2127081
loadFunctionAndPoints_jdbc,jdbc,25,2212982
loadFunctionAndPoints_jdbc,jdbc,26,2203401
loadFunctionAndPoints_jdbc,jdbc,27,2134896
loadFunctionAndPoints_jdbc,jdbc,28,2229735
loadFunctionAndPoints_jdbc,jdbc,29,2424347
loadFunctionAndPoints_jdbc,jdbc,30,2266184
loadFunctionAndPoints_jdbc,jdbc,31,2175253
loadFunctionAndPoints_jdbc,jdbc,32,2186092
loadFunctionAndPoints_jdbc,jdbc,33,2163537
loadFunctionAndPoints_jdbc,jdbc,34,2096208
loadFunctionAndPoints_jdbc,jdbc,35,2094597
loadFunctionAndPoints_jdbc,jdbc,36,2084632
loadFunctionAndPoints_jdbc,jdbc,37,2085733
loadFunctionAndPoints_jdbc,jdbc,38,2160127
loadFunctionAndPoints_jdbc,jdbc,39,2283533
loadFunctionAndPoints_jdbc,jdbc,40,2329844
loadFunctionAndPoints_jdbc,jdbc,41,2237046
loadFunctionAndPoints_jdbc,jdbc,42,2151887
loadFunctionAndPoints_jdbc,jdbc,43,2185753
loadFunctionAndPoints_jdbc,jdbc,44,2168868
loadFunctionAndPoints_jdbc,jdbc,45,2330816
loadFunctionAndPoints_jdbc,jdbc,46,2349583
loadFunctionAndPoints_jdbc,jdbc,47,2289190
loadFunctionAndPoints_jdbc,jdbc,48,2376716
loadFunctionAndPoints_jdbc,jdbc,49,2200443
loadFunctionAndPoints_jdbc,jdbc,50,2112589
loadFunctionAndPoints_jdbc,jdbc,51,2218742
loadFunctionAndPoints_jdbc,jdbc,52,2438149
loadFunctionAndPoints_jdbc,jdbc,53,2153927
loadFunctionAndPoints_jdbc,jdbc,54,2140410
loadFunctionAndPoints_jdbc,jdbc,55,2823212
loadFunctionAndPoints_jdbc,jdbc,56,2374445
loadFunctionAndPoints_jdbc,jdbc,57,2184539
loadFunctionAndPoints_jdbc,jdbc,58,2141082
loadFunctionAndPoints_jdbc,jdbc,59,2110128
loadFunctionAndPoints_jdbc,jdbc,60,2137972
loadFunctionAndPoints_jdbc,jdbc,61,2318706
loadFunctionAndPoints_jdbc,jdbc,62,2217278
loadFunctionAndPoints_jdbc,jdbc,63,2140318
loadFunctionAndPoints_jdbc,jdbc,64,2168908
loadFunctionAndPoints_jdbc,jdbc,65,2151224
loadFunctionAndPoints_jdbc,jdbc,66,2119209
loadFunctionAndPoints_jdbc,jdbc,67,2127224
loadFunctionAndPoints_jdbc,jdbc,68,2083164
loadFunctionAndPoints_jdbc,jdbc,69,2126228
loadFunctionAndPoints_jdbc,jdbc,70,2125481
loadFunctionAndPoints_jdbc,jdbc,71,2205120
loadFunctionAndPoints_jdbc,jdbc,72,2210515
loadFunctionAndPoints_jdbc,jdbc,73,2173114
loadFunctionAndPoints_jdbc,jdbc,74,2386932
loadFunctionAndPoints_jdbc,jdbc,75,2220177
loadFunctionAndPoints_jdbc,jdbc,76,2222213
loadFunctionAndPoints_jdbc,jdbc,77,2209849
loadFunctionAndPoints_jdbc,jdbc,78,2210050
loadFunctionAndPoints_jdbc,jdbc,79,2241650
loadFunctionAndPoints_jdbc,jdbc,80,2215276
loadFunctionAndPoints_jdbc,jdbc,81,2134479
loadFunctionAndPoints_jdbc,jdbc,82,2162259
loadFunctionAndPoints_jdbc,jdbc,83,2133327
loadFunctionAndPoints_jdbc,jdbc,84,2156621
loadFunctionAndPoints_jdbc,jdbc,85,2158021
loadFunctionAndPoints_jdbc,jdbc,86,2181963
loadFunctionAndPoints_jdbc,jdbc,87,2231302
