test,impl,iteration,nanos
loadFunctionAndPoints_jpa,jpa,0,4647200
loadFunctionAndPoints_jpa,jpa,1,4588600
loadFunctionAndPoints_jpa,jpa,2,4165900
loadFunctionAndPoints_jpa,jpa,3,4959600
loadFunctionAndPoints_jpa,jpa,4,5504900
loadFunctionAndPoints_jpa,jpa,5,8186400
loadFunctionAndPoints_jpa,jpa,6,7085000
loadFunctionAndPoints_jpa,jpa,7,5799000
loadFunctionAndPoints_jpa,jpa,8,4106100
loadFunctionAndPoints_jpa,jpa,9,4881300
loadFunctionAndPoints_jpa,jpa,10,11323100
loadFunctionAndPoints_jpa,jpa,11,10884100
loadFunctionAndPoints_jpa,jpa,12,4457500
loadFunctionAndPoints_jpa,jpa,13,5186000
loadFunctionAndPoints_jpa,jpa,14,8368300
loadFunctionAndPoints_jpa,jpa,15,4175000
loadFunctionAndPoints_jpa,jpa,16,11178500
loadFunctionAndPoints_jpa,jpa,17,16997300
loadFunctionAndPoints_jpa,jpa,18,5546500
loadFunctionAndPoints_jpa,jpa,19,42533700
loadFunctionAndPoints_jpa,jpa,20,4489700
loadFunctionAndPoints_jpa,jpa,21,4448800
loadFunctionAndPoints_jpa,jpa,22,4194000
loadFunctionAndPoints_jpa,jpa,23,4775300
loadFunctionAndPoints_jpa,jpa,24,4442900
loadFunctionAndPoints_jpa,jpa,25,4583900
loadFunctionAndPoints_jpa,jpa,26,4330400
loadFunctionAndPoints_jpa,jpa,27,4275900
loadFunctionAndPoints_jpa,jpa,28,6475200
loadFunctionAndPoints_jpa,jpa,29,4271800
loadFunctionAndPoints_jpa,jpa,30,7037200
loadFunctionAndPoints_jpa,jpa,31,6934400
loadFunctionAndPoints_jpa,jpa,32,13176700
loadFunctionAndPoints_jpa,jpa,33,4003600
loadFunctionAndPoints_jpa,jpa,34,4420300
loadFunctionAndPoints_jpa,jpa,35,8238600
loadFunctionAndPoints_jpa,jpa,36,4589200
loadFunctionAndPoints_jpa,jpa,37,10445200
loadFunctionAndPoints_jpa,jpa,38,16381800
loadFunctionAndPoints_jpa,jpa,39,8049600
loadFunctionAndPoints_jpa,jpa,40,10130900
loadFunctionAndPoints_jpa,jpa,41,11540800
loadFunctionAndPoints_jpa,jpa,42,4358500
loadFunctionAndPoints_jpa,jpa,43,8365800
loadFunctionAndPoints_jpa,jpa,44,6086600
loadFunctionAndPoints_jpa,jpa,45,12049500
loadFunctionAndPoints_jpa,jpa,46,16391200
loadFunctionAndPoints_jpa,jpa,47,7077900
loadFunctionAndPoints_jpa,jpa,48,5895300
loadFunctionAndPoints_jpa,jpa,49,4611200
loadFunctionAndPoints_jpa,jpa,50,4066200
loadFunctionAndPoints_jpa,jpa,51,5908900
loadFunctionAndPoints_jpa,jpa,52,4042100
loadFunctionAndPoints_jpa,jpa,53,4098100
loadFunctionAndPoints_jpa,jpa,54,8696200
