test,impl,iteration,nanos
findFunctionByName_jpa,jpa,0,254370
findFunctionByName_jpa,jpa,1,282370
findFunctionByName_jpa,jpa,2,262489
findFunctionByName_jpa,jpa,3,248596
findFunctionByName_jpa,jpa,4,238015
findFunctionByName_jpa,jpa,5,312271
findFunctionByName_jpa,jpa,6,328471
findFunctionByName_jpa,jpa,7,264468
findFunctionByName_jpa,jpa,8,245207
findFunctionByName_jpa,jpa,9,278851
findFunctionByName_jpa,jpa,10,276195
findFunctionByName_jpa,jpa,11,247841
findFunctionByName_jpa,jpa,12,263290
findFunctionByName_jpa,jpa,13,291908
findFunctionByName_jpa,jpa,14,480306
findFunctionByName_jpa,jpa,15,705596
findFunctionByName_jpa,jpa,16,825618
findFunctionByName_jpa,jpa,17,775157
findFunctionByName_jpa,jpa,18,557856
findFunctionByName_jpa,jpa,19,384013
findFunctionByName_jpa,jpa,20,359790
findFunctionByName_jpa,jpa,21,312224
findFunctionByName_jpa,jpa,22,378697
findFunctionByName_jpa,jpa,23,636750
findFunctionByName_jpa,jpa,24,848594
findFunctionByName_jpa,jpa,25,503063
findFunctionByName_jpa,jpa,26,444057
findFunctionByName_jpa,jpa,27,347883
findFunctionByName_jpa,jpa,28,355579
findFunctionByName_jpa,jpa,29,251569
findFunctionByName_jpa,jpa,30,228668
findFunctionByName_jpa,jpa,31,243449
findFunctionByName_jpa,jpa,32,251174
findFunctionByName_jpa,jpa,33,223877
findFunctionByName_jpa,jpa,34,219937
findFunctionByName_jpa,jpa,35,220008
findFunctionByName_jpa,jpa,36,218873
findFunctionByName_jpa,jpa,37,255258
findFunctionByName_jpa,jpa,38,224391
findFunctionByName_jpa,jpa,39,220812
findFunctionByName_jpa,jpa,40,214786
findFunctionByName_jpa,jpa,41,255228
findFunctionByName_jpa,jpa,42,240344
findFunctionByName_jpa,jpa,43,227417
findFunctionByName_jpa,jpa,44,226151
findFunctionByName_jpa,jpa,45,242190
findFunctionByName_jpa,jpa,46,224797
findFunctionByName_jpa,jpa,47,217153
findFunctionByName_jpa,jpa,48,218228
findFunctionByName_jpa,jpa,49,214354
findFunctionByName_jpa,jpa,50,296048
findFunctionByName_jpa,jpa,51,253069
findFunctionByName_jpa,jpa,52,232778
findFunctionByName_jpa,jpa,53,227179
findFunctionByName_jpa,jpa,54,332842
findFunctionByName_jpa,jpa,55,372214
findFunctionByName_jpa,jpa,56,307940
findFunctionByName_jpa,jpa,57,297583
findFunctionByName_jpa,jpa,58,242324
findFunctionByName_jpa,jpa,59,221042
findFunctionByName_jpa,jpa,60,220014
findFunctionByName_jpa,jpa,61,287011
findFunctionByName_jpa,jpa,62,278418
findFunctionByName_jpa,jpa,63,268146
findFunctionByName_jpa,jpa,64,411167
findFunctionByName_jpa,jpa,65,409411
findFunctionByName_jpa,jpa,66,389464
findFunctionByName_jpa,jpa,67,427348
findFunctionByName_jpa,jpa,68,342872
findFunctionByName_jpa,jpa,69,324312
findFunctionByName_jpa,jpa,70,308474
