test,impl,iteration,nanos
findUserByName_jpa,jpa,0,1349257
findUserByName_jpa,jpa,1,1355416
findUserByName_jpa,jpa,2,617911
findUserByName_jpa,jpa,3,380503
findUserByName_jpa,jpa,4,326755
findUserByName_jpa,jpa,5,328989
findUserByName_jpa,jpa,6,322867
findUserByName_jpa,jpa,7,386825
findUserByName_jpa,jpa,8,348131
findUserByName_jpa,jpa,9,331579
findUserByName_jpa,jpa,10,288528
findUserByName_jpa,jpa,11,342885
findUserByName_jpa,jpa,12,282443
findUserByName_jpa,jpa,13,284153
findUserByName_jpa,jpa,14,302834
findUserByName_jpa,jpa,15,285549
findUserByName_jpa,jpa,16,274079
findUserByName_jpa,jpa,17,328103
findUserByName_jpa,jpa,18,446107
findUserByName_jpa,jpa,19,514255
findUserByName_jpa,jpa,20,524619
findUserByName_jpa,jpa,21,717730
findUserByName_jpa,jpa,22,531435
findUserByName_jpa,jpa,23,389330
findUserByName_jpa,jpa,24,369027
findUserByName_jpa,jpa,25,336611
findUserByName_jpa,jpa,26,548648
findUserByName_jpa,jpa,27,1094141
findUserByName_jpa,jpa,28,1016066
findUserByName_jpa,jpa,29,718188
findUserByName_jpa,jpa,30,480697
findUserByName_jpa,jpa,31,458263
findUserByName_jpa,jpa,32,472153
findUserByName_jpa,jpa,33,799044
findUserByName_jpa,jpa,34,804577
findUserByName_jpa,jpa,35,761747
findUserByName_jpa,jpa,36,698407
findUserByName_jpa,jpa,37,656363
findUserByName_jpa,jpa,38,672534
findUserByName_jpa,jpa,39,380050
findUserByName_jpa,jpa,40,340271
findUserByName_jpa,jpa,41,384936
findUserByName_jpa,jpa,42,341034
findUserByName_jpa,jpa,43,332703
findUserByName_jpa,jpa,44,305216
findUserByName_jpa,jpa,45,327671
findUserByName_jpa,jpa,46,342415
findUserByName_jpa,jpa,47,305243
findUserByName_jpa,jpa,48,294125
findUserByName_jpa,jpa,49,299001
findUserByName_jpa,jpa,50,331045
findUserByName_jpa,jpa,51,302056
findUserByName_jpa,jpa,52,331477
findUserByName_jpa,jpa,53,441364
findUserByName_jpa,jpa,54,476962
findUserByName_jpa,jpa,55,458972
findUserByName_jpa,jpa,56,317653
findUserByName_jpa,jpa,57,300066
findUserByName_jpa,jpa,58,299360
findUserByName_jpa,jpa,59,303679
findUserByName_jpa,jpa,60,320004
findUserByName_jpa,jpa,61,710493
findUserByName_jpa,jpa,62,814628
findUserByName_jpa,jpa,63,601199
findUserByName_jpa,jpa,64,538408
findUserByName_jpa,jpa,65,359691
findUserByName_jpa,jpa,66,336382
findUserByName_jpa,jpa,67,283551
findUserByName_jpa,jpa,68,271467
findUserByName_jpa,jpa,69,259560
findUserByName_jpa,jpa,70,281175
findUserByName_jpa,jpa,71,260377
findUserByName_jpa,jpa,72,259715
findUserByName_jpa,jpa,73,259375
findUserByName_jpa,jpa,74,299423
findUserByName_jpa,jpa,75,290965
findUserByName_jpa,jpa,76,289290
findUserByName_jpa,jpa,77,300641
findUserByName_jpa,jpa,78,275728
findUserByName_jpa,jpa,79,284465
findUserByName_jpa,jpa,80,277252
findUserByName_jpa,jpa,81,285665
findUserByName_jpa,jpa,82,268852
findUserByName_jpa,jpa,83,275647
findUserByName_jpa,jpa,84,286149
findUserByName_jpa,jpa,85,276807
findUserByName_jpa,jpa,86,266608
findUserByName_jpa,jpa,87,257601
findUserByName_jpa,jpa,88,266192
findUserByName_jpa,jpa,89,267747
findUserByName_jpa,jpa,90,263248
findUserByName_jpa,jpa,91,259098
findUserByName_jpa,jpa,92,394578
findUserByName_jpa,jpa,93,515014
findUserByName_jpa,jpa,94,549072
findUserByName_jpa,jpa,95,366984
findUserByName_jpa,jpa,96,327220
findUserByName_jpa,jpa,97,652622
findUserByName_jpa,jpa,98,482821
findUserByName_jpa,jpa,99,368326
findUserByName_jpa,jpa,100,295437
findUserByName_jpa,jpa,101,314252
findUserByName_jpa,jpa,102,286501
findUserByName_jpa,jpa,103,331432
findUserByName_jpa,jpa,104,320182
