test,impl,iteration,nanos
loadFunctionAndPoints_jpa,jpa,0,246930
loadFunctionAndPoints_jpa,jpa,1,288888
loadFunctionAndPoints_jpa,jpa,2,277996
loadFunctionAndPoints_jpa,jpa,3,309722
loadFunctionAndPoints_jpa,jpa,4,296300
loadFunctionAndPoints_jpa,jpa,5,341193
loadFunctionAndPoints_jpa,jpa,6,357577
loadFunctionAndPoints_jpa,jpa,7,325417
loadFunctionAndPoints_jpa,jpa,8,424400
loadFunctionAndPoints_jpa,jpa,9,344669
loadFunctionAndPoints_jpa,jpa,10,314246
loadFunctionAndPoints_jpa,jpa,11,291970
loadFunctionAndPoints_jpa,jpa,12,297332
loadFunctionAndPoints_jpa,jpa,13,266335
loadFunctionAndPoints_jpa,jpa,14,253001
loadFunctionAndPoints_jpa,jpa,15,204154
loadFunctionAndPoints_jpa,jpa,16,195797
loadFunctionAndPoints_jpa,jpa,17,243201
loadFunctionAndPoints_jpa,jpa,18,298628
loadFunctionAndPoints_jpa,jpa,19,301138
loadFunctionAndPoints_jpa,jpa,20,304393
loadFunctionAndPoints_jpa,jpa,21,309390
loadFunctionAndPoints_jpa,jpa,22,294074
loadFunctionAndPoints_jpa,jpa,23,300751
loadFunctionAndPoints_jpa,jpa,24,295095
loadFunctionAndPoints_jpa,jpa,25,310403
loadFunctionAndPoints_jpa,jpa,26,293644
loadFunctionAndPoints_jpa,jpa,27,256162
loadFunctionAndPoints_jpa,jpa,28,221700
loadFunctionAndPoints_jpa,jpa,29,205889
loadFunctionAndPoints_jpa,jpa,30,196291
loadFunctionAndPoints_jpa,jpa,31,198054
loadFunctionAndPoints_jpa,jpa,32,201712
loadFunctionAndPoints_jpa,jpa,33,252947
loadFunctionAndPoints_jpa,jpa,34,256137
loadFunctionAndPoints_jpa,jpa,35,260117
loadFunctionAndPoints_jpa,jpa,36,240763
loadFunctionAndPoints_jpa,jpa,37,293830
loadFunctionAndPoints_jpa,jpa,38,537561
loadFunctionAndPoints_jpa,jpa,39,438907
loadFunctionAndPoints_jpa,jpa,40,442809
loadFunctionAndPoints_jpa,jpa,41,604610
loadFunctionAndPoints_jpa,jpa,42,414798
loadFunctionAndPoints_jpa,jpa,43,278600
loadFunctionAndPoints_jpa,jpa,44,267762
loadFunctionAndPoints_jpa,jpa,45,277769
loadFunctionAndPoints_jpa,jpa,46,299371
loadFunctionAndPoints_jpa,jpa,47,377608
loadFunctionAndPoints_jpa,jpa,48,368073
loadFunctionAndPoints_jpa,jpa,49,282134
loadFunctionAndPoints_jpa,jpa,50,247322
loadFunctionAndPoints_jpa,jpa,51,239111
loadFunctionAndPoints_jpa,jpa,52,378789
loadFunctionAndPoints_jpa,jpa,53,267371
loadFunctionAndPoints_jpa,jpa,54,354726
loadFunctionAndPoints_jpa,jpa,55,485705
loadFunctionAndPoints_jpa,jpa,56,488198
loadFunctionAndPoints_jpa,jpa,57,507797
loadFunctionAndPoints_jpa,jpa,58,457095
loadFunctionAndPoints_jpa,jpa,59,658987
loadFunctionAndPoints_jpa,jpa,60,570834
loadFunctionAndPoints_jpa,jpa,61,403448
loadFunctionAndPoints_jpa,jpa,62,404640
loadFunctionAndPoints_jpa,jpa,63,380761
loadFunctionAndPoints_jpa,jpa,64,381282
loadFunctionAndPoints_jpa,jpa,65,380779
loadFunctionAndPoints_jpa,jpa,66,362139
loadFunctionAndPoints_jpa,jpa,67,398631
loadFunctionAndPoints_jpa,jpa,68,424965
loadFunctionAndPoints_jpa,jpa,69,312698
loadFunctionAndPoints_jpa,jpa,70,330696
loadFunctionAndPoints_jpa,jpa,71,378852
loadFunctionAndPoints_jpa,jpa,72,438636
loadFunctionAndPoints_jpa,jpa,73,535665
loadFunctionAndPoints_jpa,jpa,74,384130
loadFunctionAndPoints_jpa,jpa,75,467612
loadFunctionAndPoints_jpa,jpa,76,391990
loadFunctionAndPoints_jpa,jpa,77,364956
loadFunctionAndPoints_jpa,jpa,78,337973
loadFunctionAndPoints_jpa,jpa,79,302863
loadFunctionAndPoints_jpa,jpa,80,322004
loadFunctionAndPoints_jpa,jpa,81,262401
loadFunctionAndPoints_jpa,jpa,82,270187
loadFunctionAndPoints_jpa,jpa,83,371690
loadFunctionAndPoints_jpa,jpa,84,376138
loadFunctionAndPoints_jpa,jpa,85,318593
loadFunctionAndPoints_jpa,jpa,86,291347
loadFunctionAndPoints_jpa,jpa,87,275754
loadFunctionAndPoints_jpa,jpa,88,263946
loadFunctionAndPoints_jpa,jpa,89,275394
loadFunctionAndPoints_jpa,jpa,90,314015
loadFunctionAndPoints_jpa,jpa,91,291801
loadFunctionAndPoints_jpa,jpa,92,288470
loadFunctionAndPoints_jpa,jpa,93,291749
loadFunctionAndPoints_jpa,jpa,94,284693
loadFunctionAndPoints_jpa,jpa,95,351760
loadFunctionAndPoints_jpa,jpa,96,369144
loadFunctionAndPoints_jpa,jpa,97,406461
loadFunctionAndPoints_jpa,jpa,98,523588
loadFunctionAndPoints_jpa,jpa,99,378429
loadFunctionAndPoints_jpa,jpa,100,322859
loadFunctionAndPoints_jpa,jpa,101,311949
loadFunctionAndPoints_jpa,jpa,102,286613
loadFunctionAndPoints_jpa,jpa,103,303039
loadFunctionAndPoints_jpa,jpa,104,336236
loadFunctionAndPoints_jpa,jpa,105,346475
loadFunctionAndPoints_jpa,jpa,106,337234
loadFunctionAndPoints_jpa,jpa,107,372630
loadFunctionAndPoints_jpa,jpa,108,479334
loadFunctionAndPoints_jpa,jpa,109,577210
loadFunctionAndPoints_jpa,jpa,110,421097
