test,impl,iteration,nanos
sort_by_name,db,0,90453000
sort_by_name,db,1,262630500
sort_by_name,db,2,95472400
sort_by_name,db,3,103921100
sort_by_name,db,4,169125600
sort_by_name,db,5,93563100
sort_by_name,db,6,90227700
sort_by_name,db,7,149838300
sort_by_name,db,8,108936900
sort_by_name,db,9,130523300
sort_by_name,db,10,135074000
sort_by_name,db,11,209417700
sort_by_name,db,12,92768800
sort_by_name,db,13,91262000
sort_by_name,db,14,178572100
sort_by_name,db,15,107580000
sort_by_name,db,16,109586700
sort_by_name,db,17,169093700
sort_by_name,db,18,244425400
sort_by_name,db,19,172393400
sort_by_name,db,20,226300900
sort_by_name,db,21,111529900
sort_by_name,db,22,239617100
sort_by_name,db,23,95174700
sort_by_name,db,24,92976200
sort_by_name,db,25,188965400
sort_by_name,db,26,156078500
sort_by_name,db,27,450489200
sort_by_name,db,28,159232100
sort_by_name,db,29,178623000
sort_by_name,db,30,95252100
sort_by_name,db,31,108654200
sort_by_name,db,32,181485100
sort_by_name,db,33,143445400
sort_by_name,db,34,96764600
sort_by_name,db,35,100731300
sort_by_name,db,36,210176700
sort_by_name,db,37,255760400
sort_by_name,db,38,121241500
sort_by_name,db,39,100253100
sort_by_name,db,40,139162500
sort_by_name,db,41,118032900
sort_by_name,db,42,113689900
sort_by_name,db,43,132036000
sort_by_name,db,44,131907900
sort_by_name,db,45,151936200
sort_by_name,db,46,114181200
sort_by_name,db,47,95260000
sort_by_name,db,48,149774000
sort_by_name,db,49,221282300
sort_by_name,db,50,104130100
sort_by_name,db,51,106444900
sort_by_name,db,52,166302600
sort_by_name,db,53,153999900
sort_by_name,db,54,92229000
sort_by_name,db,55,103143900
sort_by_name,db,56,140311700
sort_by_name,db,57,93080300
sort_by_name,db,58,150369800
sort_by_name,db,59,118044100
sort_by_name,db,60,98391200
sort_by_name,db,61,138641300
sort_by_name,db,62,132778800
sort_by_name,db,63,111796800
sort_by_name,db,64,88753500
sort_by_name,db,65,160887100
sort_by_name,db,66,97326500
sort_by_name,db,67,97107900
sort_by_name,db,68,159212900
sort_by_name,db,69,93852000
sort_by_name,db,70,228706000
sort_by_name,db,71,151579900
sort_by_name,db,72,193928100
sort_by_name,db,73,92045500
sort_by_name,db,74,102406000
sort_by_name,db,75,152933000
sort_by_name,db,76,94457000
sort_by_name,db,77,96965100
sort_by_name,db,78,149635700
sort_by_name,db,79,103237800
sort_by_name,db,80,93530500
sort_by_name,db,81,152061200
sort_by_name,db,82,113775000
sort_by_name,db,83,143797700
sort_by_name,db,84,122148400
sort_by_name,db,85,116133600
sort_by_name,db,86,122751300
sort_by_name,db,87,110966300
sort_by_name,db,88,196197600
sort_by_name,db,89,198882500
sort_by_name,db,90,415931800
sort_by_name,db,91,303829800
sort_by_name,db,92,163341900
sort_by_name,db,93,244010200
sort_by_name,db,94,99719800
sort_by_name,db,95,92371600
sort_by_name,db,96,179817600
sort_by_name,db,97,94755600
sort_by_name,db,98,96127700
sort_by_name,db,99,154724100
sort_by_name,db,100,90241700
sort_by_name,db,101,92825800
sort_by_name,db,102,177405000
sort_by_name,db,103,94683200
sort_by_name,db,104,89790400
sort_by_name,db,105,185341500
sort_by_name,db,106,98787400
sort_by_name,db,107,96462100
sort_by_name,db,108,160049400
sort_by_name,db,109,92921300
sort_by_name,db,110,312799700
sort_by_name,db,111,100953800
sort_by_name,db,112,101494700
sort_by_name,db,113,172601200
sort_by_name,db,114,173518200
sort_by_name,db,115,94763700
sort_by_name,db,116,92442300
sort_by_name,db,117,147703600
sort_by_name,db,118,94222000
sort_by_name,db,119,101317200
sort_by_name,db,120,150216400
sort_by_name,db,121,111044800
