test,impl,iteration,nanos
sort_by_name,memory,0,61113500
sort_by_name,memory,1,88192000
sort_by_name,memory,2,174470400
sort_by_name,memory,3,86206300
sort_by_name,memory,4,67168200
sort_by_name,memory,5,82294500
sort_by_name,memory,6,97369000
sort_by_name,memory,7,49635800
sort_by_name,memory,8,54446000
sort_by_name,memory,9,145609900
sort_by_name,memory,10,51489000
sort_by_name,memory,11,58826700
sort_by_name,memory,12,65893300
sort_by_name,memory,13,73010000
sort_by_name,memory,14,96274600
sort_by_name,memory,15,53188200
sort_by_name,memory,16,120413500
sort_by_name,memory,17,103657200
sort_by_name,memory,18,64912900
sort_by_name,memory,19,70238000
sort_by_name,memory,20,92262300
sort_by_name,memory,21,54687800
sort_by_name,memory,22,111096800
sort_by_name,memory,23,122151800
sort_by_name,memory,24,377673500
sort_by_name,memory,25,50307900
sort_by_name,memory,26,49834200
sort_by_name,memory,27,50971100
sort_by_name,memory,28,65989300
sort_by_name,memory,29,114180200
sort_by_name,memory,30,169256700
sort_by_name,memory,31,85530500
sort_by_name,memory,32,76052200
sort_by_name,memory,33,52421700
sort_by_name,memory,34,105183200
sort_by_name,memory,35,49368900
sort_by_name,memory,36,65200800
sort_by_name,memory,37,113063100
sort_by_name,memory,38,51005200
sort_by_name,memory,39,60658700
sort_by_name,memory,40,136128200
sort_by_name,memory,41,52551100
sort_by_name,memory,42,138145000
sort_by_name,memory,43,51591900
sort_by_name,memory,44,54925600
sort_by_name,memory,45,46261500
sort_by_name,memory,46,68199100
sort_by_name,memory,47,108043300
sort_by_name,memory,48,67566900
sort_by_name,memory,49,74975400
sort_by_name,memory,50,96603200
sort_by_name,memory,51,51622900
sort_by_name,memory,52,73514300
sort_by_name,memory,53,108287500
sort_by_name,memory,54,52956300
sort_by_name,memory,55,118642600
sort_by_name,memory,56,105740900
sort_by_name,memory,57,56621800
sort_by_name,memory,58,56611700
sort_by_name,memory,59,112585300
sort_by_name,memory,60,50394400
sort_by_name,memory,61,77286100
sort_by_name,memory,62,122649600
sort_by_name,memory,63,55499900
sort_by_name,memory,64,123367400
sort_by_name,memory,65,62527700
sort_by_name,memory,66,55741700
sort_by_name,memory,67,49352600
sort_by_name,memory,68,159328800
sort_by_name,memory,69,51894800
sort_by_name,memory,70,52338500
sort_by_name,memory,71,56081900
sort_by_name,memory,72,90674900
sort_by_name,memory,73,103141700
sort_by_name,memory,74,70237300
sort_by_name,memory,75,83759800
sort_by_name,memory,76,90999000
sort_by_name,memory,77,51849700
sort_by_name,memory,78,51778900
sort_by_name,memory,79,123206000
sort_by_name,memory,80,75644500
sort_by_name,memory,81,56806700
sort_by_name,memory,82,60950100
sort_by_name,memory,83,128546900
sort_by_name,memory,84,52211600
sort_by_name,memory,85,51503100
sort_by_name,memory,86,57197800
sort_by_name,memory,87,55858600
sort_by_name,memory,88,118706200
sort_by_name,memory,89,57710900
sort_by_name,memory,90,70032400
sort_by_name,memory,91,88501200
sort_by_name,memory,92,71568600
sort_by_name,memory,93,49535800
sort_by_name,memory,94,169662400
sort_by_name,memory,95,106022900
sort_by_name,memory,96,80233100
sort_by_name,memory,97,53941700
sort_by_name,memory,98,86459200
sort_by_name,memory,99,135206300
sort_by_name,memory,100,51657900
sort_by_name,memory,101,91098200
sort_by_name,memory,102,80512300
sort_by_name,memory,103,72977500
sort_by_name,memory,104,225254800
sort_by_name,memory,105,112940400
sort_by_name,memory,106,342654400
sort_by_name,memory,107,102951900
sort_by_name,memory,108,75594000
sort_by_name,memory,109,146524200
sort_by_name,memory,110,98945500
sort_by_name,memory,111,129768100
sort_by_name,memory,112,166877200
sort_by_name,memory,113,63758400
sort_by_name,memory,114,99781000
sort_by_name,memory,115,64949800
sort_by_name,memory,116,139656800
sort_by_name,memory,117,59149900
sort_by_name,memory,118,53325400
sort_by_name,memory,119,50707600
sort_by_name,memory,120,62540500
sort_by_name,memory,121,96425200
sort_by_name,memory,122,63335900
sort_by_name,memory,123,139955700
sort_by_name,memory,124,105172700
sort_by_name,memory,125,49471400
sort_by_name,memory,126,53734300
sort_by_name,memory,127,116160300
sort_by_name,memory,128,52681000
sort_by_name,memory,129,149732900
sort_by_name,memory,130,53310300
sort_by_name,memory,131,48400300
sort_by_name,memory,132,55314200
sort_by_name,memory,133,69642000
sort_by_name,memory,134,103291900
