test,impl,iteration,nanos
sort_functions_by_name_asc,db,0,19651261
sort_functions_by_name_asc,db,1,17232554
sort_functions_by_name_asc,db,2,16413198
sort_functions_by_name_asc,db,3,17573879
sort_functions_by_name_asc,db,4,28221062
sort_functions_by_name_asc,db,5,28857458
sort_functions_by_name_asc,db,6,27932757
sort_functions_by_name_asc,db,7,28314339
sort_functions_by_name_asc,db,8,26877357
sort_functions_by_name_asc,db,9,28004642
sort_functions_by_name_asc,db,10,30897014
sort_functions_by_name_asc,db,11,34502424
sort_functions_by_name_asc,db,12,32173220
sort_functions_by_name_asc,db,13,27618784
sort_functions_by_name_asc,db,14,41981649
sort_functions_by_name_asc,db,15,32668686
sort_functions_by_name_asc,db,16,33415281
sort_functions_by_name_asc,db,17,34240750
sort_functions_by_name_asc,db,18,26653879
sort_functions_by_name_asc,db,19,25776456
sort_functions_by_name_asc,db,20,36389067
sort_functions_by_name_asc,db,21,31201671
sort_functions_by_name_asc,db,22,17818339
sort_functions_by_name_asc,db,23,21534497
sort_functions_by_name_asc,db,24,22875771
sort_functions_by_name_asc,db,25,22303480
sort_functions_by_name_asc,db,26,23163614
sort_functions_by_name_asc,db,27,19005132
sort_functions_by_name_asc,db,28,18527336
sort_functions_by_name_asc,db,29,18184373
sort_functions_by_name_asc,db,30,16688739
sort_functions_by_name_asc,db,31,18989608
sort_functions_by_name_asc,db,32,16535240
sort_functions_by_name_asc,db,33,16561537
sort_functions_by_name_asc,db,34,19101434
sort_functions_by_name_asc,db,35,15813167
sort_functions_by_name_asc,db,36,18428518
sort_functions_by_name_asc,db,37,15786723
sort_functions_by_name_asc,db,38,26463090
sort_functions_by_name_asc,db,39,33250091
sort_functions_by_name_asc,db,40,22628777
sort_functions_by_name_asc,db,41,21213341
sort_functions_by_name_asc,db,42,20630967
sort_functions_by_name_asc,db,43,21848587
sort_functions_by_name_asc,db,44,20681173
sort_functions_by_name_asc,db,45,19557124
sort_functions_by_name_asc,db,46,18166314
sort_functions_by_name_asc,db,47,18549808
sort_functions_by_name_asc,db,48,19177402
sort_functions_by_name_asc,db,49,18552627
sort_functions_by_name_asc,db,50,18700843
sort_functions_by_name_asc,db,51,19068867
sort_functions_by_name_asc,db,52,19022524
sort_functions_by_name_asc,db,53,18583764
sort_functions_by_name_asc,db,54,19091417
sort_functions_by_name_asc,db,55,18407419
sort_functions_by_name_asc,db,56,18620510
sort_functions_by_name_asc,db,57,18993457
sort_functions_by_name_asc,db,58,20872793
sort_functions_by_name_asc,db,59,17540595
sort_functions_by_name_asc,db,60,16133531
sort_functions_by_name_asc,db,61,21546825
sort_functions_by_name_asc,db,62,17515441
sort_functions_by_name_asc,db,63,19325930
sort_functions_by_name_asc,db,64,16478292
sort_functions_by_name_asc,db,65,17666153
sort_functions_by_name_asc,db,66,16447539
sort_functions_by_name_asc,db,67,17248942
sort_functions_by_name_asc,db,68,17015911
sort_functions_by_name_asc,db,69,16358821
sort_functions_by_name_asc,db,70,26762375
sort_functions_by_name_asc,db,71,17095410
sort_functions_by_name_asc,db,72,20003417
sort_functions_by_name_asc,db,73,15594860
sort_functions_by_name_asc,db,74,18687462
sort_functions_by_name_asc,db,75,19533205
sort_functions_by_name_asc,db,76,15520795
sort_functions_by_name_asc,db,77,17207194
sort_functions_by_name_asc,db,78,15323097
sort_functions_by_name_asc,db,79,17528626
sort_functions_by_name_asc,db,80,15123214
sort_functions_by_name_asc,db,81,15871877
sort_functions_by_name_asc,db,82,16880966
sort_functions_by_name_asc,db,83,15959443
sort_functions_by_name_asc,db,84,15990734
sort_functions_by_name_asc,db,85,15899059
sort_functions_by_name_asc,db,86,16171286
sort_functions_by_name_asc,db,87,17617467
sort_functions_by_name_asc,db,88,15312661
sort_functions_by_name_asc,db,89,16883827
sort_functions_by_name_asc,db,90,15830681
sort_functions_by_name_asc,db,91,15222093
sort_functions_by_name_asc,db,92,17676113
sort_functions_by_name_asc,db,93,14327051
sort_functions_by_name_asc,db,94,29244329
sort_functions_by_name_asc,db,95,35582667
sort_functions_by_name_asc,db,96,23130916
sort_functions_by_name_asc,db,97,17766664
sort_functions_by_name_asc,db,98,18956654
sort_functions_by_name_asc,db,99,19968457
