test,impl,iteration,nanos
sort_functions_by_name_asc,memory,0,15856159
sort_functions_by_name_asc,memory,1,19331200
sort_functions_by_name_asc,memory,2,16493908
sort_functions_by_name_asc,memory,3,17750638
sort_functions_by_name_asc,memory,4,16299901
sort_functions_by_name_asc,memory,5,16295010
sort_functions_by_name_asc,memory,6,19637064
sort_functions_by_name_asc,memory,7,15566495
sort_functions_by_name_asc,memory,8,17986626
sort_functions_by_name_asc,memory,9,15754837
sort_functions_by_name_asc,memory,10,17888672
sort_functions_by_name_asc,memory,11,17494889
sort_functions_by_name_asc,memory,12,15850134
sort_functions_by_name_asc,memory,13,17113291
sort_functions_by_name_asc,memory,14,16722637
sort_functions_by_name_asc,memory,15,17447163
sort_functions_by_name_asc,memory,16,21112737
sort_functions_by_name_asc,memory,17,21393805
sort_functions_by_name_asc,memory,18,20626865
sort_functions_by_name_asc,memory,19,20774095
sort_functions_by_name_asc,memory,20,17964864
sort_functions_by_name_asc,memory,21,16824457
sort_functions_by_name_asc,memory,22,19385209
sort_functions_by_name_asc,memory,23,16233038
sort_functions_by_name_asc,memory,24,15189046
sort_functions_by_name_asc,memory,25,17069859
sort_functions_by_name_asc,memory,26,15902075
sort_functions_by_name_asc,memory,27,19608902
sort_functions_by_name_asc,memory,28,20303422
sort_functions_by_name_asc,memory,29,22675020
sort_functions_by_name_asc,memory,30,32008654
sort_functions_by_name_asc,memory,31,17770697
sort_functions_by_name_asc,memory,32,18861853
sort_functions_by_name_asc,memory,33,17834854
sort_functions_by_name_asc,memory,34,16349885
sort_functions_by_name_asc,memory,35,17874569
sort_functions_by_name_asc,memory,36,15945704
sort_functions_by_name_asc,memory,37,17057734
sort_functions_by_name_asc,memory,38,17783477
sort_functions_by_name_asc,memory,39,16365774
sort_functions_by_name_asc,memory,40,18888302
sort_functions_by_name_asc,memory,41,16308475
sort_functions_by_name_asc,memory,42,18620039
sort_functions_by_name_asc,memory,43,17069759
sort_functions_by_name_asc,memory,44,15092730
sort_functions_by_name_asc,memory,45,19827014
sort_functions_by_name_asc,memory,46,18173730
sort_functions_by_name_asc,memory,47,17466396
sort_functions_by_name_asc,memory,48,25542299
sort_functions_by_name_asc,memory,49,19080715
sort_functions_by_name_asc,memory,50,15385100
sort_functions_by_name_asc,memory,51,16365245
sort_functions_by_name_asc,memory,52,15989454
sort_functions_by_name_asc,memory,53,14808099
sort_functions_by_name_asc,memory,54,20451516
sort_functions_by_name_asc,memory,55,15414624
sort_functions_by_name_asc,memory,56,16133996
sort_functions_by_name_asc,memory,57,16608399
sort_functions_by_name_asc,memory,58,15387284
sort_functions_by_name_asc,memory,59,17927620
sort_functions_by_name_asc,memory,60,15891171
sort_functions_by_name_asc,memory,61,15815404
sort_functions_by_name_asc,memory,62,16978873
sort_functions_by_name_asc,memory,63,14945790
sort_functions_by_name_asc,memory,64,19967074
sort_functions_by_name_asc,memory,65,16302806
sort_functions_by_name_asc,memory,66,16527877
sort_functions_by_name_asc,memory,67,16713422
sort_functions_by_name_asc,memory,68,16040834
sort_functions_by_name_asc,memory,69,16249318
sort_functions_by_name_asc,memory,70,15727831
sort_functions_by_name_asc,memory,71,15803862
sort_functions_by_name_asc,memory,72,16201231
sort_functions_by_name_asc,memory,73,15120093
sort_functions_by_name_asc,memory,74,15783895
sort_functions_by_name_asc,memory,75,16018558
sort_functions_by_name_asc,memory,76,18695938
sort_functions_by_name_asc,memory,77,16850815
sort_functions_by_name_asc,memory,78,14905227
sort_functions_by_name_asc,memory,79,15187974
sort_functions_by_name_asc,memory,80,16759616
sort_functions_by_name_asc,memory,81,15900707
sort_functions_by_name_asc,memory,82,19670850
sort_functions_by_name_asc,memory,83,16655282
sort_functions_by_name_asc,memory,84,20609123
sort_functions_by_name_asc,memory,85,16013085
sort_functions_by_name_asc,memory,86,17596403
sort_functions_by_name_asc,memory,87,16818448
sort_functions_by_name_asc,memory,88,15384843
sort_functions_by_name_asc,memory,89,16687543
sort_functions_by_name_asc,memory,90,16401351
sort_functions_by_name_asc,memory,91,16862921
sort_functions_by_name_asc,memory,92,16269501
sort_functions_by_name_asc,memory,93,15135024
sort_functions_by_name_asc,memory,94,15401737
sort_functions_by_name_asc,memory,95,17149864
sort_functions_by_name_asc,memory,96,15160550
sort_functions_by_name_asc,memory,97,19501344
sort_functions_by_name_asc,memory,98,14785540
sort_functions_by_name_asc,memory,99,16104250
