test,impl,iteration,nanos
sort_functions_by_user_id_asc,db,0,16488930
sort_functions_by_user_id_asc,db,1,17238122
sort_functions_by_user_id_asc,db,2,17242814
sort_functions_by_user_id_asc,db,3,17335851
sort_functions_by_user_id_asc,db,4,16717470
sort_functions_by_user_id_asc,db,5,17821053
sort_functions_by_user_id_asc,db,6,16743221
sort_functions_by_user_id_asc,db,7,15251332
sort_functions_by_user_id_asc,db,8,15598357
sort_functions_by_user_id_asc,db,9,18217846
sort_functions_by_user_id_asc,db,10,15293098
sort_functions_by_user_id_asc,db,11,18075592
sort_functions_by_user_id_asc,db,12,15396805
sort_functions_by_user_id_asc,db,13,18581821
sort_functions_by_user_id_asc,db,14,15486523
sort_functions_by_user_id_asc,db,15,15309203
sort_functions_by_user_id_asc,db,16,18231041
sort_functions_by_user_id_asc,db,17,15954928
sort_functions_by_user_id_asc,db,18,16367582
sort_functions_by_user_id_asc,db,19,16365896
sort_functions_by_user_id_asc,db,20,15899114
sort_functions_by_user_id_asc,db,21,16355882
sort_functions_by_user_id_asc,db,22,15087428
sort_functions_by_user_id_asc,db,23,15453026
sort_functions_by_user_id_asc,db,24,15396812
sort_functions_by_user_id_asc,db,25,14947721
sort_functions_by_user_id_asc,db,26,15003830
sort_functions_by_user_id_asc,db,27,18147591
sort_functions_by_user_id_asc,db,28,15031314
sort_functions_by_user_id_asc,db,29,16911467
sort_functions_by_user_id_asc,db,30,14298014
sort_functions_by_user_id_asc,db,31,14116642
sort_functions_by_user_id_asc,db,32,16158620
sort_functions_by_user_id_asc,db,33,14470677
sort_functions_by_user_id_asc,db,34,18622031
sort_functions_by_user_id_asc,db,35,18624732
sort_functions_by_user_id_asc,db,36,16685962
sort_functions_by_user_id_asc,db,37,18146949
sort_functions_by_user_id_asc,db,38,17148901
sort_functions_by_user_id_asc,db,39,17921487
sort_functions_by_user_id_asc,db,40,17742735
sort_functions_by_user_id_asc,db,41,18581679
sort_functions_by_user_id_asc,db,42,18182865
sort_functions_by_user_id_asc,db,43,17082312
sort_functions_by_user_id_asc,db,44,16345614
sort_functions_by_user_id_asc,db,45,14873322
sort_functions_by_user_id_asc,db,46,14875256
sort_functions_by_user_id_asc,db,47,17418780
sort_functions_by_user_id_asc,db,48,14831694
sort_functions_by_user_id_asc,db,49,17123128
sort_functions_by_user_id_asc,db,50,14408322
sort_functions_by_user_id_asc,db,51,14828951
sort_functions_by_user_id_asc,db,52,19398799
sort_functions_by_user_id_asc,db,53,14209546
sort_functions_by_user_id_asc,db,54,18110067
sort_functions_by_user_id_asc,db,55,14687011
sort_functions_by_user_id_asc,db,56,14333262
sort_functions_by_user_id_asc,db,57,16150732
sort_functions_by_user_id_asc,db,58,17191362
sort_functions_by_user_id_asc,db,59,16150938
sort_functions_by_user_id_asc,db,60,15680142
sort_functions_by_user_id_asc,db,61,14215866
sort_functions_by_user_id_asc,db,62,18208606
sort_functions_by_user_id_asc,db,63,14522023
sort_functions_by_user_id_asc,db,64,15929119
sort_functions_by_user_id_asc,db,65,15772277
sort_functions_by_user_id_asc,db,66,14688658
sort_functions_by_user_id_asc,db,67,15669722
sort_functions_by_user_id_asc,db,68,15122756
sort_functions_by_user_id_asc,db,69,15838363
sort_functions_by_user_id_asc,db,70,17744917
sort_functions_by_user_id_asc,db,71,15334544
sort_functions_by_user_id_asc,db,72,15868902
sort_functions_by_user_id_asc,db,73,16038733
sort_functions_by_user_id_asc,db,74,15519381
sort_functions_by_user_id_asc,db,75,17619902
sort_functions_by_user_id_asc,db,76,14741581
sort_functions_by_user_id_asc,db,77,14395067
sort_functions_by_user_id_asc,db,78,16225879
sort_functions_by_user_id_asc,db,79,14618985
sort_functions_by_user_id_asc,db,80,16748627
sort_functions_by_user_id_asc,db,81,14608148
sort_functions_by_user_id_asc,db,82,14436619
sort_functions_by_user_id_asc,db,83,15661405
sort_functions_by_user_id_asc,db,84,14819059
sort_functions_by_user_id_asc,db,85,14804135
sort_functions_by_user_id_asc,db,86,17238368
sort_functions_by_user_id_asc,db,87,15703790
sort_functions_by_user_id_asc,db,88,22124336
sort_functions_by_user_id_asc,db,89,16124885
sort_functions_by_user_id_asc,db,90,15597673
sort_functions_by_user_id_asc,db,91,15104487
sort_functions_by_user_id_asc,db,92,15040446
sort_functions_by_user_id_asc,db,93,16037333
sort_functions_by_user_id_asc,db,94,15839524
sort_functions_by_user_id_asc,db,95,15042271
sort_functions_by_user_id_asc,db,96,18797236
sort_functions_by_user_id_asc,db,97,15181200
sort_functions_by_user_id_asc,db,98,15672637
sort_functions_by_user_id_asc,db,99,17312589
