test,impl,iteration,nanos
sort_functions_by_user_id_asc,memory,0,16085113
sort_functions_by_user_id_asc,memory,1,17717429
sort_functions_by_user_id_asc,memory,2,17860969
sort_functions_by_user_id_asc,memory,3,19171607
sort_functions_by_user_id_asc,memory,4,16843044
sort_functions_by_user_id_asc,memory,5,15816327
sort_functions_by_user_id_asc,memory,6,15887049
sort_functions_by_user_id_asc,memory,7,16969614
sort_functions_by_user_id_asc,memory,8,16221773
sort_functions_by_user_id_asc,memory,9,16171604
sort_functions_by_user_id_asc,memory,10,15368507
sort_functions_by_user_id_asc,memory,11,16544284
sort_functions_by_user_id_asc,memory,12,16207118
sort_functions_by_user_id_asc,memory,13,15501668
sort_functions_by_user_id_asc,memory,14,17327738
sort_functions_by_user_id_asc,memory,15,15323470
sort_functions_by_user_id_asc,memory,16,17660578
sort_functions_by_user_id_asc,memory,17,15867319
sort_functions_by_user_id_asc,memory,18,17599018
sort_functions_by_user_id_asc,memory,19,19101003
sort_functions_by_user_id_asc,memory,20,15884293
sort_functions_by_user_id_asc,memory,21,18140891
sort_functions_by_user_id_asc,memory,22,16026504
sort_functions_by_user_id_asc,memory,23,18540674
sort_functions_by_user_id_asc,memory,24,15509536
sort_functions_by_user_id_asc,memory,25,14755226
sort_functions_by_user_id_asc,memory,26,16158535
sort_functions_by_user_id_asc,memory,27,16976414
sort_functions_by_user_id_asc,memory,28,16729277
sort_functions_by_user_id_asc,memory,29,16235986
sort_functions_by_user_id_asc,memory,30,15613828
sort_functions_by_user_id_asc,memory,31,16463508
sort_functions_by_user_id_asc,memory,32,15301682
sort_functions_by_user_id_asc,memory,33,13679841
sort_functions_by_user_id_asc,memory,34,19778825
sort_functions_by_user_id_asc,memory,35,13635568
sort_functions_by_user_id_asc,memory,36,14311367
sort_functions_by_user_id_asc,memory,37,18109110
sort_functions_by_user_id_asc,memory,38,14867645
sort_functions_by_user_id_asc,memory,39,16339556
sort_functions_by_user_id_asc,memory,40,15808511
sort_functions_by_user_id_asc,memory,41,14593799
sort_functions_by_user_id_asc,memory,42,16596337
sort_functions_by_user_id_asc,memory,43,15570775
sort_functions_by_user_id_asc,memory,44,20854870
sort_functions_by_user_id_asc,memory,45,18660760
sort_functions_by_user_id_asc,memory,46,16323871
sort_functions_by_user_id_asc,memory,47,15489627
sort_functions_by_user_id_asc,memory,48,14588379
sort_functions_by_user_id_asc,memory,49,15410054
sort_functions_by_user_id_asc,memory,50,16511432
sort_functions_by_user_id_asc,memory,51,16412527
sort_functions_by_user_id_asc,memory,52,16710263
sort_functions_by_user_id_asc,memory,53,14945120
sort_functions_by_user_id_asc,memory,54,14973647
sort_functions_by_user_id_asc,memory,55,17355090
sort_functions_by_user_id_asc,memory,56,14799840
sort_functions_by_user_id_asc,memory,57,18414894
sort_functions_by_user_id_asc,memory,58,14582069
sort_functions_by_user_id_asc,memory,59,15088156
sort_functions_by_user_id_asc,memory,60,16756159
sort_functions_by_user_id_asc,memory,61,15421485
sort_functions_by_user_id_asc,memory,62,19032014
sort_functions_by_user_id_asc,memory,63,15266728
sort_functions_by_user_id_asc,memory,64,14529315
sort_functions_by_user_id_asc,memory,65,18630875
sort_functions_by_user_id_asc,memory,66,14344149
sort_functions_by_user_id_asc,memory,67,17102293
sort_functions_by_user_id_asc,memory,68,15498521
sort_functions_by_user_id_asc,memory,69,15548996
sort_functions_by_user_id_asc,memory,70,15082086
sort_functions_by_user_id_asc,memory,71,15681869
sort_functions_by_user_id_asc,memory,72,15721329
sort_functions_by_user_id_asc,memory,73,15506751
sort_functions_by_user_id_asc,memory,74,14744631
sort_functions_by_user_id_asc,memory,75,14761507
sort_functions_by_user_id_asc,memory,76,17017874
sort_functions_by_user_id_asc,memory,77,25113995
sort_functions_by_user_id_asc,memory,78,26317701
sort_functions_by_user_id_asc,memory,79,17710278
sort_functions_by_user_id_asc,memory,80,15544958
sort_functions_by_user_id_asc,memory,81,14210656
sort_functions_by_user_id_asc,memory,82,15239240
sort_functions_by_user_id_asc,memory,83,17395100
sort_functions_by_user_id_asc,memory,84,14877323
sort_functions_by_user_id_asc,memory,85,16663522
sort_functions_by_user_id_asc,memory,86,15135262
sort_functions_by_user_id_asc,memory,87,26634832
sort_functions_by_user_id_asc,memory,88,16581916
sort_functions_by_user_id_asc,memory,89,16622312
sort_functions_by_user_id_asc,memory,90,18277270
sort_functions_by_user_id_asc,memory,91,14253892
sort_functions_by_user_id_asc,memory,92,17516046
sort_functions_by_user_id_asc,memory,93,14957100
sort_functions_by_user_id_asc,memory,94,14880910
sort_functions_by_user_id_asc,memory,95,17469589
sort_functions_by_user_id_asc,memory,96,15324495
sort_functions_by_user_id_asc,memory,97,17527685
sort_functions_by_user_id_asc,memory,98,14332285
sort_functions_by_user_id_asc,memory,99,17059698
