test,impl,iteration,nanos
sort_points_by_function_id_asc,db,0,27584413
sort_points_by_function_id_asc,db,1,27673828
sort_points_by_function_id_asc,db,2,28583600
sort_points_by_function_id_asc,db,3,25579593
sort_points_by_function_id_asc,db,4,28178961
sort_points_by_function_id_asc,db,5,28387130
sort_points_by_function_id_asc,db,6,24495900
sort_points_by_function_id_asc,db,7,27644937
sort_points_by_function_id_asc,db,8,24921580
sort_points_by_function_id_asc,db,9,25376637
sort_points_by_function_id_asc,db,10,27584270
sort_points_by_function_id_asc,db,11,25478779
sort_points_by_function_id_asc,db,12,26018625
sort_points_by_function_id_asc,db,13,28297656
sort_points_by_function_id_asc,db,14,27824619
sort_points_by_function_id_asc,db,15,26264440
sort_points_by_function_id_asc,db,16,27347366
sort_points_by_function_id_asc,db,17,25203522
sort_points_by_function_id_asc,db,18,29256641
sort_points_by_function_id_asc,db,19,30120944
sort_points_by_function_id_asc,db,20,29965460
sort_points_by_function_id_asc,db,21,27796071
sort_points_by_function_id_asc,db,22,27965688
sort_points_by_function_id_asc,db,23,27846537
sort_points_by_function_id_asc,db,24,26199779
sort_points_by_function_id_asc,db,25,26718992
sort_points_by_function_id_asc,db,26,27561969
sort_points_by_function_id_asc,db,27,24790840
sort_points_by_function_id_asc,db,28,28847823
sort_points_by_function_id_asc,db,29,25332297
sort_points_by_function_id_asc,db,30,28032794
sort_points_by_function_id_asc,db,31,30282679
sort_points_by_function_id_asc,db,32,27434482
sort_points_by_function_id_asc,db,33,28746443
sort_points_by_function_id_asc,db,34,30324358
sort_points_by_function_id_asc,db,35,29481509
sort_points_by_function_id_asc,db,36,27721901
sort_points_by_function_id_asc,db,37,29401923
sort_points_by_function_id_asc,db,38,26805154
sort_points_by_function_id_asc,db,39,29347506
sort_points_by_function_id_asc,db,40,29075222
sort_points_by_function_id_asc,db,41,28594330
sort_points_by_function_id_asc,db,42,27954819
sort_points_by_function_id_asc,db,43,30502233
sort_points_by_function_id_asc,db,44,29017571
sort_points_by_function_id_asc,db,45,26468592
sort_points_by_function_id_asc,db,46,30516907
sort_points_by_function_id_asc,db,47,27847913
sort_points_by_function_id_asc,db,48,28790149
sort_points_by_function_id_asc,db,49,24806028
sort_points_by_function_id_asc,db,50,28343786
sort_points_by_function_id_asc,db,51,24500447
sort_points_by_function_id_asc,db,52,27371767
sort_points_by_function_id_asc,db,53,27386153
sort_points_by_function_id_asc,db,54,25137784
sort_points_by_function_id_asc,db,55,27630158
sort_points_by_function_id_asc,db,56,25583021
sort_points_by_function_id_asc,db,57,25767852
sort_points_by_function_id_asc,db,58,26387341
sort_points_by_function_id_asc,db,59,27066981
sort_points_by_function_id_asc,db,60,25342682
sort_points_by_function_id_asc,db,61,27074972
sort_points_by_function_id_asc,db,62,25447676
sort_points_by_function_id_asc,db,63,27598659
sort_points_by_function_id_asc,db,64,27979128
sort_points_by_function_id_asc,db,65,24881101
sort_points_by_function_id_asc,db,66,25984097
sort_points_by_function_id_asc,db,67,23907639
sort_points_by_function_id_asc,db,68,28884365
sort_points_by_function_id_asc,db,69,27206656
sort_points_by_function_id_asc,db,70,25288624
sort_points_by_function_id_asc,db,71,28115381
sort_points_by_function_id_asc,db,72,24023319
sort_points_by_function_id_asc,db,73,27564380
sort_points_by_function_id_asc,db,74,28952187
sort_points_by_function_id_asc,db,75,24675535
sort_points_by_function_id_asc,db,76,27735198
sort_points_by_function_id_asc,db,77,26782667
sort_points_by_function_id_asc,db,78,24782368
sort_points_by_function_id_asc,db,79,27022579
sort_points_by_function_id_asc,db,80,25712492
sort_points_by_function_id_asc,db,81,26134714
sort_points_by_function_id_asc,db,82,26997210
sort_points_by_function_id_asc,db,83,26807894
sort_points_by_function_id_asc,db,84,25767380
sort_points_by_function_id_asc,db,85,26503565
sort_points_by_function_id_asc,db,86,25386907
sort_points_by_function_id_asc,db,87,28138105
sort_points_by_function_id_asc,db,88,28166507
sort_points_by_function_id_asc,db,89,23910118
sort_points_by_function_id_asc,db,90,28376487
sort_points_by_function_id_asc,db,91,26715406
sort_points_by_function_id_asc,db,92,25143023
sort_points_by_function_id_asc,db,93,29048705
sort_points_by_function_id_asc,db,94,26548204
sort_points_by_function_id_asc,db,95,25208759
sort_points_by_function_id_asc,db,96,28803641
sort_points_by_function_id_asc,db,97,24966111
sort_points_by_function_id_asc,db,98,28375862
sort_points_by_function_id_asc,db,99,26967255
