test,impl,iteration,nanos
sort_points_by_x_asc,db,0,27833323
sort_points_by_x_asc,db,1,25513846
sort_points_by_x_asc,db,2,26769322
sort_points_by_x_asc,db,3,27547429
sort_points_by_x_asc,db,4,24649279
sort_points_by_x_asc,db,5,27386522
sort_points_by_x_asc,db,6,26439226
sort_points_by_x_asc,db,7,25348600
sort_points_by_x_asc,db,8,27450103
sort_points_by_x_asc,db,9,25206402
sort_points_by_x_asc,db,10,30330160
sort_points_by_x_asc,db,11,28674450
sort_points_by_x_asc,db,12,25971402
sort_points_by_x_asc,db,13,27274377
sort_points_by_x_asc,db,14,28403910
sort_points_by_x_asc,db,15,27998455
sort_points_by_x_asc,db,16,27676447
sort_points_by_x_asc,db,17,32127592
sort_points_by_x_asc,db,18,39928390
sort_points_by_x_asc,db,19,38567889
sort_points_by_x_asc,db,20,46123502
sort_points_by_x_asc,db,21,35905608
sort_points_by_x_asc,db,22,38340948
sort_points_by_x_asc,db,23,31095675
sort_points_by_x_asc,db,24,29610816
sort_points_by_x_asc,db,25,30764219
sort_points_by_x_asc,db,26,36023556
sort_points_by_x_asc,db,27,41609637
sort_points_by_x_asc,db,28,31285556
sort_points_by_x_asc,db,29,46154308
sort_points_by_x_asc,db,30,36810860
sort_points_by_x_asc,db,31,34235759
sort_points_by_x_asc,db,32,36748447
sort_points_by_x_asc,db,33,38398780
sort_points_by_x_asc,db,34,39234358
sort_points_by_x_asc,db,35,33475164
sort_points_by_x_asc,db,36,33147198
sort_points_by_x_asc,db,37,33372428
sort_points_by_x_asc,db,38,28881981
sort_points_by_x_asc,db,39,31536100
sort_points_by_x_asc,db,40,30837150
sort_points_by_x_asc,db,41,26964776
sort_points_by_x_asc,db,42,30774095
sort_points_by_x_asc,db,43,28340082
sort_points_by_x_asc,db,44,26239724
sort_points_by_x_asc,db,45,28655916
sort_points_by_x_asc,db,46,28981139
sort_points_by_x_asc,db,47,27607944
sort_points_by_x_asc,db,48,27324766
sort_points_by_x_asc,db,49,29454611
sort_points_by_x_asc,db,50,26018962
sort_points_by_x_asc,db,51,26169747
sort_points_by_x_asc,db,52,26621373
sort_points_by_x_asc,db,53,25637003
sort_points_by_x_asc,db,54,26830539
sort_points_by_x_asc,db,55,27936755
sort_points_by_x_asc,db,56,25736512
sort_points_by_x_asc,db,57,27360082
sort_points_by_x_asc,db,58,29515214
sort_points_by_x_asc,db,59,25616017
sort_points_by_x_asc,db,60,26507996
sort_points_by_x_asc,db,61,26721245
sort_points_by_x_asc,db,62,25866717
sort_points_by_x_asc,db,63,27219046
sort_points_by_x_asc,db,64,26140996
sort_points_by_x_asc,db,65,25093926
sort_points_by_x_asc,db,66,29986843
sort_points_by_x_asc,db,67,25469143
sort_points_by_x_asc,db,68,26557335
sort_points_by_x_asc,db,69,28118952
sort_points_by_x_asc,db,70,24155291
sort_points_by_x_asc,db,71,27633815
sort_points_by_x_asc,db,72,25737051
sort_points_by_x_asc,db,73,25458940
sort_points_by_x_asc,db,74,29876014
sort_points_by_x_asc,db,75,32978663
sort_points_by_x_asc,db,76,29144589
sort_points_by_x_asc,db,77,28922964
sort_points_by_x_asc,db,78,30744713
sort_points_by_x_asc,db,79,27992998
sort_points_by_x_asc,db,80,28214017
sort_points_by_x_asc,db,81,29989394
sort_points_by_x_asc,db,82,32317859
sort_points_by_x_asc,db,83,32172498
sort_points_by_x_asc,db,84,29008353
sort_points_by_x_asc,db,85,29810844
sort_points_by_x_asc,db,86,27050969
sort_points_by_x_asc,db,87,26946140
sort_points_by_x_asc,db,88,27017294
sort_points_by_x_asc,db,89,25880812
sort_points_by_x_asc,db,90,27021840
sort_points_by_x_asc,db,91,27632300
sort_points_by_x_asc,db,92,25568480
sort_points_by_x_asc,db,93,29026092
sort_points_by_x_asc,db,94,26654463
sort_points_by_x_asc,db,95,26245359
sort_points_by_x_asc,db,96,28211757
sort_points_by_x_asc,db,97,26248207
sort_points_by_x_asc,db,98,25648657
sort_points_by_x_asc,db,99,26588666
