test,impl,iteration,nanos
sort_points_by_x_asc,memory,0,30022193
sort_points_by_x_asc,memory,1,28033750
sort_points_by_x_asc,memory,2,28263384
sort_points_by_x_asc,memory,3,26367670
sort_points_by_x_asc,memory,4,24902213
sort_points_by_x_asc,memory,5,27832824
sort_points_by_x_asc,memory,6,27493331
sort_points_by_x_asc,memory,7,25914079
sort_points_by_x_asc,memory,8,27773458
sort_points_by_x_asc,memory,9,30276962
sort_points_by_x_asc,memory,10,27144157
sort_points_by_x_asc,memory,11,25737103
sort_points_by_x_asc,memory,12,27491678
sort_points_by_x_asc,memory,13,23965197
sort_points_by_x_asc,memory,14,27581433
sort_points_by_x_asc,memory,15,27414516
sort_points_by_x_asc,memory,16,24837514
sort_points_by_x_asc,memory,17,27919723
sort_points_by_x_asc,memory,18,23507931
sort_points_by_x_asc,memory,19,28912356
sort_points_by_x_asc,memory,20,25891731
sort_points_by_x_asc,memory,21,25832967
sort_points_by_x_asc,memory,22,30722937
sort_points_by_x_asc,memory,23,28275877
sort_points_by_x_asc,memory,24,28342696
sort_points_by_x_asc,memory,25,27656465
sort_points_by_x_asc,memory,26,30000231
sort_points_by_x_asc,memory,27,24689391
sort_points_by_x_asc,memory,28,30164925
sort_points_by_x_asc,memory,29,27657472
sort_points_by_x_asc,memory,30,24456985
sort_points_by_x_asc,memory,31,28941070
sort_points_by_x_asc,memory,32,25679108
sort_points_by_x_asc,memory,33,26750411
sort_points_by_x_asc,memory,34,27609347
sort_points_by_x_asc,memory,35,27148748
sort_points_by_x_asc,memory,36,27144215
sort_points_by_x_asc,memory,37,28025817
sort_points_by_x_asc,memory,38,24685778
sort_points_by_x_asc,memory,39,27600927
sort_points_by_x_asc,memory,40,26347068
sort_points_by_x_asc,memory,41,24850091
sort_points_by_x_asc,memory,42,28310917
sort_points_by_x_asc,memory,43,26256904
sort_points_by_x_asc,memory,44,26051158
sort_points_by_x_asc,memory,45,27445696
sort_points_by_x_asc,memory,46,26063529
sort_points_by_x_asc,memory,47,26277063
sort_points_by_x_asc,memory,48,26632925
sort_points_by_x_asc,memory,49,25893299
sort_points_by_x_asc,memory,50,26240886
sort_points_by_x_asc,memory,51,28657572
sort_points_by_x_asc,memory,52,25125476
sort_points_by_x_asc,memory,53,27050945
sort_points_by_x_asc,memory,54,28842224
sort_points_by_x_asc,memory,55,24069118
sort_points_by_x_asc,memory,56,27820991
sort_points_by_x_asc,memory,57,25469077
sort_points_by_x_asc,memory,58,25125625
sort_points_by_x_asc,memory,59,28574045
sort_points_by_x_asc,memory,60,25898435
sort_points_by_x_asc,memory,61,26677865
sort_points_by_x_asc,memory,62,30793613
sort_points_by_x_asc,memory,63,28298103
sort_points_by_x_asc,memory,64,27917326
sort_points_by_x_asc,memory,65,31165967
sort_points_by_x_asc,memory,66,33135371
sort_points_by_x_asc,memory,67,33256336
sort_points_by_x_asc,memory,68,25963213
sort_points_by_x_asc,memory,69,28235564
sort_points_by_x_asc,memory,70,27577597
sort_points_by_x_asc,memory,71,26307383
sort_points_by_x_asc,memory,72,29058617
sort_points_by_x_asc,memory,73,25777424
sort_points_by_x_asc,memory,74,29247131
sort_points_by_x_asc,memory,75,30035640
sort_points_by_x_asc,memory,76,28401520
sort_points_by_x_asc,memory,77,27156646
sort_points_by_x_asc,memory,78,27679058
sort_points_by_x_asc,memory,79,30715776
sort_points_by_x_asc,memory,80,28016673
sort_points_by_x_asc,memory,81,29239696
sort_points_by_x_asc,memory,82,30902697
sort_points_by_x_asc,memory,83,30564026
sort_points_by_x_asc,memory,84,27265134
sort_points_by_x_asc,memory,85,29161821
sort_points_by_x_asc,memory,86,25704582
sort_points_by_x_asc,memory,87,27687715
sort_points_by_x_asc,memory,88,26024747
sort_points_by_x_asc,memory,89,24468351
sort_points_by_x_asc,memory,90,27543696
sort_points_by_x_asc,memory,91,27911818
sort_points_by_x_asc,memory,92,25445642
sort_points_by_x_asc,memory,93,26569973
sort_points_by_x_asc,memory,94,27785447
sort_points_by_x_asc,memory,95,25156510
sort_points_by_x_asc,memory,96,28556956
sort_points_by_x_asc,memory,97,27972935
sort_points_by_x_asc,memory,98,25295146
sort_points_by_x_asc,memory,99,28111391
