test,impl,iteration,nanos
sort_users_by_id_asc,db,0,1712781
sort_users_by_id_asc,db,1,1438443
sort_users_by_id_asc,db,2,1656065
sort_users_by_id_asc,db,3,1479567
sort_users_by_id_asc,db,4,1975467
sort_users_by_id_asc,db,5,2110854
sort_users_by_id_asc,db,6,2130530
sort_users_by_id_asc,db,7,2548676
sort_users_by_id_asc,db,8,2316609
sort_users_by_id_asc,db,9,1699014
sort_users_by_id_asc,db,10,1874705
sort_users_by_id_asc,db,11,1686435
sort_users_by_id_asc,db,12,1568295
sort_users_by_id_asc,db,13,1652832
sort_users_by_id_asc,db,14,2317607
sort_users_by_id_asc,db,15,1876779
sort_users_by_id_asc,db,16,2379226
sort_users_by_id_asc,db,17,2081609
sort_users_by_id_asc,db,18,1623177
sort_users_by_id_asc,db,19,1482435
sort_users_by_id_asc,db,20,1898298
sort_users_by_id_asc,db,21,1403682
sort_users_by_id_asc,db,22,988964
sort_users_by_id_asc,db,23,1295776
sort_users_by_id_asc,db,24,1675016
sort_users_by_id_asc,db,25,1362586
sort_users_by_id_asc,db,26,1209172
sort_users_by_id_asc,db,27,1180118
sort_users_by_id_asc,db,28,1021187
sort_users_by_id_asc,db,29,849594
sort_users_by_id_asc,db,30,845368
sort_users_by_id_asc,db,31,987257
sort_users_by_id_asc,db,32,798206
sort_users_by_id_asc,db,33,842463
sort_users_by_id_asc,db,34,865332
sort_users_by_id_asc,db,35,811181
sort_users_by_id_asc,db,36,968378
sort_users_by_id_asc,db,37,1184174
sort_users_by_id_asc,db,38,1463078
sort_users_by_id_asc,db,39,1490442
sort_users_by_id_asc,db,40,1272669
sort_users_by_id_asc,db,41,1003075
sort_users_by_id_asc,db,42,766612
sort_users_by_id_asc,db,43,685321
sort_users_by_id_asc,db,44,1118862
sort_users_by_id_asc,db,45,2679243
sort_users_by_id_asc,db,46,1840068
sort_users_by_id_asc,db,47,1255289
sort_users_by_id_asc,db,48,1224104
sort_users_by_id_asc,db,49,1523754
sort_users_by_id_asc,db,50,1484453
sort_users_by_id_asc,db,51,1850084
sort_users_by_id_asc,db,52,1695144
sort_users_by_id_asc,db,53,1130704
sort_users_by_id_asc,db,54,766008
sort_users_by_id_asc,db,55,645529
sort_users_by_id_asc,db,56,1486983
sort_users_by_id_asc,db,57,1130136
sort_users_by_id_asc,db,58,794609
sort_users_by_id_asc,db,59,719927
sort_users_by_id_asc,db,60,700328
sort_users_by_id_asc,db,61,719977
sort_users_by_id_asc,db,62,682510
sort_users_by_id_asc,db,63,723793
sort_users_by_id_asc,db,64,925575
sort_users_by_id_asc,db,65,1222217
sort_users_by_id_asc,db,66,1464249
sort_users_by_id_asc,db,67,1730124
sort_users_by_id_asc,db,68,1328259
sort_users_by_id_asc,db,69,1202706
sort_users_by_id_asc,db,70,1021959
sort_users_by_id_asc,db,71,1291150
sort_users_by_id_asc,db,72,1192525
sort_users_by_id_asc,db,73,1080226
sort_users_by_id_asc,db,74,1386211
sort_users_by_id_asc,db,75,1429468
sort_users_by_id_asc,db,76,1741164
sort_users_by_id_asc,db,77,2544936
sort_users_by_id_asc,db,78,1787355
sort_users_by_id_asc,db,79,1484237
sort_users_by_id_asc,db,80,1386872
sort_users_by_id_asc,db,81,1051825
sort_users_by_id_asc,db,82,1043683
sort_users_by_id_asc,db,83,982336
sort_users_by_id_asc,db,84,786063
sort_users_by_id_asc,db,85,861116
sort_users_by_id_asc,db,86,1180609
sort_users_by_id_asc,db,87,1432205
sort_users_by_id_asc,db,88,1514189
sort_users_by_id_asc,db,89,2188677
sort_users_by_id_asc,db,90,1758375
sort_users_by_id_asc,db,91,1669407
sort_users_by_id_asc,db,92,1393565
sort_users_by_id_asc,db,93,1244991
sort_users_by_id_asc,db,94,898676
sort_users_by_id_asc,db,95,864137
sort_users_by_id_asc,db,96,1101208
sort_users_by_id_asc,db,97,763598
sort_users_by_id_asc,db,98,696992
sort_users_by_id_asc,db,99,556653
