test,impl,iteration,nanos
sort_users_by_id_asc,memory,0,320245
sort_users_by_id_asc,memory,1,296661
sort_users_by_id_asc,memory,2,317442
sort_users_by_id_asc,memory,3,320946
sort_users_by_id_asc,memory,4,318643
sort_users_by_id_asc,memory,5,429383
sort_users_by_id_asc,memory,6,456080
sort_users_by_id_asc,memory,7,619890
sort_users_by_id_asc,memory,8,459070
sort_users_by_id_asc,memory,9,541421
sort_users_by_id_asc,memory,10,466266
sort_users_by_id_asc,memory,11,531098
sort_users_by_id_asc,memory,12,568907
sort_users_by_id_asc,memory,13,599027
sort_users_by_id_asc,memory,14,496578
sort_users_by_id_asc,memory,15,369950
sort_users_by_id_asc,memory,16,500229
sort_users_by_id_asc,memory,17,506968
sort_users_by_id_asc,memory,18,538303
sort_users_by_id_asc,memory,19,559958
sort_users_by_id_asc,memory,20,649424
sort_users_by_id_asc,memory,21,1438629
sort_users_by_id_asc,memory,22,1336926
sort_users_by_id_asc,memory,23,1372348
sort_users_by_id_asc,memory,24,1671270
sort_users_by_id_asc,memory,25,1347983
sort_users_by_id_asc,memory,26,673290
sort_users_by_id_asc,memory,27,470843
sort_users_by_id_asc,memory,28,403520
sort_users_by_id_asc,memory,29,400596
sort_users_by_id_asc,memory,30,325335
sort_users_by_id_asc,memory,31,287663
sort_users_by_id_asc,memory,32,391574
sort_users_by_id_asc,memory,33,320817
sort_users_by_id_asc,memory,34,277885
sort_users_by_id_asc,memory,35,304963
sort_users_by_id_asc,memory,36,371976
sort_users_by_id_asc,memory,37,479974
sort_users_by_id_asc,memory,38,645041
sort_users_by_id_asc,memory,39,664759
sort_users_by_id_asc,memory,40,419463
sort_users_by_id_asc,memory,41,355892
sort_users_by_id_asc,memory,42,406709
sort_users_by_id_asc,memory,43,329362
sort_users_by_id_asc,memory,44,319817
sort_users_by_id_asc,memory,45,314026
sort_users_by_id_asc,memory,46,301050
sort_users_by_id_asc,memory,47,338459
sort_users_by_id_asc,memory,48,349263
sort_users_by_id_asc,memory,49,388435
sort_users_by_id_asc,memory,50,701600
sort_users_by_id_asc,memory,51,670385
sort_users_by_id_asc,memory,52,517630
sort_users_by_id_asc,memory,53,411051
sort_users_by_id_asc,memory,54,358840
sort_users_by_id_asc,memory,55,574013
sort_users_by_id_asc,memory,56,508087
sort_users_by_id_asc,memory,57,416643
sort_users_by_id_asc,memory,58,346715
sort_users_by_id_asc,memory,59,319421
sort_users_by_id_asc,memory,60,462807
sort_users_by_id_asc,memory,61,408665
sort_users_by_id_asc,memory,62,387721
sort_users_by_id_asc,memory,63,343549
sort_users_by_id_asc,memory,64,286555
sort_users_by_id_asc,memory,65,302042
sort_users_by_id_asc,memory,66,307063
sort_users_by_id_asc,memory,67,267961
sort_users_by_id_asc,memory,68,266272
sort_users_by_id_asc,memory,69,280196
sort_users_by_id_asc,memory,70,264137
sort_users_by_id_asc,memory,71,279365
sort_users_by_id_asc,memory,72,469883
sort_users_by_id_asc,memory,73,787191
sort_users_by_id_asc,memory,74,1069452
sort_users_by_id_asc,memory,75,1429345
sort_users_by_id_asc,memory,76,760965
sort_users_by_id_asc,memory,77,791856
sort_users_by_id_asc,memory,78,605514
sort_users_by_id_asc,memory,79,538203
sort_users_by_id_asc,memory,80,400487
sort_users_by_id_asc,memory,81,322060
sort_users_by_id_asc,memory,82,332139
sort_users_by_id_asc,memory,83,402222
sort_users_by_id_asc,memory,84,481478
sort_users_by_id_asc,memory,85,900388
sort_users_by_id_asc,memory,86,947661
sort_users_by_id_asc,memory,87,552100
sort_users_by_id_asc,memory,88,429281
sort_users_by_id_asc,memory,89,508634
sort_users_by_id_asc,memory,90,495005
sort_users_by_id_asc,memory,91,421335
sort_users_by_id_asc,memory,92,365368
sort_users_by_id_asc,memory,93,334708
sort_users_by_id_asc,memory,94,381698
sort_users_by_id_asc,memory,95,417801
sort_users_by_id_asc,memory,96,550284
sort_users_by_id_asc,memory,97,641183
sort_users_by_id_asc,memory,98,494729
sort_users_by_id_asc,memory,99,458395
