test,impl,iteration,nanos
sort_users_by_name_asc,memory,0,1898117
sort_users_by_name_asc,memory,1,1807654
sort_users_by_name_asc,memory,2,3415265
sort_users_by_name_asc,memory,3,1879220
sort_users_by_name_asc,memory,4,1577125
sort_users_by_name_asc,memory,5,2290752
sort_users_by_name_asc,memory,6,3686842
sort_users_by_name_asc,memory,7,1981331
sort_users_by_name_asc,memory,8,1702015
sort_users_by_name_asc,memory,9,3274322
sort_users_by_name_asc,memory,10,2979131
sort_users_by_name_asc,memory,11,3333423
sort_users_by_name_asc,memory,12,6417619
sort_users_by_name_asc,memory,13,3467018
sort_users_by_name_asc,memory,14,1737541
sort_users_by_name_asc,memory,15,1507694
sort_users_by_name_asc,memory,16,1406904
sort_users_by_name_asc,memory,17,1330944
sort_users_by_name_asc,memory,18,1618909
sort_users_by_name_asc,memory,19,2317723
sort_users_by_name_asc,memory,20,2269241
sort_users_by_name_asc,memory,21,1621943
sort_users_by_name_asc,memory,22,3271417
sort_users_by_name_asc,memory,23,1957629
sort_users_by_name_asc,memory,24,1763287
sort_users_by_name_asc,memory,25,1625388
sort_users_by_name_asc,memory,26,2685892
sort_users_by_name_asc,memory,27,3689738
sort_users_by_name_asc,memory,28,4670134
sort_users_by_name_asc,memory,29,2959803
sort_users_by_name_asc,memory,30,2771728
sort_users_by_name_asc,memory,31,2102043
sort_users_by_name_asc,memory,32,2080236
sort_users_by_name_asc,memory,33,1524660
sort_users_by_name_asc,memory,34,1251606
sort_users_by_name_asc,memory,35,1603304
sort_users_by_name_asc,memory,36,1417356
sort_users_by_name_asc,memory,37,1369326
sort_users_by_name_asc,memory,38,1853169
sort_users_by_name_asc,memory,39,1360180
sort_users_by_name_asc,memory,40,1347253
sort_users_by_name_asc,memory,41,1431444
sort_users_by_name_asc,memory,42,1234323
sort_users_by_name_asc,memory,43,1856079
sort_users_by_name_asc,memory,44,2266628
sort_users_by_name_asc,memory,45,1510738
sort_users_by_name_asc,memory,46,3495763
sort_users_by_name_asc,memory,47,2698940
sort_users_by_name_asc,memory,48,4095126
sort_users_by_name_asc,memory,49,3820246
sort_users_by_name_asc,memory,50,2578239
sort_users_by_name_asc,memory,51,2415571
sort_users_by_name_asc,memory,52,2238839
sort_users_by_name_asc,memory,53,2293214
sort_users_by_name_asc,memory,54,1581126
sort_users_by_name_asc,memory,55,1397053
sort_users_by_name_asc,memory,56,1585810
sort_users_by_name_asc,memory,57,2001929
sort_users_by_name_asc,memory,58,1658415
sort_users_by_name_asc,memory,59,2209483
sort_users_by_name_asc,memory,60,2122012
sort_users_by_name_asc,memory,61,1736501
sort_users_by_name_asc,memory,62,1748885
sort_users_by_name_asc,memory,63,2185490
sort_users_by_name_asc,memory,64,2451228
sort_users_by_name_asc,memory,65,2800009
sort_users_by_name_asc,memory,66,2442767
sort_users_by_name_asc,memory,67,2731798
sort_users_by_name_asc,memory,68,2500560
sort_users_by_name_asc,memory,69,3351858
sort_users_by_name_asc,memory,70,3897910
sort_users_by_name_asc,memory,71,2804226
sort_users_by_name_asc,memory,72,2377749
sort_users_by_name_asc,memory,73,2217364
sort_users_by_name_asc,memory,74,1754266
sort_users_by_name_asc,memory,75,1406152
sort_users_by_name_asc,memory,76,1669183
sort_users_by_name_asc,memory,77,1604674
sort_users_by_name_asc,memory,78,1784188
sort_users_by_name_asc,memory,79,1779469
sort_users_by_name_asc,memory,80,2688307
sort_users_by_name_asc,memory,81,3137457
sort_users_by_name_asc,memory,82,3373862
sort_users_by_name_asc,memory,83,2514642
sort_users_by_name_asc,memory,84,2269343
sort_users_by_name_asc,memory,85,3174149
sort_users_by_name_asc,memory,86,2858969
sort_users_by_name_asc,memory,87,3462553
sort_users_by_name_asc,memory,88,2144403
sort_users_by_name_asc,memory,89,1996557
sort_users_by_name_asc,memory,90,2217693
sort_users_by_name_asc,memory,91,1746928
sort_users_by_name_asc,memory,92,2046807
sort_users_by_name_asc,memory,93,2179692
sort_users_by_name_asc,memory,94,1720082
sort_users_by_name_asc,memory,95,1749124
sort_users_by_name_asc,memory,96,1690348
sort_users_by_name_asc,memory,97,2523369
sort_users_by_name_asc,memory,98,2605152
sort_users_by_name_asc,memory,99,1831394
