test,impl,iteration,nanos
sort_users_by_name_desc,db,0,2856295
sort_users_by_name_desc,db,1,2230509
sort_users_by_name_desc,db,2,1321477
sort_users_by_name_desc,db,3,1320468
sort_users_by_name_desc,db,4,1512467
sort_users_by_name_desc,db,5,1409690
sort_users_by_name_desc,db,6,3102047
sort_users_by_name_desc,db,7,2284481
sort_users_by_name_desc,db,8,2586259
sort_users_by_name_desc,db,9,1880650
sort_users_by_name_desc,db,10,1645138
sort_users_by_name_desc,db,11,2122015
sort_users_by_name_desc,db,12,2224074
sort_users_by_name_desc,db,13,2474498
sort_users_by_name_desc,db,14,3166240
sort_users_by_name_desc,db,15,2555834
sort_users_by_name_desc,db,16,1962746
sort_users_by_name_desc,db,17,2213448
sort_users_by_name_desc,db,18,2596578
sort_users_by_name_desc,db,19,2529589
sort_users_by_name_desc,db,20,2611616
sort_users_by_name_desc,db,21,1820119
sort_users_by_name_desc,db,22,1807224
sort_users_by_name_desc,db,23,1839766
sort_users_by_name_desc,db,24,1756101
sort_users_by_name_desc,db,25,1916969
sort_users_by_name_desc,db,26,2063106
sort_users_by_name_desc,db,27,2180862
sort_users_by_name_desc,db,28,1688498
sort_users_by_name_desc,db,29,1571878
sort_users_by_name_desc,db,30,1533736
sort_users_by_name_desc,db,31,1449055
sort_users_by_name_desc,db,32,3233932
sort_users_by_name_desc,db,33,3494898
sort_users_by_name_desc,db,34,2480213
sort_users_by_name_desc,db,35,1917075
sort_users_by_name_desc,db,36,1877735
sort_users_by_name_desc,db,37,1717383
sort_users_by_name_desc,db,38,1261483
sort_users_by_name_desc,db,39,1563562
sort_users_by_name_desc,db,40,1524488
sort_users_by_name_desc,db,41,1127964
sort_users_by_name_desc,db,42,1186068
sort_users_by_name_desc,db,43,1164419
sort_users_by_name_desc,db,44,1005818
sort_users_by_name_desc,db,45,1568595
sort_users_by_name_desc,db,46,1890090
sort_users_by_name_desc,db,47,1994967
sort_users_by_name_desc,db,48,1867195
sort_users_by_name_desc,db,49,1542717
sort_users_by_name_desc,db,50,1066673
sort_users_by_name_desc,db,51,994450
sort_users_by_name_desc,db,52,1006556
sort_users_by_name_desc,db,53,781022
sort_users_by_name_desc,db,54,1242194
sort_users_by_name_desc,db,55,1895042
sort_users_by_name_desc,db,56,2880298
sort_users_by_name_desc,db,57,3016592
sort_users_by_name_desc,db,58,4335809
sort_users_by_name_desc,db,59,2452078
sort_users_by_name_desc,db,60,2479106
sort_users_by_name_desc,db,61,2738972
sort_users_by_name_desc,db,62,2469735
sort_users_by_name_desc,db,63,1776286
sort_users_by_name_desc,db,64,1552952
sort_users_by_name_desc,db,65,1550804
sort_users_by_name_desc,db,66,1333182
sort_users_by_name_desc,db,67,1081584
sort_users_by_name_desc,db,68,885089
sort_users_by_name_desc,db,69,768769
sort_users_by_name_desc,db,70,754127
sort_users_by_name_desc,db,71,716615
sort_users_by_name_desc,db,72,1053531
sort_users_by_name_desc,db,73,1209505
sort_users_by_name_desc,db,74,1357963
sort_users_by_name_desc,db,75,2163112
sort_users_by_name_desc,db,76,1657671
sort_users_by_name_desc,db,77,1472875
sort_users_by_name_desc,db,78,2881329
sort_users_by_name_desc,db,79,3645944
sort_users_by_name_desc,db,80,2550791
sort_users_by_name_desc,db,81,2352777
sort_users_by_name_desc,db,82,2529754
sort_users_by_name_desc,db,83,2422447
sort_users_by_name_desc,db,84,3117806
sort_users_by_name_desc,db,85,1876903
sort_users_by_name_desc,db,86,1451364
sort_users_by_name_desc,db,87,1424338
sort_users_by_name_desc,db,88,1298714
sort_users_by_name_desc,db,89,1121948
sort_users_by_name_desc,db,90,1469812
sort_users_by_name_desc,db,91,2135542
sort_users_by_name_desc,db,92,1932218
sort_users_by_name_desc,db,93,1305742
sort_users_by_name_desc,db,94,1482109
sort_users_by_name_desc,db,95,1122045
sort_users_by_name_desc,db,96,1148036
sort_users_by_name_desc,db,97,1183280
sort_users_by_name_desc,db,98,964846
sort_users_by_name_desc,db,99,2556483
