test,impl,iteration,nanos
sort_users_by_name_desc,memory,0,2343507
sort_users_by_name_desc,memory,1,2343605
sort_users_by_name_desc,memory,2,2657088
sort_users_by_name_desc,memory,3,3188426
sort_users_by_name_desc,memory,4,2282901
sort_users_by_name_desc,memory,5,3290969
sort_users_by_name_desc,memory,6,2365962
sort_users_by_name_desc,memory,7,1701337
sort_users_by_name_desc,memory,8,1699928
sort_users_by_name_desc,memory,9,1435635
sort_users_by_name_desc,memory,10,1267758
sort_users_by_name_desc,memory,11,2244647
sort_users_by_name_desc,memory,12,1752455
sort_users_by_name_desc,memory,13,918708
sort_users_by_name_desc,memory,14,1461741
sort_users_by_name_desc,memory,15,1785656
sort_users_by_name_desc,memory,16,1349304
sort_users_by_name_desc,memory,17,1037918
sort_users_by_name_desc,memory,18,1331268
sort_users_by_name_desc,memory,19,1409168
sort_users_by_name_desc,memory,20,1244480
sort_users_by_name_desc,memory,21,2354557
sort_users_by_name_desc,memory,22,2016149
sort_users_by_name_desc,memory,23,1318991
sort_users_by_name_desc,memory,24,965418
sort_users_by_name_desc,memory,25,984169
sort_users_by_name_desc,memory,26,1538647
sort_users_by_name_desc,memory,27,1795510
sort_users_by_name_desc,memory,28,1085877
sort_users_by_name_desc,memory,29,1526624
sort_users_by_name_desc,memory,30,1938761
sort_users_by_name_desc,memory,31,1455837
sort_users_by_name_desc,memory,32,1114090
sort_users_by_name_desc,memory,33,774450
sort_users_by_name_desc,memory,34,692661
sort_users_by_name_desc,memory,35,671870
sort_users_by_name_desc,memory,36,893786
sort_users_by_name_desc,memory,37,1797439
sort_users_by_name_desc,memory,38,2281464
sort_users_by_name_desc,memory,39,3323486
sort_users_by_name_desc,memory,40,2553952
sort_users_by_name_desc,memory,41,2561923
sort_users_by_name_desc,memory,42,1150074
sort_users_by_name_desc,memory,43,1254471
sort_users_by_name_desc,memory,44,838115
sort_users_by_name_desc,memory,45,680333
sort_users_by_name_desc,memory,46,716825
sort_users_by_name_desc,memory,47,1139778
sort_users_by_name_desc,memory,48,1375563
sort_users_by_name_desc,memory,49,1927957
sort_users_by_name_desc,memory,50,2030963
sort_users_by_name_desc,memory,51,1086386
sort_users_by_name_desc,memory,52,1535481
sort_users_by_name_desc,memory,53,1453128
sort_users_by_name_desc,memory,54,1079595
sort_users_by_name_desc,memory,55,1466762
sort_users_by_name_desc,memory,56,1161268
sort_users_by_name_desc,memory,57,1935033
sort_users_by_name_desc,memory,58,1838974
sort_users_by_name_desc,memory,59,1325151
sort_users_by_name_desc,memory,60,3496925
sort_users_by_name_desc,memory,61,2091495
sort_users_by_name_desc,memory,62,1830966
sort_users_by_name_desc,memory,63,1484916
sort_users_by_name_desc,memory,64,1429007
sort_users_by_name_desc,memory,65,1066564
sort_users_by_name_desc,memory,66,1016082
sort_users_by_name_desc,memory,67,951028
sort_users_by_name_desc,memory,68,1061057
sort_users_by_name_desc,memory,69,1008950
sort_users_by_name_desc,memory,70,1032841
sort_users_by_name_desc,memory,71,1689368
sort_users_by_name_desc,memory,72,1613952
sort_users_by_name_desc,memory,73,1259355
sort_users_by_name_desc,memory,74,1372507
sort_users_by_name_desc,memory,75,2520946
sort_users_by_name_desc,memory,76,2553846
sort_users_by_name_desc,memory,77,2193725
sort_users_by_name_desc,memory,78,1463295
sort_users_by_name_desc,memory,79,1201499
sort_users_by_name_desc,memory,80,1213875
sort_users_by_name_desc,memory,81,1524344
sort_users_by_name_desc,memory,82,1270663
sort_users_by_name_desc,memory,83,1452372
sort_users_by_name_desc,memory,84,1154904
sort_users_by_name_desc,memory,85,1158634
sort_users_by_name_desc,memory,86,2040099
sort_users_by_name_desc,memory,87,1195681
sort_users_by_name_desc,memory,88,881774
sort_users_by_name_desc,memory,89,744897
sort_users_by_name_desc,memory,90,769696
sort_users_by_name_desc,memory,91,549948
sort_users_by_name_desc,memory,92,551153
sort_users_by_name_desc,memory,93,416140
sort_users_by_name_desc,memory,94,739988
sort_users_by_name_desc,memory,95,723792
sort_users_by_name_desc,memory,96,1008317
sort_users_by_name_desc,memory,97,1668058
sort_users_by_name_desc,memory,98,1799767
sort_users_by_name_desc,memory,99,1195825
