test,impl,iteration,nanos
sort_functions_by_name_asc,db,0,18450629
sort_functions_by_name_asc,db,1,17996277
sort_functions_by_name_asc,db,2,18069313
sort_functions_by_name_asc,db,3,18020351
sort_functions_by_name_asc,db,4,18763577
sort_functions_by_name_asc,db,5,17885474
sort_functions_by_name_asc,db,6,17796104
sort_functions_by_name_asc,db,7,18627112
sort_functions_by_name_asc,db,8,17884915
sort_functions_by_name_asc,db,9,17962299
sort_functions_by_name_asc,db,10,18112286
sort_functions_by_name_asc,db,11,18016040
sort_functions_by_name_asc,db,12,18450205
sort_functions_by_name_asc,db,13,18378887
sort_functions_by_name_asc,db,14,17900806
sort_functions_by_name_asc,db,15,17765924
sort_functions_by_name_asc,db,16,18498038
sort_functions_by_name_asc,db,17,18037135
sort_functions_by_name_asc,db,18,18809664
sort_functions_by_name_asc,db,19,18831413
sort_functions_by_name_asc,db,20,18071433
sort_functions_by_name_asc,db,21,18597397
sort_functions_by_name_asc,db,22,18340440
sort_functions_by_name_asc,db,23,18794215
sort_functions_by_name_asc,db,24,18714510
sort_functions_by_name_asc,db,25,18605035
sort_functions_by_name_asc,db,26,18771696
sort_functions_by_name_asc,db,27,18560304
sort_functions_by_name_asc,db,28,18685512
sort_functions_by_name_asc,db,29,18826420
sort_functions_by_name_asc,db,30,18638136
sort_functions_by_name_asc,db,31,20537839
sort_functions_by_name_asc,db,32,25287635
sort_functions_by_name_asc,db,33,17896630
sort_functions_by_name_asc,db,34,18176926
sort_functions_by_name_asc,db,35,17974532
sort_functions_by_name_asc,db,36,18504359
sort_functions_by_name_asc,db,37,18669202
sort_functions_by_name_asc,db,38,18872657
sort_functions_by_name_asc,db,39,27440167
sort_functions_by_name_asc,db,40,19852193
sort_functions_by_name_asc,db,41,18403046
sort_functions_by_name_asc,db,42,18294513
sort_functions_by_name_asc,db,43,17946362
sort_functions_by_name_asc,db,44,19024009
sort_functions_by_name_asc,db,45,18983866
sort_functions_by_name_asc,db,46,20388980
sort_functions_by_name_asc,db,47,18694419
sort_functions_by_name_asc,db,48,18321255
sort_functions_by_name_asc,db,49,18543345
sort_functions_by_name_asc,db,50,18390426
sort_functions_by_name_asc,db,51,18068846
sort_functions_by_name_asc,db,52,19878239
sort_functions_by_name_asc,db,53,19542479
sort_functions_by_name_asc,db,54,18640558
sort_functions_by_name_asc,db,55,18855455
sort_functions_by_name_asc,db,56,19055891
sort_functions_by_name_asc,db,57,19180006
sort_functions_by_name_asc,db,58,19494185
sort_functions_by_name_asc,db,59,19123095
sort_functions_by_name_asc,db,60,18941607
sort_functions_by_name_asc,db,61,18807096
sort_functions_by_name_asc,db,62,18670536
sort_functions_by_name_asc,db,63,18289452
sort_functions_by_name_asc,db,64,17825529
sort_functions_by_name_asc,db,65,19664185
sort_functions_by_name_asc,db,66,19332211
sort_functions_by_name_asc,db,67,19558687
sort_functions_by_name_asc,db,68,20536970
sort_functions_by_name_asc,db,69,19003779
sort_functions_by_name_asc,db,70,17988176
sort_functions_by_name_asc,db,71,17917215
sort_functions_by_name_asc,db,72,18970823
sort_functions_by_name_asc,db,73,18602865
sort_functions_by_name_asc,db,74,18141099
sort_functions_by_name_asc,db,75,18300153
sort_functions_by_name_asc,db,76,18230297
sort_functions_by_name_asc,db,77,17995402
sort_functions_by_name_asc,db,78,17860270
sort_functions_by_name_asc,db,79,17711615
sort_functions_by_name_asc,db,80,18192520
sort_functions_by_name_asc,db,81,19371858
sort_functions_by_name_asc,db,82,18392784
sort_functions_by_name_asc,db,83,18443556
sort_functions_by_name_asc,db,84,18496672
sort_functions_by_name_asc,db,85,18378515
sort_functions_by_name_asc,db,86,18993565
sort_functions_by_name_asc,db,87,18783037
sort_functions_by_name_asc,db,88,17918441
sort_functions_by_name_asc,db,89,18424692
sort_functions_by_name_asc,db,90,18220891
sort_functions_by_name_asc,db,91,18849898
sort_functions_by_name_asc,db,92,18817377
sort_functions_by_name_asc,db,93,18580785
sort_functions_by_name_asc,db,94,18504362
sort_functions_by_name_asc,db,95,18028153
sort_functions_by_name_asc,db,96,18156135
sort_functions_by_name_asc,db,97,18728627
sort_functions_by_name_asc,db,98,17934645
sort_functions_by_name_asc,db,99,19016987
