test,impl,iteration,nanos
sort_points_by_x_asc,db,0,12761187
sort_points_by_x_asc,db,1,12612862
sort_points_by_x_asc,db,2,20493635
sort_points_by_x_asc,db,3,13906799
sort_points_by_x_asc,db,4,12746579
sort_points_by_x_asc,db,5,12347853
sort_points_by_x_asc,db,6,11883370
sort_points_by_x_asc,db,7,11004160
sort_points_by_x_asc,db,8,10613491
sort_points_by_x_asc,db,9,10900481
sort_points_by_x_asc,db,10,10990528
sort_points_by_x_asc,db,11,11026924
sort_points_by_x_asc,db,12,10543438
sort_points_by_x_asc,db,13,10848177
sort_points_by_x_asc,db,14,10191054
sort_points_by_x_asc,db,15,10769450
sort_points_by_x_asc,db,16,10398251
sort_points_by_x_asc,db,17,10359227
sort_points_by_x_asc,db,18,10515134
sort_points_by_x_asc,db,19,9681021
sort_points_by_x_asc,db,20,11456643
sort_points_by_x_asc,db,21,11554338
sort_points_by_x_asc,db,22,11021487
sort_points_by_x_asc,db,23,11610232
sort_points_by_x_asc,db,24,11968079
sort_points_by_x_asc,db,25,10808750
sort_points_by_x_asc,db,26,9597430
sort_points_by_x_asc,db,27,10220956
sort_points_by_x_asc,db,28,9916264
sort_points_by_x_asc,db,29,10781518
sort_points_by_x_asc,db,30,10019370
sort_points_by_x_asc,db,31,11092677
sort_points_by_x_asc,db,32,10532191
sort_points_by_x_asc,db,33,9867948
sort_points_by_x_asc,db,34,12540737
sort_points_by_x_asc,db,35,13494320
sort_points_by_x_asc,db,36,12425803
sort_points_by_x_asc,db,37,10677621
sort_points_by_x_asc,db,38,10977120
sort_points_by_x_asc,db,39,10249194
sort_points_by_x_asc,db,40,11483532
sort_points_by_x_asc,db,41,10446929
sort_points_by_x_asc,db,42,12094809
sort_points_by_x_asc,db,43,10089815
sort_points_by_x_asc,db,44,11140946
sort_points_by_x_asc,db,45,10752240
sort_points_by_x_asc,db,46,10682902
sort_points_by_x_asc,db,47,10505866
sort_points_by_x_asc,db,48,9876151
sort_points_by_x_asc,db,49,12091943
sort_points_by_x_asc,db,50,11611375
sort_points_by_x_asc,db,51,9947590
sort_points_by_x_asc,db,52,15711225
sort_points_by_x_asc,db,53,16423182
sort_points_by_x_asc,db,54,12102706
sort_points_by_x_asc,db,55,11171334
sort_points_by_x_asc,db,56,10936244
sort_points_by_x_asc,db,57,10890873
sort_points_by_x_asc,db,58,10760618
sort_points_by_x_asc,db,59,10163120
sort_points_by_x_asc,db,60,11410185
sort_points_by_x_asc,db,61,9401353
sort_points_by_x_asc,db,62,9750657
sort_points_by_x_asc,db,63,9872452
sort_points_by_x_asc,db,64,11075275
sort_points_by_x_asc,db,65,9963904
sort_points_by_x_asc,db,66,11121141
sort_points_by_x_asc,db,67,9100604
sort_points_by_x_asc,db,68,9590205
sort_points_by_x_asc,db,69,9124493
sort_points_by_x_asc,db,70,9371442
sort_points_by_x_asc,db,71,9070644
sort_points_by_x_asc,db,72,9609070
sort_points_by_x_asc,db,73,9226122
sort_points_by_x_asc,db,74,10822851
sort_points_by_x_asc,db,75,11580634
sort_points_by_x_asc,db,76,9411021
sort_points_by_x_asc,db,77,9400050
sort_points_by_x_asc,db,78,9424765
sort_points_by_x_asc,db,79,9425933
sort_points_by_x_asc,db,80,14905288
sort_points_by_x_asc,db,81,15710199
sort_points_by_x_asc,db,82,13722330
sort_points_by_x_asc,db,83,10408492
sort_points_by_x_asc,db,84,9689573
sort_points_by_x_asc,db,85,9441567
sort_points_by_x_asc,db,86,9604003
sort_points_by_x_asc,db,87,9710428
sort_points_by_x_asc,db,88,9661350
sort_points_by_x_asc,db,89,9960549
sort_points_by_x_asc,db,90,14849827
sort_points_by_x_asc,db,91,17875154
sort_points_by_x_asc,db,92,14582005
sort_points_by_x_asc,db,93,11687907
sort_points_by_x_asc,db,94,9964261
sort_points_by_x_asc,db,95,12478152
sort_points_by_x_asc,db,96,10124607
sort_points_by_x_asc,db,97,9633734
sort_points_by_x_asc,db,98,9907083
sort_points_by_x_asc,db,99,10308225
