test,impl,iteration,nanos
sort_users_by_id_asc,db,0,41694
sort_users_by_id_asc,db,1,40561
sort_users_by_id_asc,db,2,39984
sort_users_by_id_asc,db,3,37411
sort_users_by_id_asc,db,4,40318
sort_users_by_id_asc,db,5,37897
sort_users_by_id_asc,db,6,40464
sort_users_by_id_asc,db,7,37906
sort_users_by_id_asc,db,8,39457
sort_users_by_id_asc,db,9,36952
sort_users_by_id_asc,db,10,39192
sort_users_by_id_asc,db,11,38928
sort_users_by_id_asc,db,12,48563
sort_users_by_id_asc,db,13,49148
sort_users_by_id_asc,db,14,71127
sort_users_by_id_asc,db,15,56119
sort_users_by_id_asc,db,16,54831
sort_users_by_id_asc,db,17,50076
sort_users_by_id_asc,db,18,58940
sort_users_by_id_asc,db,19,51902
sort_users_by_id_asc,db,20,114516
sort_users_by_id_asc,db,21,49661
sort_users_by_id_asc,db,22,48314
sort_users_by_id_asc,db,23,49254
sort_users_by_id_asc,db,24,49874
sort_users_by_id_asc,db,25,47148
sort_users_by_id_asc,db,26,51809
sort_users_by_id_asc,db,27,49983
sort_users_by_id_asc,db,28,48584
sort_users_by_id_asc,db,29,47363
sort_users_by_id_asc,db,30,48222
sort_users_by_id_asc,db,31,48917
sort_users_by_id_asc,db,32,47833
sort_users_by_id_asc,db,33,47103
sort_users_by_id_asc,db,34,46130
sort_users_by_id_asc,db,35,46470
sort_users_by_id_asc,db,36,46633
sort_users_by_id_asc,db,37,54884
sort_users_by_id_asc,db,38,51180
sort_users_by_id_asc,db,39,131888
sort_users_by_id_asc,db,40,60555
sort_users_by_id_asc,db,41,51432
sort_users_by_id_asc,db,42,47682
sort_users_by_id_asc,db,43,45590
sort_users_by_id_asc,db,44,48246
sort_users_by_id_asc,db,45,47687
sort_users_by_id_asc,db,46,47990
sort_users_by_id_asc,db,47,47288
sort_users_by_id_asc,db,48,47076
sort_users_by_id_asc,db,49,45823
sort_users_by_id_asc,db,50,47706
sort_users_by_id_asc,db,51,47871
sort_users_by_id_asc,db,52,46110
sort_users_by_id_asc,db,53,45872
sort_users_by_id_asc,db,54,46434
sort_users_by_id_asc,db,55,47306
sort_users_by_id_asc,db,56,61662
sort_users_by_id_asc,db,57,48003
sort_users_by_id_asc,db,58,45592
sort_users_by_id_asc,db,59,47438
sort_users_by_id_asc,db,60,92231
sort_users_by_id_asc,db,61,42285
sort_users_by_id_asc,db,62,39975
sort_users_by_id_asc,db,63,40824
sort_users_by_id_asc,db,64,51777
sort_users_by_id_asc,db,65,74559
sort_users_by_id_asc,db,66,77241
sort_users_by_id_asc,db,67,73218
sort_users_by_id_asc,db,68,48666
sort_users_by_id_asc,db,69,43896
sort_users_by_id_asc,db,70,43831
sort_users_by_id_asc,db,71,43806
sort_users_by_id_asc,db,72,44218
sort_users_by_id_asc,db,73,42429
sort_users_by_id_asc,db,74,49964
sort_users_by_id_asc,db,75,48328
sort_users_by_id_asc,db,76,48254
sort_users_by_id_asc,db,77,43782
sort_users_by_id_asc,db,78,50037
sort_users_by_id_asc,db,79,44263
sort_users_by_id_asc,db,80,45110
sort_users_by_id_asc,db,81,46055
sort_users_by_id_asc,db,82,42362
sort_users_by_id_asc,db,83,41795
sort_users_by_id_asc,db,84,39778
sort_users_by_id_asc,db,85,40356
sort_users_by_id_asc,db,86,42161
sort_users_by_id_asc,db,87,42881
sort_users_by_id_asc,db,88,48090
sort_users_by_id_asc,db,89,47200
sort_users_by_id_asc,db,90,53318
sort_users_by_id_asc,db,91,60874
sort_users_by_id_asc,db,92,73030
sort_users_by_id_asc,db,93,121015
sort_users_by_id_asc,db,94,61506
sort_users_by_id_asc,db,95,41630
sort_users_by_id_asc,db,96,41403
sort_users_by_id_asc,db,97,39639
sort_users_by_id_asc,db,98,39547
sort_users_by_id_asc,db,99,38938
