test,impl,iteration,nanos
sort_users_by_name_desc,db,0,44035
sort_users_by_name_desc,db,1,90301
sort_users_by_name_desc,db,2,66590
sort_users_by_name_desc,db,3,64955
sort_users_by_name_desc,db,4,57413
sort_users_by_name_desc,db,5,57578
sort_users_by_name_desc,db,6,47418
sort_users_by_name_desc,db,7,44875
sort_users_by_name_desc,db,8,50918
sort_users_by_name_desc,db,9,48627
sort_users_by_name_desc,db,10,48373
sort_users_by_name_desc,db,11,119541
sort_users_by_name_desc,db,12,63066
sort_users_by_name_desc,db,13,46527
sort_users_by_name_desc,db,14,48039
sort_users_by_name_desc,db,15,50436
sort_users_by_name_desc,db,16,46119
sort_users_by_name_desc,db,17,45848
sort_users_by_name_desc,db,18,47206
sort_users_by_name_desc,db,19,48337
sort_users_by_name_desc,db,20,48092
sort_users_by_name_desc,db,21,43541
sort_users_by_name_desc,db,22,44271
sort_users_by_name_desc,db,23,67104
sort_users_by_name_desc,db,24,77846
sort_users_by_name_desc,db,25,67000
sort_users_by_name_desc,db,26,72201
sort_users_by_name_desc,db,27,63278
sort_users_by_name_desc,db,28,89710
sort_users_by_name_desc,db,29,46221
sort_users_by_name_desc,db,30,44799
sort_users_by_name_desc,db,31,48402
sort_users_by_name_desc,db,32,54437
sort_users_by_name_desc,db,33,55840
sort_users_by_name_desc,db,34,57685
sort_users_by_name_desc,db,35,44755
sort_users_by_name_desc,db,36,53072
sort_users_by_name_desc,db,37,76314
sort_users_by_name_desc,db,38,76775
sort_users_by_name_desc,db,39,55722
sort_users_by_name_desc,db,40,40209
sort_users_by_name_desc,db,41,57468
sort_users_by_name_desc,db,42,55656
sort_users_by_name_desc,db,43,36724
sort_users_by_name_desc,db,44,36421
sort_users_by_name_desc,db,45,35389
sort_users_by_name_desc,db,46,35355
sort_users_by_name_desc,db,47,39428
sort_users_by_name_desc,db,48,36468
sort_users_by_name_desc,db,49,34988
sort_users_by_name_desc,db,50,35720
sort_users_by_name_desc,db,51,34832
sort_users_by_name_desc,db,52,36118
sort_users_by_name_desc,db,53,38855
sort_users_by_name_desc,db,54,44244
sort_users_by_name_desc,db,55,36654
sort_users_by_name_desc,db,56,43600
sort_users_by_name_desc,db,57,43170
sort_users_by_name_desc,db,58,42260
sort_users_by_name_desc,db,59,36235
sort_users_by_name_desc,db,60,38638
sort_users_by_name_desc,db,61,44566
sort_users_by_name_desc,db,62,39018
sort_users_by_name_desc,db,63,35458
sort_users_by_name_desc,db,64,47697
sort_users_by_name_desc,db,65,37469
sort_users_by_name_desc,db,66,39583
sort_users_by_name_desc,db,67,36070
sort_users_by_name_desc,db,68,36059
sort_users_by_name_desc,db,69,35979
sort_users_by_name_desc,db,70,36984
sort_users_by_name_desc,db,71,35867
sort_users_by_name_desc,db,72,35705
sort_users_by_name_desc,db,73,36007
sort_users_by_name_desc,db,74,35694
sort_users_by_name_desc,db,75,36275
sort_users_by_name_desc,db,76,35422
sort_users_by_name_desc,db,77,35683
sort_users_by_name_desc,db,78,36618
sort_users_by_name_desc,db,79,35906
sort_users_by_name_desc,db,80,35992
sort_users_by_name_desc,db,81,74906
sort_users_by_name_desc,db,82,56734
sort_users_by_name_desc,db,83,38228
sort_users_by_name_desc,db,84,36876
sort_users_by_name_desc,db,85,38124
sort_users_by_name_desc,db,86,36507
sort_users_by_name_desc,db,87,36126
sort_users_by_name_desc,db,88,36598
sort_users_by_name_desc,db,89,42607
sort_users_by_name_desc,db,90,40673
sort_users_by_name_desc,db,91,38013
sort_users_by_name_desc,db,92,36710
sort_users_by_name_desc,db,93,35646
sort_users_by_name_desc,db,94,36137
sort_users_by_name_desc,db,95,35731
sort_users_by_name_desc,db,96,35967
sort_users_by_name_desc,db,97,40066
sort_users_by_name_desc,db,98,35259
sort_users_by_name_desc,db,99,36878
