test,impl,iteration,nanos
sort_functions_by_name_asc,memory,0,52899600
sort_functions_by_name_asc,memory,1,56048101
sort_functions_by_name_asc,memory,2,170998600
sort_functions_by_name_asc,memory,3,60053700
sort_functions_by_name_asc,memory,4,52092999
sort_functions_by_name_asc,memory,5,53492701
sort_functions_by_name_asc,memory,6,64470901
sort_functions_by_name_asc,memory,7,103374801
sort_functions_by_name_asc,memory,8,60638401
sort_functions_by_name_asc,memory,9,79783999
sort_functions_by_name_asc,memory,10,105408300
sort_functions_by_name_asc,memory,11,55153601
sort_functions_by_name_asc,memory,12,60510899
sort_functions_by_name_asc,memory,13,149037301
sort_functions_by_name_asc,memory,14,76858200
sort_functions_by_name_asc,memory,15,120567600
sort_functions_by_name_asc,memory,16,94817900
sort_functions_by_name_asc,memory,17,113107399
sort_functions_by_name_asc,memory,18,56488200
sort_functions_by_name_asc,memory,19,69423400
sort_functions_by_name_asc,memory,20,95672201
sort_functions_by_name_asc,memory,21,82847400
sort_functions_by_name_asc,memory,22,134955800
sort_functions_by_name_asc,memory,23,63338800
sort_functions_by_name_asc,memory,24,52764400
sort_functions_by_name_asc,memory,25,51927900
sort_functions_by_name_asc,memory,26,54053699
sort_functions_by_name_asc,memory,27,109658300
sort_functions_by_name_asc,memory,28,70221501
sort_functions_by_name_asc,memory,29,90842501
sort_functions_by_name_asc,memory,30,82844900
sort_functions_by_name_asc,memory,31,55572600
sort_functions_by_name_asc,memory,32,55228001
sort_functions_by_name_asc,memory,33,234362801
sort_functions_by_name_asc,memory,34,116694800
sort_functions_by_name_asc,memory,35,212877401
sort_functions_by_name_asc,memory,36,159410601
sort_functions_by_name_asc,memory,37,161850201
sort_functions_by_name_asc,memory,38,85665600
sort_functions_by_name_asc,memory,39,78635499
sort_functions_by_name_asc,memory,40,180422099
sort_functions_by_name_asc,memory,41,90608899
sort_functions_by_name_asc,memory,42,53460200
sort_functions_by_name_asc,memory,43,56108500
sort_functions_by_name_asc,memory,44,95633100
sort_functions_by_name_asc,memory,45,65610100
sort_functions_by_name_asc,memory,46,53732400
sort_functions_by_name_asc,memory,47,48030099
sort_functions_by_name_asc,memory,48,160076000
sort_functions_by_name_asc,memory,49,52458700
sort_functions_by_name_asc,memory,50,64207100
sort_functions_by_name_asc,memory,51,49597199
sort_functions_by_name_asc,memory,52,88640700
sort_functions_by_name_asc,memory,53,84680101
sort_functions_by_name_asc,memory,54,61129700
sort_functions_by_name_asc,memory,55,174192499
sort_functions_by_name_asc,memory,56,62239701
sort_functions_by_name_asc,memory,57,109168600
sort_functions_by_name_asc,memory,58,101365700
sort_functions_by_name_asc,memory,59,79117300
sort_functions_by_name_asc,memory,60,50616000
sort_functions_by_name_asc,memory,61,51239000
sort_functions_by_name_asc,memory,62,162973599
sort_functions_by_name_asc,memory,63,65302801
sort_functions_by_name_asc,memory,64,53150899
sort_functions_by_name_asc,memory,65,54704499
sort_functions_by_name_asc,memory,66,79508699
sort_functions_by_name_asc,memory,67,85307200
sort_functions_by_name_asc,memory,68,51141300
sort_functions_by_name_asc,memory,69,91098001
sort_functions_by_name_asc,memory,70,196661901
sort_functions_by_name_asc,memory,71,265301600
sort_functions_by_name_asc,memory,72,57809800
sort_functions_by_name_asc,memory,73,54041901
sort_functions_by_name_asc,memory,74,58484599
sort_functions_by_name_asc,memory,75,102873300
sort_functions_by_name_asc,memory,76,128866300
sort_functions_by_name_asc,memory,77,85726600
sort_functions_by_name_asc,memory,78,117430200
sort_functions_by_name_asc,memory,79,78493800
sort_functions_by_name_asc,memory,80,188873399
sort_functions_by_name_asc,memory,81,50830700
sort_functions_by_name_asc,memory,82,68971700
sort_functions_by_name_asc,memory,83,70819999
sort_functions_by_name_asc,memory,84,127694899
sort_functions_by_name_asc,memory,85,48923901
sort_functions_by_name_asc,memory,86,54777200
sort_functions_by_name_asc,memory,87,53145800
sort_functions_by_name_asc,memory,88,76604300
sort_functions_by_name_asc,memory,89,113335900
sort_functions_by_name_asc,memory,90,70292600
sort_functions_by_name_asc,memory,91,161451200
sort_functions_by_name_asc,memory,92,64605100
sort_functions_by_name_asc,memory,93,59092500
sort_functions_by_name_asc,memory,94,92525100
sort_functions_by_name_asc,memory,95,126003300
sort_functions_by_name_asc,memory,96,216267199
sort_functions_by_name_asc,memory,97,64071200
sort_functions_by_name_asc,memory,98,53315900
sort_functions_by_name_asc,memory,99,65021700
