test,impl,iteration,nanos
sort_functions_by_user_id_asc,db,0,78352199
sort_functions_by_user_id_asc,db,1,80413500
sort_functions_by_user_id_asc,db,2,81936600
sort_functions_by_user_id_asc,db,3,102693400
sort_functions_by_user_id_asc,db,4,59836900
sort_functions_by_user_id_asc,db,5,78015600
sort_functions_by_user_id_asc,db,6,111762400
sort_functions_by_user_id_asc,db,7,62423100
sort_functions_by_user_id_asc,db,8,148967700
sort_functions_by_user_id_asc,db,9,57908900
sort_functions_by_user_id_asc,db,10,73015700
sort_functions_by_user_id_asc,db,11,277980199
sort_functions_by_user_id_asc,db,12,85194600
sort_functions_by_user_id_asc,db,13,140069800
sort_functions_by_user_id_asc,db,14,151697401
sort_functions_by_user_id_asc,db,15,123074200
sort_functions_by_user_id_asc,db,16,180790200
sort_functions_by_user_id_asc,db,17,192384699
sort_functions_by_user_id_asc,db,18,79577000
sort_functions_by_user_id_asc,db,19,69672600
sort_functions_by_user_id_asc,db,20,63108500
sort_functions_by_user_id_asc,db,21,124547800
sort_functions_by_user_id_asc,db,22,88739999
sort_functions_by_user_id_asc,db,23,100796699
sort_functions_by_user_id_asc,db,24,57400000
sort_functions_by_user_id_asc,db,25,62858499
sort_functions_by_user_id_asc,db,26,164109501
sort_functions_by_user_id_asc,db,27,61282801
sort_functions_by_user_id_asc,db,28,180756601
sort_functions_by_user_id_asc,db,29,112740400
sort_functions_by_user_id_asc,db,30,67829501
sort_functions_by_user_id_asc,db,31,98170499
sort_functions_by_user_id_asc,db,32,84334899
sort_functions_by_user_id_asc,db,33,61649100
sort_functions_by_user_id_asc,db,34,78856900
sort_functions_by_user_id_asc,db,35,154561501
sort_functions_by_user_id_asc,db,36,214013599
sort_functions_by_user_id_asc,db,37,63502000
sort_functions_by_user_id_asc,db,38,57067900
sort_functions_by_user_id_asc,db,39,59099100
sort_functions_by_user_id_asc,db,40,157591000
sort_functions_by_user_id_asc,db,41,67414501
sort_functions_by_user_id_asc,db,42,62890000
sort_functions_by_user_id_asc,db,43,276031300
sort_functions_by_user_id_asc,db,44,72038900
sort_functions_by_user_id_asc,db,45,58784900
sort_functions_by_user_id_asc,db,46,63377499
sort_functions_by_user_id_asc,db,47,146740601
sort_functions_by_user_id_asc,db,48,80274699
sort_functions_by_user_id_asc,db,49,79076099
sort_functions_by_user_id_asc,db,50,98443100
sort_functions_by_user_id_asc,db,51,103261100
sort_functions_by_user_id_asc,db,52,63859300
sort_functions_by_user_id_asc,db,53,109379500
sort_functions_by_user_id_asc,db,54,81871101
sort_functions_by_user_id_asc,db,55,73012801
sort_functions_by_user_id_asc,db,56,92217700
sort_functions_by_user_id_asc,db,57,104563301
sort_functions_by_user_id_asc,db,58,60718200
sort_functions_by_user_id_asc,db,59,118118599
sort_functions_by_user_id_asc,db,60,80269901
sort_functions_by_user_id_asc,db,61,61168801
sort_functions_by_user_id_asc,db,62,69779500
sort_functions_by_user_id_asc,db,63,156560100
sort_functions_by_user_id_asc,db,64,69672399
sort_functions_by_user_id_asc,db,65,109170901
sort_functions_by_user_id_asc,db,66,62719899
sort_functions_by_user_id_asc,db,67,87012300
sort_functions_by_user_id_asc,db,68,97863499
sort_functions_by_user_id_asc,db,69,57174101
sort_functions_by_user_id_asc,db,70,158037900
sort_functions_by_user_id_asc,db,71,113879601
sort_functions_by_user_id_asc,db,72,90977900
sort_functions_by_user_id_asc,db,73,124505800
sort_functions_by_user_id_asc,db,74,61810400
sort_functions_by_user_id_asc,db,75,104503501
sort_functions_by_user_id_asc,db,76,83307600
sort_functions_by_user_id_asc,db,77,74662600
sort_functions_by_user_id_asc,db,78,135791300
sort_functions_by_user_id_asc,db,79,80139300
sort_functions_by_user_id_asc,db,80,73536500
sort_functions_by_user_id_asc,db,81,191086700
sort_functions_by_user_id_asc,db,82,81236800
sort_functions_by_user_id_asc,db,83,83744000
sort_functions_by_user_id_asc,db,84,178561600
sort_functions_by_user_id_asc,db,85,69461600
sort_functions_by_user_id_asc,db,86,65749701
sort_functions_by_user_id_asc,db,87,67121401
sort_functions_by_user_id_asc,db,88,116307301
sort_functions_by_user_id_asc,db,89,68356100
sort_functions_by_user_id_asc,db,90,169665199
sort_functions_by_user_id_asc,db,91,76497499
sort_functions_by_user_id_asc,db,92,83305000
sort_functions_by_user_id_asc,db,93,68628800
sort_functions_by_user_id_asc,db,94,111164100
sort_functions_by_user_id_asc,db,95,79870300
sort_functions_by_user_id_asc,db,96,107369600
sort_functions_by_user_id_asc,db,97,72015899
sort_functions_by_user_id_asc,db,98,70732099
sort_functions_by_user_id_asc,db,99,57864599
