test,impl,iteration,nanos
sort_functions_by_user_id_asc,memory,0,50855700
sort_functions_by_user_id_asc,memory,1,53845200
sort_functions_by_user_id_asc,memory,2,73811599
sort_functions_by_user_id_asc,memory,3,98031099
sort_functions_by_user_id_asc,memory,4,53373299
sort_functions_by_user_id_asc,memory,5,68969399
sort_functions_by_user_id_asc,memory,6,141064600
sort_functions_by_user_id_asc,memory,7,54245800
sort_functions_by_user_id_asc,memory,8,137316800
sort_functions_by_user_id_asc,memory,9,55616600
sort_functions_by_user_id_asc,memory,10,59570300
sort_functions_by_user_id_asc,memory,11,51024600
sort_functions_by_user_id_asc,memory,12,111724001
sort_functions_by_user_id_asc,memory,13,123261600
sort_functions_by_user_id_asc,memory,14,75500700
sort_functions_by_user_id_asc,memory,15,103531299
sort_functions_by_user_id_asc,memory,16,61913700
sort_functions_by_user_id_asc,memory,17,51231400
sort_functions_by_user_id_asc,memory,18,47669000
sort_functions_by_user_id_asc,memory,19,74975900
sort_functions_by_user_id_asc,memory,20,108476600
sort_functions_by_user_id_asc,memory,21,47562101
sort_functions_by_user_id_asc,memory,22,55614100
sort_functions_by_user_id_asc,memory,23,159536000
sort_functions_by_user_id_asc,memory,24,58649899
sort_functions_by_user_id_asc,memory,25,107472500
sort_functions_by_user_id_asc,memory,26,70664600
sort_functions_by_user_id_asc,memory,27,87810100
sort_functions_by_user_id_asc,memory,28,87152100
sort_functions_by_user_id_asc,memory,29,73870900
sort_functions_by_user_id_asc,memory,30,336727300
sort_functions_by_user_id_asc,memory,31,78942799
sort_functions_by_user_id_asc,memory,32,61066600
sort_functions_by_user_id_asc,memory,33,51288700
sort_functions_by_user_id_asc,memory,34,182236800
sort_functions_by_user_id_asc,memory,35,59518501
sort_functions_by_user_id_asc,memory,36,53422901
sort_functions_by_user_id_asc,memory,37,56027201
sort_functions_by_user_id_asc,memory,38,85276100
sort_functions_by_user_id_asc,memory,39,88122101
sort_functions_by_user_id_asc,memory,40,64108600
sort_functions_by_user_id_asc,memory,41,56060200
sort_functions_by_user_id_asc,memory,42,121671200
sort_functions_by_user_id_asc,memory,43,57196800
sort_functions_by_user_id_asc,memory,44,106017899
sort_functions_by_user_id_asc,memory,45,71104700
sort_functions_by_user_id_asc,memory,46,69173399
sort_functions_by_user_id_asc,memory,47,56419900
sort_functions_by_user_id_asc,memory,48,117830000
sort_functions_by_user_id_asc,memory,49,64130601
sort_functions_by_user_id_asc,memory,50,58823400
sort_functions_by_user_id_asc,memory,51,65394201
sort_functions_by_user_id_asc,memory,52,117440200
sort_functions_by_user_id_asc,memory,53,58599400
sort_functions_by_user_id_asc,memory,54,58484101
sort_functions_by_user_id_asc,memory,55,50719900
sort_functions_by_user_id_asc,memory,56,72884599
sort_functions_by_user_id_asc,memory,57,114001301
sort_functions_by_user_id_asc,memory,58,49782800
sort_functions_by_user_id_asc,memory,59,73452201
sort_functions_by_user_id_asc,memory,60,91165300
sort_functions_by_user_id_asc,memory,61,71642499
sort_functions_by_user_id_asc,memory,62,59241499
sort_functions_by_user_id_asc,memory,63,102041599
sort_functions_by_user_id_asc,memory,64,64214800
sort_functions_by_user_id_asc,memory,65,74819800
sort_functions_by_user_id_asc,memory,66,91340100
sort_functions_by_user_id_asc,memory,67,50878901
sort_functions_by_user_id_asc,memory,68,55229400
sort_functions_by_user_id_asc,memory,69,240478301
sort_functions_by_user_id_asc,memory,70,66650999
sort_functions_by_user_id_asc,memory,71,50356500
sort_functions_by_user_id_asc,memory,72,54352100
sort_functions_by_user_id_asc,memory,73,59957600
sort_functions_by_user_id_asc,memory,74,113862200
sort_functions_by_user_id_asc,memory,75,65775801
sort_functions_by_user_id_asc,memory,76,77654600
sort_functions_by_user_id_asc,memory,77,103785301
sort_functions_by_user_id_asc,memory,78,55478501
sort_functions_by_user_id_asc,memory,79,61117099
sort_functions_by_user_id_asc,memory,80,104233700
sort_functions_by_user_id_asc,memory,81,52792800
sort_functions_by_user_id_asc,memory,82,59510700
sort_functions_by_user_id_asc,memory,83,155872700
sort_functions_by_user_id_asc,memory,84,49299999
sort_functions_by_user_id_asc,memory,85,103980699
sort_functions_by_user_id_asc,memory,86,57459699
sort_functions_by_user_id_asc,memory,87,55555501
sort_functions_by_user_id_asc,memory,88,144201799
sort_functions_by_user_id_asc,memory,89,107728300
sort_functions_by_user_id_asc,memory,90,114769800
sort_functions_by_user_id_asc,memory,91,55882600
sort_functions_by_user_id_asc,memory,92,56160800
sort_functions_by_user_id_asc,memory,93,104750601
sort_functions_by_user_id_asc,memory,94,50271401
sort_functions_by_user_id_asc,memory,95,62643800
sort_functions_by_user_id_asc,memory,96,155978701
sort_functions_by_user_id_asc,memory,97,205503201
sort_functions_by_user_id_asc,memory,98,63724800
sort_functions_by_user_id_asc,memory,99,49405300
