test,impl,iteration,nanos
sort_points_by_function_id_asc,db,0,9201976
sort_points_by_function_id_asc,db,1,9921113
sort_points_by_function_id_asc,db,2,9191023
sort_points_by_function_id_asc,db,3,9975178
sort_points_by_function_id_asc,db,4,10033833
sort_points_by_function_id_asc,db,5,10759205
sort_points_by_function_id_asc,db,6,10226552
sort_points_by_function_id_asc,db,7,9807036
sort_points_by_function_id_asc,db,8,10485128
sort_points_by_function_id_asc,db,9,9280088
sort_points_by_function_id_asc,db,10,8946082
sort_points_by_function_id_asc,db,11,9144954
sort_points_by_function_id_asc,db,12,8888723
sort_points_by_function_id_asc,db,13,9141829
sort_points_by_function_id_asc,db,14,8984474
sort_points_by_function_id_asc,db,15,9046319
sort_points_by_function_id_asc,db,16,9123063
sort_points_by_function_id_asc,db,17,10737220
sort_points_by_function_id_asc,db,18,9114661
sort_points_by_function_id_asc,db,19,8997668
sort_points_by_function_id_asc,db,20,8838541
sort_points_by_function_id_asc,db,21,9118021
sort_points_by_function_id_asc,db,22,8894410
sort_points_by_function_id_asc,db,23,9067148
sort_points_by_function_id_asc,db,24,8791171
sort_points_by_function_id_asc,db,25,8772609
sort_points_by_function_id_asc,db,26,9304176
sort_points_by_function_id_asc,db,27,10396210
sort_points_by_function_id_asc,db,28,9204114
sort_points_by_function_id_asc,db,29,12992145
sort_points_by_function_id_asc,db,30,14710990
sort_points_by_function_id_asc,db,31,11138889
sort_points_by_function_id_asc,db,32,9725511
sort_points_by_function_id_asc,db,33,12728267
sort_points_by_function_id_asc,db,34,15101965
sort_points_by_function_id_asc,db,35,12416316
sort_points_by_function_id_asc,db,36,8965425
sort_points_by_function_id_asc,db,37,9281364
sort_points_by_function_id_asc,db,38,9904944
sort_points_by_function_id_asc,db,39,10965911
sort_points_by_function_id_asc,db,40,8923445
sort_points_by_function_id_asc,db,41,11005742
sort_points_by_function_id_asc,db,42,10594567
sort_points_by_function_id_asc,db,43,9155599
sort_points_by_function_id_asc,db,44,8978252
sort_points_by_function_id_asc,db,45,10883300
sort_points_by_function_id_asc,db,46,9641148
sort_points_by_function_id_asc,db,47,10575381
sort_points_by_function_id_asc,db,48,9019785
sort_points_by_function_id_asc,db,49,10943321
sort_points_by_function_id_asc,db,50,10437561
sort_points_by_function_id_asc,db,51,9433682
sort_points_by_function_id_asc,db,52,9364390
sort_points_by_function_id_asc,db,53,9508717
sort_points_by_function_id_asc,db,54,9693119
sort_points_by_function_id_asc,db,55,10765688
sort_points_by_function_id_asc,db,56,9535823
sort_points_by_function_id_asc,db,57,10141632
sort_points_by_function_id_asc,db,58,8686111
sort_points_by_function_id_asc,db,59,8989501
sort_points_by_function_id_asc,db,60,8881553
sort_points_by_function_id_asc,db,61,8877726
sort_points_by_function_id_asc,db,62,8931313
sort_points_by_function_id_asc,db,63,8852077
sort_points_by_function_id_asc,db,64,8702645
sort_points_by_function_id_asc,db,65,9285524
sort_points_by_function_id_asc,db,66,8755792
sort_points_by_function_id_asc,db,67,8926821
sort_points_by_function_id_asc,db,68,8817698
sort_points_by_function_id_asc,db,69,9333069
sort_points_by_function_id_asc,db,70,9454741
sort_points_by_function_id_asc,db,71,8865191
sort_points_by_function_id_asc,db,72,8916906
sort_points_by_function_id_asc,db,73,9070330
sort_points_by_function_id_asc,db,74,9009876
sort_points_by_function_id_asc,db,75,9152440
sort_points_by_function_id_asc,db,76,9062678
sort_points_by_function_id_asc,db,77,9782488
sort_points_by_function_id_asc,db,78,9638151
sort_points_by_function_id_asc,db,79,10654797
sort_points_by_function_id_asc,db,80,9939407
sort_points_by_function_id_asc,db,81,9592022
sort_points_by_function_id_asc,db,82,10042520
sort_points_by_function_id_asc,db,83,9704771
sort_points_by_function_id_asc,db,84,10285327
sort_points_by_function_id_asc,db,85,9421596
sort_points_by_function_id_asc,db,86,8814722
sort_points_by_function_id_asc,db,87,9199291
sort_points_by_function_id_asc,db,88,8894712
sort_points_by_function_id_asc,db,89,9042506
sort_points_by_function_id_asc,db,90,9055562
sort_points_by_function_id_asc,db,91,9258823
sort_points_by_function_id_asc,db,92,8502196
sort_points_by_function_id_asc,db,93,9342558
sort_points_by_function_id_asc,db,94,8956876
sort_points_by_function_id_asc,db,95,8704537
sort_points_by_function_id_asc,db,96,11003114
sort_points_by_function_id_asc,db,97,9951704
sort_points_by_function_id_asc,db,98,9898337
sort_points_by_function_id_asc,db,99,10151734
