test,impl,iteration,nanos
sort_points_by_function_id_asc,memory,0,163388300
sort_points_by_function_id_asc,memory,1,220417900
sort_points_by_function_id_asc,memory,2,171964300
sort_points_by_function_id_asc,memory,3,283722500
sort_points_by_function_id_asc,memory,4,189752399
sort_points_by_function_id_asc,memory,5,223299800
sort_points_by_function_id_asc,memory,6,439447600
sort_points_by_function_id_asc,memory,7,120812600
sort_points_by_function_id_asc,memory,8,217888999
sort_points_by_function_id_asc,memory,9,151600401
sort_points_by_function_id_asc,memory,10,253790200
sort_points_by_function_id_asc,memory,11,111146901
sort_points_by_function_id_asc,memory,12,230338800
sort_points_by_function_id_asc,memory,13,116040700
sort_points_by_function_id_asc,memory,14,204661500
sort_points_by_function_id_asc,memory,15,138342800
sort_points_by_function_id_asc,memory,16,187014500
sort_points_by_function_id_asc,memory,17,111522400
sort_points_by_function_id_asc,memory,18,168781601
sort_points_by_function_id_asc,memory,19,125892900
sort_points_by_function_id_asc,memory,20,119747099
sort_points_by_function_id_asc,memory,21,134793101
sort_points_by_function_id_asc,memory,22,140024700
sort_points_by_function_id_asc,memory,23,124684301
sort_points_by_function_id_asc,memory,24,121465800
sort_points_by_function_id_asc,memory,25,150619300
sort_points_by_function_id_asc,memory,26,167042800
sort_points_by_function_id_asc,memory,27,100241100
sort_points_by_function_id_asc,memory,28,94209000
sort_points_by_function_id_asc,memory,29,185254101
sort_points_by_function_id_asc,memory,30,97367700
sort_points_by_function_id_asc,memory,31,102239900
sort_points_by_function_id_asc,memory,32,189703299
sort_points_by_function_id_asc,memory,33,110724000
sort_points_by_function_id_asc,memory,34,121147700
sort_points_by_function_id_asc,memory,35,168555000
sort_points_by_function_id_asc,memory,36,196322201
sort_points_by_function_id_asc,memory,37,97193800
sort_points_by_function_id_asc,memory,38,98265800
sort_points_by_function_id_asc,memory,39,188929300
sort_points_by_function_id_asc,memory,40,102385801
sort_points_by_function_id_asc,memory,41,101423900
sort_points_by_function_id_asc,memory,42,166749700
sort_points_by_function_id_asc,memory,43,173066500
sort_points_by_function_id_asc,memory,44,108564200
sort_points_by_function_id_asc,memory,45,98381100
sort_points_by_function_id_asc,memory,46,184722401
sort_points_by_function_id_asc,memory,47,196875800
sort_points_by_function_id_asc,memory,48,118256801
sort_points_by_function_id_asc,memory,49,343386400
sort_points_by_function_id_asc,memory,50,258619700
sort_points_by_function_id_asc,memory,51,199163000
sort_points_by_function_id_asc,memory,52,196657801
sort_points_by_function_id_asc,memory,53,106343301
sort_points_by_function_id_asc,memory,54,95428999
sort_points_by_function_id_asc,memory,55,174998000
sort_points_by_function_id_asc,memory,56,194751999
sort_points_by_function_id_asc,memory,57,98499900
sort_points_by_function_id_asc,memory,58,101651400
sort_points_by_function_id_asc,memory,59,222290900
sort_points_by_function_id_asc,memory,60,95350800
sort_points_by_function_id_asc,memory,61,104933300
sort_points_by_function_id_asc,memory,62,188185899
sort_points_by_function_id_asc,memory,63,100207000
sort_points_by_function_id_asc,memory,64,101662201
sort_points_by_function_id_asc,memory,65,176670800
sort_points_by_function_id_asc,memory,66,209075599
sort_points_by_function_id_asc,memory,67,106298799
sort_points_by_function_id_asc,memory,68,115868001
sort_points_by_function_id_asc,memory,69,426881100
sort_points_by_function_id_asc,memory,70,143204801
sort_points_by_function_id_asc,memory,71,120523901
sort_points_by_function_id_asc,memory,72,129887100
sort_points_by_function_id_asc,memory,73,213885200
sort_points_by_function_id_asc,memory,74,125759900
sort_points_by_function_id_asc,memory,75,109853400
sort_points_by_function_id_asc,memory,76,179392099
sort_points_by_function_id_asc,memory,77,183290400
sort_points_by_function_id_asc,memory,78,90903900
sort_points_by_function_id_asc,memory,79,101215000
sort_points_by_function_id_asc,memory,80,169042600
sort_points_by_function_id_asc,memory,81,106990100
sort_points_by_function_id_asc,memory,82,98994201
sort_points_by_function_id_asc,memory,83,171382300
sort_points_by_function_id_asc,memory,84,158801600
sort_points_by_function_id_asc,memory,85,102632099
sort_points_by_function_id_asc,memory,86,102308000
sort_points_by_function_id_asc,memory,87,179400600
sort_points_by_function_id_asc,memory,88,169254099
sort_points_by_function_id_asc,memory,89,95984000
sort_points_by_function_id_asc,memory,90,94227300
sort_points_by_function_id_asc,memory,91,186618700
sort_points_by_function_id_asc,memory,92,96688600
sort_points_by_function_id_asc,memory,93,98809600
sort_points_by_function_id_asc,memory,94,193510800
sort_points_by_function_id_asc,memory,95,106294300
sort_points_by_function_id_asc,memory,96,96981801
sort_points_by_function_id_asc,memory,97,182682499
sort_points_by_function_id_asc,memory,98,192550699
sort_points_by_function_id_asc,memory,99,100957100
