test,impl,iteration,nanos
sort_points_by_x_asc,db,0,200118600
sort_points_by_x_asc,db,1,118814101
sort_points_by_x_asc,db,2,146971900
sort_points_by_x_asc,db,3,145397699
sort_points_by_x_asc,db,4,190846800
sort_points_by_x_asc,db,5,113923600
sort_points_by_x_asc,db,6,267862700
sort_points_by_x_asc,db,7,105078500
sort_points_by_x_asc,db,8,130117900
sort_points_by_x_asc,db,9,195566700
sort_points_by_x_asc,db,10,176310401
sort_points_by_x_asc,db,11,111389800
sort_points_by_x_asc,db,12,120834300
sort_points_by_x_asc,db,13,150790300
sort_points_by_x_asc,db,14,200931500
sort_points_by_x_asc,db,15,116345100
sort_points_by_x_asc,db,16,112341401
sort_points_by_x_asc,db,17,149797899
sort_points_by_x_asc,db,18,259554400
sort_points_by_x_asc,db,19,112678300
sort_points_by_x_asc,db,20,122947100
sort_points_by_x_asc,db,21,169356000
sort_points_by_x_asc,db,22,198114700
sort_points_by_x_asc,db,23,96772701
sort_points_by_x_asc,db,24,115212700
sort_points_by_x_asc,db,25,164382200
sort_points_by_x_asc,db,26,214697600
sort_points_by_x_asc,db,27,106570000
sort_points_by_x_asc,db,28,132857299
sort_points_by_x_asc,db,29,145148200
sort_points_by_x_asc,db,30,273509101
sort_points_by_x_asc,db,31,112865600
sort_points_by_x_asc,db,32,136043600
sort_points_by_x_asc,db,33,159321201
sort_points_by_x_asc,db,34,211549800
sort_points_by_x_asc,db,35,110079399
sort_points_by_x_asc,db,36,127794101
sort_points_by_x_asc,db,37,158353999
sort_points_by_x_asc,db,38,195541900
sort_points_by_x_asc,db,39,129960900
sort_points_by_x_asc,db,40,160790499
sort_points_by_x_asc,db,41,118963800
sort_points_by_x_asc,db,42,261655100
sort_points_by_x_asc,db,43,122215299
sort_points_by_x_asc,db,44,129099601
sort_points_by_x_asc,db,45,136524800
sort_points_by_x_asc,db,46,179859999
sort_points_by_x_asc,db,47,115266601
sort_points_by_x_asc,db,48,134980501
sort_points_by_x_asc,db,49,139559300
sort_points_by_x_asc,db,50,148511400
sort_points_by_x_asc,db,51,143622300
sort_points_by_x_asc,db,52,149318900
sort_points_by_x_asc,db,53,114063001
sort_points_by_x_asc,db,54,233545499
sort_points_by_x_asc,db,55,346951100
sort_points_by_x_asc,db,56,185305100
sort_points_by_x_asc,db,57,246922599
sort_points_by_x_asc,db,58,168658400
sort_points_by_x_asc,db,59,175395800
sort_points_by_x_asc,db,60,109731200
sort_points_by_x_asc,db,61,139022700
sort_points_by_x_asc,db,62,168102499
sort_points_by_x_asc,db,63,176630600
sort_points_by_x_asc,db,64,149934401
sort_points_by_x_asc,db,65,252730600
sort_points_by_x_asc,db,66,125455300
sort_points_by_x_asc,db,67,110146499
sort_points_by_x_asc,db,68,155109100
sort_points_by_x_asc,db,69,178138801
sort_points_by_x_asc,db,70,107706301
sort_points_by_x_asc,db,71,166454200
sort_points_by_x_asc,db,72,139899600
sort_points_by_x_asc,db,73,159537100
sort_points_by_x_asc,db,74,128247201
sort_points_by_x_asc,db,75,329652200
sort_points_by_x_asc,db,76,111815299
sort_points_by_x_asc,db,77,114920700
sort_points_by_x_asc,db,78,180171700
sort_points_by_x_asc,db,79,339846501
sort_points_by_x_asc,db,80,115749699
sort_points_by_x_asc,db,81,126792001
sort_points_by_x_asc,db,82,161839400
sort_points_by_x_asc,db,83,193799799
sort_points_by_x_asc,db,84,116009600
sort_points_by_x_asc,db,85,135329300
sort_points_by_x_asc,db,86,144151800
sort_points_by_x_asc,db,87,205420501
sort_points_by_x_asc,db,88,149044399
sort_points_by_x_asc,db,89,203331300
sort_points_by_x_asc,db,90,126572900
sort_points_by_x_asc,db,91,198767000
sort_points_by_x_asc,db,92,147715701
sort_points_by_x_asc,db,93,170113301
sort_points_by_x_asc,db,94,107880601
sort_points_by_x_asc,db,95,130280400
sort_points_by_x_asc,db,96,148841399
sort_points_by_x_asc,db,97,201450099
sort_points_by_x_asc,db,98,118019700
sort_points_by_x_asc,db,99,178474000
