test,impl,iteration,nanos
sort_points_by_x_asc,memory,0,18954355
sort_points_by_x_asc,memory,1,23715723
sort_points_by_x_asc,memory,2,14596430
sort_points_by_x_asc,memory,3,12576920
sort_points_by_x_asc,memory,4,9960020
sort_points_by_x_asc,memory,5,9451455
sort_points_by_x_asc,memory,6,10075085
sort_points_by_x_asc,memory,7,10824248
sort_points_by_x_asc,memory,8,9775528
sort_points_by_x_asc,memory,9,8750390
sort_points_by_x_asc,memory,10,8661998
sort_points_by_x_asc,memory,11,8895006
sort_points_by_x_asc,memory,12,8910452
sort_points_by_x_asc,memory,13,9176501
sort_points_by_x_asc,memory,14,13254434
sort_points_by_x_asc,memory,15,10558122
sort_points_by_x_asc,memory,16,9663022
sort_points_by_x_asc,memory,17,10406066
sort_points_by_x_asc,memory,18,9671481
sort_points_by_x_asc,memory,19,9478224
sort_points_by_x_asc,memory,20,9146861
sort_points_by_x_asc,memory,21,9208043
sort_points_by_x_asc,memory,22,10493240
sort_points_by_x_asc,memory,23,9222022
sort_points_by_x_asc,memory,24,9046406
sort_points_by_x_asc,memory,25,8545617
sort_points_by_x_asc,memory,26,9520513
sort_points_by_x_asc,memory,27,9737260
sort_points_by_x_asc,memory,28,8345581
sort_points_by_x_asc,memory,29,8933521
sort_points_by_x_asc,memory,30,8646340
sort_points_by_x_asc,memory,31,8645941
sort_points_by_x_asc,memory,32,9911051
sort_points_by_x_asc,memory,33,9681858
sort_points_by_x_asc,memory,34,10071217
sort_points_by_x_asc,memory,35,11308358
sort_points_by_x_asc,memory,36,8608942
sort_points_by_x_asc,memory,37,10137532
sort_points_by_x_asc,memory,38,9477595
sort_points_by_x_asc,memory,39,9557760
sort_points_by_x_asc,memory,40,8923022
sort_points_by_x_asc,memory,41,9726877
sort_points_by_x_asc,memory,42,9936555
sort_points_by_x_asc,memory,43,8835996
sort_points_by_x_asc,memory,44,9123556
sort_points_by_x_asc,memory,45,13812692
sort_points_by_x_asc,memory,46,14011173
sort_points_by_x_asc,memory,47,9713920
sort_points_by_x_asc,memory,48,8579931
sort_points_by_x_asc,memory,49,10405479
sort_points_by_x_asc,memory,50,9123833
sort_points_by_x_asc,memory,51,10074169
sort_points_by_x_asc,memory,52,8841179
sort_points_by_x_asc,memory,53,8116504
sort_points_by_x_asc,memory,54,8929326
sort_points_by_x_asc,memory,55,10233174
sort_points_by_x_asc,memory,56,9002403
sort_points_by_x_asc,memory,57,9661804
sort_points_by_x_asc,memory,58,10723600
sort_points_by_x_asc,memory,59,10412232
sort_points_by_x_asc,memory,60,9101199
sort_points_by_x_asc,memory,61,8867448
sort_points_by_x_asc,memory,62,7860762
sort_points_by_x_asc,memory,63,9217660
sort_points_by_x_asc,memory,64,9441535
sort_points_by_x_asc,memory,65,9782530
sort_points_by_x_asc,memory,66,8875959
sort_points_by_x_asc,memory,67,7701848
sort_points_by_x_asc,memory,68,8872390
sort_points_by_x_asc,memory,69,9784203
sort_points_by_x_asc,memory,70,9240988
sort_points_by_x_asc,memory,71,8010968
sort_points_by_x_asc,memory,72,10812924
sort_points_by_x_asc,memory,73,7453001
sort_points_by_x_asc,memory,74,8288298
sort_points_by_x_asc,memory,75,7438439
sort_points_by_x_asc,memory,76,8584931
sort_points_by_x_asc,memory,77,8623610
sort_points_by_x_asc,memory,78,9439419
sort_points_by_x_asc,memory,79,9042934
sort_points_by_x_asc,memory,80,8195510
sort_points_by_x_asc,memory,81,8955549
sort_points_by_x_asc,memory,82,8425301
sort_points_by_x_asc,memory,83,7830652
sort_points_by_x_asc,memory,84,7902503
sort_points_by_x_asc,memory,85,7728306
sort_points_by_x_asc,memory,86,8049830
sort_points_by_x_asc,memory,87,7924485
sort_points_by_x_asc,memory,88,8057943
sort_points_by_x_asc,memory,89,7801323
sort_points_by_x_asc,memory,90,8381400
sort_points_by_x_asc,memory,91,8978176
sort_points_by_x_asc,memory,92,8902880
sort_points_by_x_asc,memory,93,8960414
sort_points_by_x_asc,memory,94,9096649
sort_points_by_x_asc,memory,95,8912361
sort_points_by_x_asc,memory,96,9000620
sort_points_by_x_asc,memory,97,8894161
sort_points_by_x_asc,memory,98,8596311
sort_points_by_x_asc,memory,99,8715808
