test,impl,iteration,nanos
sort_users_by_id_asc,db,0,7387999
sort_users_by_id_asc,db,1,5926700
sort_users_by_id_asc,db,2,4804299
sort_users_by_id_asc,db,3,7366800
sort_users_by_id_asc,db,4,5012599
sort_users_by_id_asc,db,5,4668200
sort_users_by_id_asc,db,6,8451300
sort_users_by_id_asc,db,7,49426899
sort_users_by_id_asc,db,8,62534801
sort_users_by_id_asc,db,9,14900100
sort_users_by_id_asc,db,10,26381900
sort_users_by_id_asc,db,11,7937599
sort_users_by_id_asc,db,12,4952900
sort_users_by_id_asc,db,13,5360700
sort_users_by_id_asc,db,14,5223199
sort_users_by_id_asc,db,15,4457500
sort_users_by_id_asc,db,16,4082100
sort_users_by_id_asc,db,17,4204600
sort_users_by_id_asc,db,18,4250200
sort_users_by_id_asc,db,19,5877400
sort_users_by_id_asc,db,20,4813100
sort_users_by_id_asc,db,21,5912599
sort_users_by_id_asc,db,22,23640500
sort_users_by_id_asc,db,23,7028300
sort_users_by_id_asc,db,24,10388000
sort_users_by_id_asc,db,25,6273001
sort_users_by_id_asc,db,26,11056200
sort_users_by_id_asc,db,27,7868699
sort_users_by_id_asc,db,28,7826499
sort_users_by_id_asc,db,29,7664000
sort_users_by_id_asc,db,30,10616699
sort_users_by_id_asc,db,31,10188000
sort_users_by_id_asc,db,32,7414100
sort_users_by_id_asc,db,33,4071500
sort_users_by_id_asc,db,34,3808300
sort_users_by_id_asc,db,35,5422100
sort_users_by_id_asc,db,36,4209600
sort_users_by_id_asc,db,37,4361400
sort_users_by_id_asc,db,38,4082400
sort_users_by_id_asc,db,39,4959799
sort_users_by_id_asc,db,40,4609300
sort_users_by_id_asc,db,41,4206000
sort_users_by_id_asc,db,42,4590500
sort_users_by_id_asc,db,43,4212300
sort_users_by_id_asc,db,44,4246500
sort_users_by_id_asc,db,45,4038600
sort_users_by_id_asc,db,46,4121801
sort_users_by_id_asc,db,47,4099499
sort_users_by_id_asc,db,48,4019200
sort_users_by_id_asc,db,49,4125900
sort_users_by_id_asc,db,50,4283100
sort_users_by_id_asc,db,51,9696501
sort_users_by_id_asc,db,52,9209000
sort_users_by_id_asc,db,53,8837300
sort_users_by_id_asc,db,54,9712700
sort_users_by_id_asc,db,55,10682000
sort_users_by_id_asc,db,56,9525701
sort_users_by_id_asc,db,57,23900201
sort_users_by_id_asc,db,58,8283300
sort_users_by_id_asc,db,59,7827000
sort_users_by_id_asc,db,60,11294500
sort_users_by_id_asc,db,61,8378700
sort_users_by_id_asc,db,62,12272500
sort_users_by_id_asc,db,63,5476300
sort_users_by_id_asc,db,64,3865301
sort_users_by_id_asc,db,65,4710400
sort_users_by_id_asc,db,66,4085299
sort_users_by_id_asc,db,67,5309799
sort_users_by_id_asc,db,68,4389300
sort_users_by_id_asc,db,69,4087800
sort_users_by_id_asc,db,70,4481900
sort_users_by_id_asc,db,71,3635800
sort_users_by_id_asc,db,72,4094400
sort_users_by_id_asc,db,73,4119501
sort_users_by_id_asc,db,74,6388101
sort_users_by_id_asc,db,75,4289200
sort_users_by_id_asc,db,76,3877201
sort_users_by_id_asc,db,77,4051099
sort_users_by_id_asc,db,78,3972100
sort_users_by_id_asc,db,79,4039899
sort_users_by_id_asc,db,80,7029201
sort_users_by_id_asc,db,81,5486100
sort_users_by_id_asc,db,82,25100400
sort_users_by_id_asc,db,83,11609099
sort_users_by_id_asc,db,84,14068400
sort_users_by_id_asc,db,85,6959900
sort_users_by_id_asc,db,86,12198200
sort_users_by_id_asc,db,87,6272600
sort_users_by_id_asc,db,88,10080300
sort_users_by_id_asc,db,89,7223700
sort_users_by_id_asc,db,90,10838300
sort_users_by_id_asc,db,91,6134600
sort_users_by_id_asc,db,92,8398800
sort_users_by_id_asc,db,93,5098999
sort_users_by_id_asc,db,94,5747100
sort_users_by_id_asc,db,95,6645000
sort_users_by_id_asc,db,96,4620700
sort_users_by_id_asc,db,97,4515300
sort_users_by_id_asc,db,98,5349300
sort_users_by_id_asc,db,99,4388500
