test,impl,iteration,nanos
sort_users_by_name_asc,db,0,44758
sort_users_by_name_asc,db,1,42058
sort_users_by_name_asc,db,2,40010
sort_users_by_name_asc,db,3,39876
sort_users_by_name_asc,db,4,39069
sort_users_by_name_asc,db,5,39037
sort_users_by_name_asc,db,6,38283
sort_users_by_name_asc,db,7,39096
sort_users_by_name_asc,db,8,45484
sort_users_by_name_asc,db,9,40212
sort_users_by_name_asc,db,10,60868
sort_users_by_name_asc,db,11,59673
sort_users_by_name_asc,db,12,50888
sort_users_by_name_asc,db,13,88788
sort_users_by_name_asc,db,14,41501
sort_users_by_name_asc,db,15,39439
sort_users_by_name_asc,db,16,47729
sort_users_by_name_asc,db,17,51493
sort_users_by_name_asc,db,18,49128
sort_users_by_name_asc,db,19,65995
sort_users_by_name_asc,db,20,50510
sort_users_by_name_asc,db,21,101230
sort_users_by_name_asc,db,22,56045
sort_users_by_name_asc,db,23,42386
sort_users_by_name_asc,db,24,40090
sort_users_by_name_asc,db,25,41385
sort_users_by_name_asc,db,26,40439
sort_users_by_name_asc,db,27,52313
sort_users_by_name_asc,db,28,40394
sort_users_by_name_asc,db,29,43718
sort_users_by_name_asc,db,30,40285
sort_users_by_name_asc,db,31,42027
sort_users_by_name_asc,db,32,39825
sort_users_by_name_asc,db,33,39503
sort_users_by_name_asc,db,34,42382
sort_users_by_name_asc,db,35,62887
sort_users_by_name_asc,db,36,45878
sort_users_by_name_asc,db,37,43732
sort_users_by_name_asc,db,38,47605
sort_users_by_name_asc,db,39,71549
sort_users_by_name_asc,db,40,65420
sort_users_by_name_asc,db,41,52191
sort_users_by_name_asc,db,42,47936
sort_users_by_name_asc,db,43,67578
sort_users_by_name_asc,db,44,51215
sort_users_by_name_asc,db,45,56805
sort_users_by_name_asc,db,46,78242
sort_users_by_name_asc,db,47,79869
sort_users_by_name_asc,db,48,54372
sort_users_by_name_asc,db,49,73189
sort_users_by_name_asc,db,50,47803
sort_users_by_name_asc,db,51,48529
sort_users_by_name_asc,db,52,50730
sort_users_by_name_asc,db,53,65723
sort_users_by_name_asc,db,54,37799
sort_users_by_name_asc,db,55,39182
sort_users_by_name_asc,db,56,36799
sort_users_by_name_asc,db,57,37852
sort_users_by_name_asc,db,58,35872
sort_users_by_name_asc,db,59,38271
sort_users_by_name_asc,db,60,35820
sort_users_by_name_asc,db,61,38049
sort_users_by_name_asc,db,62,36442
sort_users_by_name_asc,db,63,37351
sort_users_by_name_asc,db,64,36087
sort_users_by_name_asc,db,65,36083
sort_users_by_name_asc,db,66,35979
sort_users_by_name_asc,db,67,36931
sort_users_by_name_asc,db,68,45786
sort_users_by_name_asc,db,69,51435
sort_users_by_name_asc,db,70,42788
sort_users_by_name_asc,db,71,41002
sort_users_by_name_asc,db,72,50736
sort_users_by_name_asc,db,73,50863
sort_users_by_name_asc,db,74,47639
sort_users_by_name_asc,db,75,54280
sort_users_by_name_asc,db,76,59755
sort_users_by_name_asc,db,77,42113
sort_users_by_name_asc,db,78,40174
sort_users_by_name_asc,db,79,38963
sort_users_by_name_asc,db,80,39175
sort_users_by_name_asc,db,81,38073
sort_users_by_name_asc,db,82,40374
sort_users_by_name_asc,db,83,54557
sort_users_by_name_asc,db,84,56402
sort_users_by_name_asc,db,85,53200
sort_users_by_name_asc,db,86,50931
sort_users_by_name_asc,db,87,54184
sort_users_by_name_asc,db,88,48711
sort_users_by_name_asc,db,89,58254
sort_users_by_name_asc,db,90,52521
sort_users_by_name_asc,db,91,55339
sort_users_by_name_asc,db,92,50839
sort_users_by_name_asc,db,93,60766
sort_users_by_name_asc,db,94,51695
sort_users_by_name_asc,db,95,56091
sort_users_by_name_asc,db,96,68866
sort_users_by_name_asc,db,97,77845
sort_users_by_name_asc,db,98,48003
sort_users_by_name_asc,db,99,41235
