test,impl,iteration,nanos
sort_users_by_name_asc,memory,0,49497
sort_users_by_name_asc,memory,1,45896
sort_users_by_name_asc,memory,2,48123
sort_users_by_name_asc,memory,3,47149
sort_users_by_name_asc,memory,4,47207
sort_users_by_name_asc,memory,5,46281
sort_users_by_name_asc,memory,6,100017
sort_users_by_name_asc,memory,7,86646
sort_users_by_name_asc,memory,8,66825
sort_users_by_name_asc,memory,9,58335
sort_users_by_name_asc,memory,10,94204
sort_users_by_name_asc,memory,11,89151
sort_users_by_name_asc,memory,12,68085
sort_users_by_name_asc,memory,13,80991
sort_users_by_name_asc,memory,14,54381
sort_users_by_name_asc,memory,15,43523
sort_users_by_name_asc,memory,16,55409
sort_users_by_name_asc,memory,17,43046
sort_users_by_name_asc,memory,18,41074
sort_users_by_name_asc,memory,19,42181
sort_users_by_name_asc,memory,20,42174
sort_users_by_name_asc,memory,21,43396
sort_users_by_name_asc,memory,22,39713
sort_users_by_name_asc,memory,23,40012
sort_users_by_name_asc,memory,24,46964
sort_users_by_name_asc,memory,25,40117
sort_users_by_name_asc,memory,26,40128
sort_users_by_name_asc,memory,27,39763
sort_users_by_name_asc,memory,28,41935
sort_users_by_name_asc,memory,29,44607
sort_users_by_name_asc,memory,30,40011
sort_users_by_name_asc,memory,31,40069
sort_users_by_name_asc,memory,32,38201
sort_users_by_name_asc,memory,33,39523
sort_users_by_name_asc,memory,34,39350
sort_users_by_name_asc,memory,35,40244
sort_users_by_name_asc,memory,36,39999
sort_users_by_name_asc,memory,37,41149
sort_users_by_name_asc,memory,38,40200
sort_users_by_name_asc,memory,39,41299
sort_users_by_name_asc,memory,40,43101
sort_users_by_name_asc,memory,41,41409
sort_users_by_name_asc,memory,42,53475
sort_users_by_name_asc,memory,43,41778
sort_users_by_name_asc,memory,44,56220
sort_users_by_name_asc,memory,45,40678
sort_users_by_name_asc,memory,46,41201
sort_users_by_name_asc,memory,47,42945
sort_users_by_name_asc,memory,48,44692
sort_users_by_name_asc,memory,49,41323
sort_users_by_name_asc,memory,50,39957
sort_users_by_name_asc,memory,51,40235
sort_users_by_name_asc,memory,52,39375
sort_users_by_name_asc,memory,53,41449
sort_users_by_name_asc,memory,54,40227
sort_users_by_name_asc,memory,55,41391
sort_users_by_name_asc,memory,56,40751
sort_users_by_name_asc,memory,57,40297
sort_users_by_name_asc,memory,58,46140
sort_users_by_name_asc,memory,59,40185
sort_users_by_name_asc,memory,60,39761
sort_users_by_name_asc,memory,61,41155
sort_users_by_name_asc,memory,62,39748
sort_users_by_name_asc,memory,63,41314
sort_users_by_name_asc,memory,64,43564
sort_users_by_name_asc,memory,65,41331
sort_users_by_name_asc,memory,66,40356
sort_users_by_name_asc,memory,67,41966
sort_users_by_name_asc,memory,68,40497
sort_users_by_name_asc,memory,69,41448
sort_users_by_name_asc,memory,70,39589
sort_users_by_name_asc,memory,71,45889
sort_users_by_name_asc,memory,72,63395
sort_users_by_name_asc,memory,73,46879
sort_users_by_name_asc,memory,74,40974
sort_users_by_name_asc,memory,75,51428
sort_users_by_name_asc,memory,76,41134
sort_users_by_name_asc,memory,77,40869
sort_users_by_name_asc,memory,78,40216
sort_users_by_name_asc,memory,79,53965
sort_users_by_name_asc,memory,80,40703
sort_users_by_name_asc,memory,81,40244
sort_users_by_name_asc,memory,82,38358
sort_users_by_name_asc,memory,83,39455
sort_users_by_name_asc,memory,84,38471
sort_users_by_name_asc,memory,85,39367
sort_users_by_name_asc,memory,86,38212
sort_users_by_name_asc,memory,87,39570
sort_users_by_name_asc,memory,88,38679
sort_users_by_name_asc,memory,89,38850
sort_users_by_name_asc,memory,90,38142
sort_users_by_name_asc,memory,91,50224
sort_users_by_name_asc,memory,92,54582
sort_users_by_name_asc,memory,93,53624
sort_users_by_name_asc,memory,94,58131
sort_users_by_name_asc,memory,95,42834
sort_users_by_name_asc,memory,96,40059
sort_users_by_name_asc,memory,97,38257
sort_users_by_name_asc,memory,98,40490
sort_users_by_name_asc,memory,99,41598
