test,impl,iteration,nanos
sort_users_by_name_desc,db,0,4857600
sort_users_by_name_desc,db,1,31849000
sort_users_by_name_desc,db,2,93715600
sort_users_by_name_desc,db,3,7401100
sort_users_by_name_desc,db,4,7194700
sort_users_by_name_desc,db,5,5365999
sort_users_by_name_desc,db,6,6369700
sort_users_by_name_desc,db,7,5191200
sort_users_by_name_desc,db,8,5140899
sort_users_by_name_desc,db,9,5678800
sort_users_by_name_desc,db,10,13183800
sort_users_by_name_desc,db,11,6466699
sort_users_by_name_desc,db,12,7019200
sort_users_by_name_desc,db,13,5534101
sort_users_by_name_desc,db,14,6595700
sort_users_by_name_desc,db,15,4602500
sort_users_by_name_desc,db,16,6197799
sort_users_by_name_desc,db,17,5227999
sort_users_by_name_desc,db,18,6469801
sort_users_by_name_desc,db,19,6206500
sort_users_by_name_desc,db,20,56507000
sort_users_by_name_desc,db,21,44769800
sort_users_by_name_desc,db,22,20405100
sort_users_by_name_desc,db,23,13184001
sort_users_by_name_desc,db,24,5646900
sort_users_by_name_desc,db,25,21609700
sort_users_by_name_desc,db,26,8056901
sort_users_by_name_desc,db,27,5521299
sort_users_by_name_desc,db,28,9681000
sort_users_by_name_desc,db,29,7039100
sort_users_by_name_desc,db,30,191859500
sort_users_by_name_desc,db,31,65126000
sort_users_by_name_desc,db,32,43305600
sort_users_by_name_desc,db,33,56500300
sort_users_by_name_desc,db,34,97260801
sort_users_by_name_desc,db,35,72763500
sort_users_by_name_desc,db,36,34907599
sort_users_by_name_desc,db,37,18844100
sort_users_by_name_desc,db,38,20170600
sort_users_by_name_desc,db,39,16526800
sort_users_by_name_desc,db,40,41353301
sort_users_by_name_desc,db,41,157803301
sort_users_by_name_desc,db,42,31774499
sort_users_by_name_desc,db,43,101902900
sort_users_by_name_desc,db,44,130383000
sort_users_by_name_desc,db,45,70392001
sort_users_by_name_desc,db,46,216863999
sort_users_by_name_desc,db,47,57910400
sort_users_by_name_desc,db,48,63773200
sort_users_by_name_desc,db,49,40210200
sort_users_by_name_desc,db,50,28242700
sort_users_by_name_desc,db,51,179583699
sort_users_by_name_desc,db,52,126565699
sort_users_by_name_desc,db,53,71410400
sort_users_by_name_desc,db,54,242374400
sort_users_by_name_desc,db,55,27034800
sort_users_by_name_desc,db,56,25508800
sort_users_by_name_desc,db,57,35542300
sort_users_by_name_desc,db,58,16976100
sort_users_by_name_desc,db,59,60279201
sort_users_by_name_desc,db,60,26341000
sort_users_by_name_desc,db,61,6479800
sort_users_by_name_desc,db,62,5483300
sort_users_by_name_desc,db,63,33548801
sort_users_by_name_desc,db,64,31522300
sort_users_by_name_desc,db,65,15045500
sort_users_by_name_desc,db,66,19735800
sort_users_by_name_desc,db,67,11762499
sort_users_by_name_desc,db,68,8859001
sort_users_by_name_desc,db,69,8492400
sort_users_by_name_desc,db,70,26595600
sort_users_by_name_desc,db,71,5600701
sort_users_by_name_desc,db,72,4877100
sort_users_by_name_desc,db,73,5140300
sort_users_by_name_desc,db,74,5335100
sort_users_by_name_desc,db,75,4408900
sort_users_by_name_desc,db,76,4584200
sort_users_by_name_desc,db,77,4507100
sort_users_by_name_desc,db,78,4380301
sort_users_by_name_desc,db,79,4639901
sort_users_by_name_desc,db,80,5054001
sort_users_by_name_desc,db,81,4565201
sort_users_by_name_desc,db,82,4293500
sort_users_by_name_desc,db,83,4323800
sort_users_by_name_desc,db,84,4375600
sort_users_by_name_desc,db,85,4501000
sort_users_by_name_desc,db,86,6713800
sort_users_by_name_desc,db,87,5961000
sort_users_by_name_desc,db,88,8847001
sort_users_by_name_desc,db,89,7539600
sort_users_by_name_desc,db,90,11686800
sort_users_by_name_desc,db,91,13657200
sort_users_by_name_desc,db,92,7171200
sort_users_by_name_desc,db,93,9321201
sort_users_by_name_desc,db,94,16946500
sort_users_by_name_desc,db,95,8862900
sort_users_by_name_desc,db,96,8298200
sort_users_by_name_desc,db,97,12469201
sort_users_by_name_desc,db,98,6837900
sort_users_by_name_desc,db,99,16238700
