test,impl,iteration,nanos
sort_users_by_name_desc,memory,0,7436800
sort_users_by_name_desc,memory,1,5678300
sort_users_by_name_desc,memory,2,6531101
sort_users_by_name_desc,memory,3,5470801
sort_users_by_name_desc,memory,4,4751400
sort_users_by_name_desc,memory,5,4002800
sort_users_by_name_desc,memory,6,5968700
sort_users_by_name_desc,memory,7,4139501
sort_users_by_name_desc,memory,8,4102000
sort_users_by_name_desc,memory,9,6191400
sort_users_by_name_desc,memory,10,4501601
sort_users_by_name_desc,memory,11,4374700
sort_users_by_name_desc,memory,12,5466100
sort_users_by_name_desc,memory,13,5025400
sort_users_by_name_desc,memory,14,5649600
sort_users_by_name_desc,memory,15,9395499
sort_users_by_name_desc,memory,16,6336799
sort_users_by_name_desc,memory,17,9185499
sort_users_by_name_desc,memory,18,6190201
sort_users_by_name_desc,memory,19,13545100
sort_users_by_name_desc,memory,20,42046600
sort_users_by_name_desc,memory,21,23849099
sort_users_by_name_desc,memory,22,3993200
sort_users_by_name_desc,memory,23,4313000
sort_users_by_name_desc,memory,24,5323600
sort_users_by_name_desc,memory,25,4971900
sort_users_by_name_desc,memory,26,3974901
sort_users_by_name_desc,memory,27,4114300
sort_users_by_name_desc,memory,28,5032000
sort_users_by_name_desc,memory,29,4483599
sort_users_by_name_desc,memory,30,3959200
sort_users_by_name_desc,memory,31,4340201
sort_users_by_name_desc,memory,32,4755499
sort_users_by_name_desc,memory,33,4481900
sort_users_by_name_desc,memory,34,4061200
sort_users_by_name_desc,memory,35,4125700
sort_users_by_name_desc,memory,36,5908600
sort_users_by_name_desc,memory,37,4477300
sort_users_by_name_desc,memory,38,14551900
sort_users_by_name_desc,memory,39,6431500
sort_users_by_name_desc,memory,40,12506801
sort_users_by_name_desc,memory,41,10226700
sort_users_by_name_desc,memory,42,9064600
sort_users_by_name_desc,memory,43,11304199
sort_users_by_name_desc,memory,44,7138099
sort_users_by_name_desc,memory,45,9999799
sort_users_by_name_desc,memory,46,13186201
sort_users_by_name_desc,memory,47,6710501
sort_users_by_name_desc,memory,48,8605200
sort_users_by_name_desc,memory,49,19297200
sort_users_by_name_desc,memory,50,4037700
sort_users_by_name_desc,memory,51,4402200
sort_users_by_name_desc,memory,52,5705301
sort_users_by_name_desc,memory,53,4266500
sort_users_by_name_desc,memory,54,4542699
sort_users_by_name_desc,memory,55,4374701
sort_users_by_name_desc,memory,56,4751300
sort_users_by_name_desc,memory,57,4096500
sort_users_by_name_desc,memory,58,4139701
sort_users_by_name_desc,memory,59,4129900
sort_users_by_name_desc,memory,60,5133400
sort_users_by_name_desc,memory,61,4199200
sort_users_by_name_desc,memory,62,4514701
sort_users_by_name_desc,memory,63,5872899
sort_users_by_name_desc,memory,64,4062500
sort_users_by_name_desc,memory,65,4843399
sort_users_by_name_desc,memory,66,3832501
sort_users_by_name_desc,memory,67,4285499
sort_users_by_name_desc,memory,68,4536199
sort_users_by_name_desc,memory,69,5074901
sort_users_by_name_desc,memory,70,5682699
sort_users_by_name_desc,memory,71,13160401
sort_users_by_name_desc,memory,72,82273600
sort_users_by_name_desc,memory,73,11732801
sort_users_by_name_desc,memory,74,9359100
sort_users_by_name_desc,memory,75,5933500
sort_users_by_name_desc,memory,76,7370801
sort_users_by_name_desc,memory,77,21075900
sort_users_by_name_desc,memory,78,4282100
sort_users_by_name_desc,memory,79,3989800
sort_users_by_name_desc,memory,80,11167300
sort_users_by_name_desc,memory,81,5725600
sort_users_by_name_desc,memory,82,9183301
sort_users_by_name_desc,memory,83,6209399
sort_users_by_name_desc,memory,84,93695400
sort_users_by_name_desc,memory,85,100106500
sort_users_by_name_desc,memory,86,43610600
sort_users_by_name_desc,memory,87,13691300
sort_users_by_name_desc,memory,88,6399200
sort_users_by_name_desc,memory,89,36352800
sort_users_by_name_desc,memory,90,136274501
sort_users_by_name_desc,memory,91,16420000
sort_users_by_name_desc,memory,92,10412800
sort_users_by_name_desc,memory,93,4476400
sort_users_by_name_desc,memory,94,6520901
sort_users_by_name_desc,memory,95,9096800
sort_users_by_name_desc,memory,96,3480100
sort_users_by_name_desc,memory,97,5768200
sort_users_by_name_desc,memory,98,4165500
sort_users_by_name_desc,memory,99,4202199
